item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101219,5,450,330,200,12.24,90.54
101220,14,440,320,150,12.194,113.217
101318,12,400,480,175,12.23,89.66
101401,30,380,270,100,10.16,195.47
101402,50,380,270,100,10.21,196.42
101405,30,380,270,100,10.23,196.8
101407,40,380,270,100,10.22,196.61
101504,48,280,250,215,4.91,35.889
101517,21,310,495,200,9.692,90.699
111103,12,450,410,230,12.204,89.478
111105,12,450,380,210,12.2,89.45
111109,6,400,360,160,12.168,48.672
111112,12,460,440,200,12.204,89.478
113122,6,460,440,200,12.204,89.478
113124,6,450,380,210,12.192,89.394
113402,60,380,270,100,10.19,196.04
113404,10,380,270,100,10.16,195.47
122015,63,335,161,137,5.46,72.137
122016,63,335,161,137,5.46,72.137
122018,63,335,161,137,5.46,72.137
122046,21,335,161,137,5.458,72.111
122048,21,335,161,137,5.458,72.111
122052,21,335,161,137,5.458,72.111
122054,42,335,161,137,5.458,72.111
122077,63,335,161,137,5.46,72.137
122078,63,335,161,137,5.46,72.137
123042,60,298,198,162,4.82,54.235
123713,84,335,161,137,5.6,73.957
123714,63,335,161,137,5.6,73.957
136502,60,291,175,179,5.2,20.8
151003,30,351,190,309,10.9,56.12
210253,27,438,263,204,3.839,37.611
211355,24,318,133,212,2.487,18.422
212131,40,241,233,254,2.266,17.077
212469,20,214,240,252,2.534,18.953
214007,48,322,277,171,4.857,55.452
214058,40,216,206,86,1.194,28.677
223001,12,322,277,171,5.62,63.845
225055,13,378,230,216,7.38,53.529
230122,36,237,398,187,2.986,28.899
230336,12,398,237,187,2.991,28.944
250162,13,244,344,292,6.178,32.759
250228,18,390,155,195,1.426,14.184
250465,68,222,290,206,2.804,26.665
250466,68,222,290,206,2.804,26.665
250467,17,222,290,206,2.803,26.656
250533,36,291,300,200,5.448,51.057
250557,56,211,366,173,3.6,41.336
250558,42,211,366,173,3.6,41.336
250700,36,223,373,206,3.785,36.09
250853,18,212,280,206,2.714,25.776
251101,15,225,335,237,3.279,24.573
251104,10,403,258,274,4.69,25.88
251105,13,243,351,337,5.602,29.879
251161,45,222,333,217,1.726,13.702
251226,48,220,316,190,4.933,45.916
251227,16,220,316,190,4.933,45.916
251228,48,220,316,190,4.933,45.916
251451,24,363,246,325,6.122,32.635
251501,60,248,238,227,2.385,17.91
251507,39,223,373,208,1.992,19.797
251534,15,333,225,237,1.63,13.03
251619,54,398,163,207,1.423,14.157
251620,54,398,163,207,1.424,14.166
251622,54,398,163,207,1.423,14.157
251629,54,398,163,207,1.423,14.157
312229,13,378,238,176,5.47,51.099
313008,24,358,248,172,3.956,45.541
313009,48,293,243,217,5.615,40.824
313342,30,193,193,242,1.856,13.802
327022,9,366,298,172,6.16,30.8
389415,25,204,189,81,1.924,45.062
517551,5,593,388,259,4.922,39.314
518012,16,550,280,114,4.79,28.74
518101,10,458,228,174,5.58,27.9
518111,30,550,280,115,5.6,22.4
544678,72,458,128,172,2.458,28.388
544679,72,458,128,172,2.698,31.028
544680,14,458,128,172,2.698,31.028
545525,10,480,210,160,12.168,136.278
545526,30,480,210,160,12.168,136.278
545536,30,480,210,160,12.3,137.73
571655,27,580,205,100,10.15,81.2
