bin,item,x,y,z,orientation
0,318302,400,0,0,WDH
0,318302,0,0,0,WDH
0,318302,800,200,0,WDH
0,318302,0,400,0,WDH
0,318302,800,600,0,WDH
0,318302,400,600,0,WDH
0,318302,800,0,0,WDH
0,318302,0,200,0,WDH
0,318302,400,400,0,WDH
0,318302,800,400,0,WDH
0,318302,400,200,0,WDH
0,318302,0,600,0,WDH
0,517551,0,388,190,WDH
0,517551,0,0,190,WDH
0,517551,593,388,190,WDH
0,517551,593,0,190,WDH
0,517551,0,0,449,WDH
0,517553,0,388,449,WDH
0,517553,593,0,449,WDH
0,517553,593,388,449,WDH
0,516889,806,200,708,WDH
0,516889,18,500,708,WDH
0,151003,147,10,708,WDH
0,151003,498,10,708,WDH
0,516889,806,500,708,WDH
0,151003,849,10,708,WDH
0,516889,412,500,708,WDH
0,151003,61,310,708,WDH
0,516889,412,200,708,WDH
0,336579,22,200,708,WDH
0,336579,22,200,798,WDH
0,336579,22,200,888,WDH
0,336579,22,200,978,WDH
0,518111,550,520,1015,WDH
0,518111,0,520,1015,WDH
0,518111,412,220,1015,WDH
0,212126,962,304,1015,WDH
0,210185,996,0,1017,WDH
0,210185,588,0,1017,WDH
0,210185,4,310,1017,WDH
0,210185,792,0,1017,WDH
0,210185,208,310,1017,WDH
0,210185,180,0,1017,WDH
0,210185,384,0,1017,WDH
0,336579,4,200,1068,WDH
0,384033,20,310,1114,DWH
0,212126,186,310,1114,WDH
0,212126,924,506,1130,WDH
0,212126,246,506,1130,WDH
0,212126,698,506,1130,WDH
0,212126,472,506,1130,WDH
0,212126,20,506,1130,WDH
0,210185,974,302,1114,DWH
0,336579,394,200,1130,WDH
0,210185,946,572,1220,WDH
0,516416,762,494,1220,DWH
0,210185,400,526,1220,WDH
1,113120,0,0,0,WDH
1,113120,0,360,0,WDH
1,113120,800,0,0,WDH
1,113120,800,360,0,WDH
1,113120,400,0,0,WDH
1,113120,400,360,0,WDH
1,122631,835,24,160,WDH
1,122631,470,24,160,WDH
