bin,item,x,y,z,orientation
0,509,936,468,0,DWH
0,297,468,0,0,WDH
0,297,0,287,0,WDH
0,284,0,574,0,WDH
0,284,407,574,0,WDH
0,297,468,287,0,WDH
0,297,936,0,0,DWH
0,297,0,0,0,WDH
0,117,814,574,0,DWH
0,668,0,0,147,WDH
0,372,457,563,147,WDH
0,655,436,283,147,WDH
0,634,954,457,147,DWH
0,655,0,283,147,WDH
0,655,518,0,147,WDH
0,436,954,0,147,DWH
0,436,0,563,147,WDH
0,214,807,563,191,DWH
0,541,930,6,309,DWH
0,436,350,573,309,WDH
0,438,473,37,309,WDH
0,436,464,300,309,WDH
0,372,0,563,309,WDH
0,639,5,50,309,WDH
0,436,977,383,309,DWH
0,438,16,300,309,WDH
0,179,807,563,381,DWH
0,420,482,36,468,WDH
0,392,13,171,468,WDH
0,285,934,7,468,DWH
0,102,171,5,468,WDH
0,532,327,563,471,WDH
0,94,529,300,471,WDH
0,350,969,383,471,DWH
0,19,0,563,471,WDH
0,214,57,5,468,DWH
0,184,29,633,581,WDH
0,85,216,19,581,WDH
0,164,64,231,581,WDH
0,71,864,19,585,WDH
0,74,464,351,585,WDH
0,164,464,19,585,WDH
0,71,327,563,588,WDH
0,164,744,351,588,WDH
0,21,944,683,588,WDH
0,597,442,19,658,WDH
0,193,21,563,658,WDH
0,597,20,19,658,WDH
0,34,29,351,658,WDH
0,223,337,351,658,WDH
0,597,744,365,660,WDH
0,319,864,21,660,WDH
0,419,362,549,663,WDH
0,165,944,683,795,WDH
0,343,0,328,804,WDH
0,341,0,0,804,WDH
0,520,446,0,804,WDH
0,104,446,333,804,WDH
0,170,40,549,810,DWH
0,259,757,446,810,WDH
0,341,912,0,810,DWH
0,396,279,549,810,WDH
0,71,0,0,943,WDH
0,74,446,625,943,WDH
0,157,862,0,943,WDH
0,157,446,333,943,WDH
0,91,0,267,945,WDH
0,89,374,0,945,WDH
0,473,781,292,947,DWH
0,9,0,547,949,WDH
0,106,464,585,1018,WDH
0,9,416,292,1018,WDH
0,123,57,0,1018,WDH
0,48,890,0,1018,WDH
0,473,34,292,1031,DWH
0,123,573,0,1031,WDH
0,175,376,0,1031,DWH
0,123,781,577,1033,WDH
0,123,781,315,1033,WDH
0,207,34,44,1098,WDH
0,207,416,337,1098,WDH
0,207,416,585,1103,WDH
0,207,890,0,1103,WDH
0,207,573,26,1109,WDH
0,415,729,347,1117,DWH
0,649,0,335,1117,DWH
0,177,347,45,1117,DWH
0,5,346,335,1182,WDH
0,5,0,0,1182,WDH
0,20,886,63,1187,WDH
0,20,346,629,1187,WDH
0,20,607,63,1193,WDH
0,356,0,374,1212,DWH
0,128,347,5,1212,DWH
0,415,729,474,1212,WDH
0,124,729,315,1212,WDH
0,217,966,354,1212,WDH
0,675,346,335,1267,DWH
0,640,0,0,1267,WDH
0,474,886,63,1267,WDH
0,409,588,5,1270,WDH
0,520,0,424,1309,DWH
0,644,682,475,1309,WDH
0,220,682,300,1309,WDH
0,45,347,33,1309,DWH
0,142,1090,509,1309,DWH
0,20,685,300,1447,WDH
0,175,690,511,1447,WDH
0,59,376,5,1447,WDH
0,485,0,26,1455,DWH
0,392,0,448,1455,WDH
0,350,685,29,1455,WDH
0,6,451,459,1455,DWH
0,121,964,360,1455,DWH
0,113,323,206,1455,WDH
0,124,1081,0,1455,DWH
0,75,690,708,1447,WDH
0,75,911,708,1455,WDH
0,183,685,300,1531,DWH
0,17,376,5,1531,WDH
0,124,1079,63,1548,DWH
0,26,372,211,1568,WDH
0,17,4,540,1568,DWH
0,415,195,481,1568,WDH
0,356,52,15,1569,DWH
0,183,685,29,1572,WDH
0,32,995,300,1573,DWH
0,124,681,681,1612,WDH
0,59,783,300,1627,WDH
0,17,381,20,1627,WDH
0,408,0,378,1666,WDH
0,32,995,300,1664,DWH
0,29,0,0,1666,WDH
0,112,681,20,1667,WDH
0,139,372,211,1664,WDH
0,134,516,378,1664,DWH
0,134,651,647,1705,WDH
0,23,783,300,1710,DWH
0,13,352,0,1723,WDH
0,408,0,378,1743,WDH
0,112,961,300,1752,DWH
0,76,100,0,1758,DWH
0,35,800,0,1764,WDH
0,32,516,247,1772,DWH
0,133,655,0,1764,DWH
0,551,14,378,1820,WDH
0,13,651,645,1813,WDH
0,173,365,0,1833,WDH
0,213,961,300,1849,DWH
0,76,100,0,1849,DWH
0,35,800,14,1855,WDH
0,76,516,247,1860,DWH
0,674,0,392,1923,DWH
0,179,655,62,1923,DWH
0,169,651,629,1923,WDH
0,406,319,391,1923,DWH
0,418,352,0,1925,WDH
0,614,861,300,1937,WDH
0,115,979,602,1937,WDH
0,541,42,1,1938,DWH
0,359,800,14,1946,WDH
0,467,516,247,1949,DWH
0,132,37,306,2101,WDH
0,132,37,573,2101,WDH
0,199,859,72,2101,WDH
0,132,37,39,2101,WDH
0,213,430,300,2106,WDH
0,173,571,579,2106,WDH
0,26,931,570,2109,WDH
1,275,468,0,0,WDH
1,55,925,0,0,WDH
1,613,386,550,0,WDH
1,524,0,250,0,WDH
1,613,766,250,0,WDH
1,387,800,550,0,WDH
1,288,380,250,0,WDH
1,288,0,550,0,WDH
1,639,0,0,0,WDH
1,151,48,566,157,DWH
1,121,892,253,157,WDH
1,121,544,253,157,WDH
1,121,196,253,157,WDH
1,459,228,508,157,WDH
1,114,31,263,157,DWH
1,459,734,508,157,WDH
1,113,547,11,157,WDH
1,16,892,11,158,WDH
1,114,355,0,158,DWH
1,224,0,0,158,WDH
1,393,824,528,275,WDH
1,393,24,250,275,WDH
1,275,435,11,275,WDH
1,393,422,528,275,WDH
1,634,39,528,275,WDH
1,517,6,11,275,WDH
1,387,826,250,275,WDH
1,387,426,250,275,WDH
1,36,899,23,277,WDH
1,191,971,40,433,WDH
1,191,0,33,433,WDH
1,260,800,183,433,WDH
1,260,399,183,433,WDH
1,623,0,508,433,WDH
1,260,798,515,433,WDH
1,623,399,508,433,WDH
1,623,0,176,433,WDH
1,103,399,1,433,WDH
1,103,685,1,433,WDH
1,217,279,1,433,DWH
1,116,890,621,581,WDH
1,195,953,1,581,WDH
1,665,0,519,581,WDH
1,667,890,176,581,DWH
1,7,399,1,581,WDH
1,667,0,176,581,WDH
1,665,408,519,581,WDH
1,667,445,176,581,WDH
1,186,0,0,581,WDH
1,186,720,1,581,WDH
1,217,233,0,668,WDH
1,72,399,5,773,WDH
1,4,886,621,773,WDH
1,72,717,5,773,WDH
1,405,508,547,773,WDH
1,429,0,537,773,WDH
1,302,75,179,774,WDH
1,84,1040,0,774,DWH
1,530,510,203,774,WDH
1,562,893,236,774,DWH
1,64,0,0,774,WDH
1,64,6,0,887,WDH
1,432,0,537,903,WDH
1,50,853,591,903,WDH
1,280,439,177,903,WDH
1,280,853,177,903,DWH
1,645,439,540,903,WDH
1,209,485,0,903,WDH
1,209,737,0,903,WDH
1,209,233,0,903,WDH
1,302,6,177,903,WDH
1,114,995,0,903,WDH
1,64,0,0,1000,WDH
1,601,439,186,1026,WDH
1,144,965,146,1026,DWH
1,185,853,546,1026,WDH
1,511,2,182,1030,WDH
1,100,485,609,1030,WDH
1,204,0,602,1031,WDH
1,209,227,36,1030,WDH
1,220,479,2,1030,WDH
1,165,761,36,1030,WDH
1,238,0,184,1131,WDH
1,599,436,485,1131,WDH
1,350,465,214,1131,WDH
1,93,872,214,1131,WDH
1,599,0,485,1131,WDH
1,599,872,404,1131,DWH
1,49,1074,147,1131,DWH
1,149,2,29,1113,WDH
1,93,465,24,1161,WDH
1,12,223,13,1157,WDH
1,12,761,36,1178,WDH
1,601,0,485,1248,WDH
1,601,526,485,1248,WDH
1,100,465,214,1248,WDH
1,216,833,214,1248,DWH
1,100,97,256,1249,WDH
1,49,1074,404,1248,DWH
1,93,0,0,1274,WDH
1,93,465,13,1278,WDH
1,93,202,0,1290,WDH
1,65,1074,147,1264,DWH
1,93,801,17,1311,WDH
1,174,1094,717,1248,WDH
1,672,0,363,1353,WDH
1,672,595,245,1353,DWH
1,30,327,205,1353,WDH
1,65,114,230,1353,WDH
1,369,127,475,1443,WDH
1,551,592,473,1443,WDH
1,523,606,186,1443,WDH
1,84,202,0,1407,WDH
1,137,438,0,1395,WDH
1,93,0,3,1391,WDH
1,30,801,17,1428,WDH
1,21,1094,186,1423,DWH
1,61,202,193,1512,WDH
1,208,0,0,1512,DWH
1,84,192,0,1529,WDH
1,369,0,475,1546,WDH
1,327,465,453,1546,WDH
1,100,903,472,1546,DWH
1,100,594,175,1546,WDH
1,21,0,363,1443,WDH
1,220,428,0,1530,WDH
1,220,787,0,1582,WDH
1,156,962,175,1546,DWH
1,356,774,520,1651,WDH
1,450,0,22,1632,DWH
1,586,202,193,1639,WDH
1,676,0,475,1651,WDH
1,512,544,193,1651,WDH
1,8,192,0,1651,WDH
1,379,440,475,1651,DWH
1,10,424,6,1661,WDH
1,192,1082,158,1630,DWH
1,511,731,472,1748,WDH
1,137,847,3,1713,WDH
1,570,544,209,1826,WDH
1,190,0,5,1826,WDH
1,644,0,507,1826,WDH
1,120,0,189,1826,DWH
1,235,408,463,1826,DWH
1,14,202,197,1853,WDH
