bin,item,x,y,z,orientation
0,23,0,0,0,WDH
0,11,790,567,0,WDH
0,11,811,295,0,WDH
0,30,416,295,0,WDH
0,30,0,567,0,WDH
0,30,827,0,0,WDH
0,30,395,567,0,WDH
0,42,411,0,0,WDH
0,42,0,295,0,WDH
0,12,1093,295,0,DWH
0,8,1093,587,0,DWH
0,39,1093,295,110,DWH
0,10,725,412,169,WDH
0,22,0,314,169,WDH
0,10,732,162,169,WDH
0,10,713,688,169,WDH
0,41,0,564,169,WDH
0,19,359,352,169,WDH
0,19,347,628,169,WDH
0,19,366,102,169,WDH
0,19,0,102,169,WDH
0,6,1040,31,169,DWH
0,13,827,0,169,WDH
0,14,0,104,381,WDH
0,14,726,682,381,WDH
0,25,750,182,381,DWH
0,32,0,551,381,WDH
0,32,0,262,381,WDH
0,32,363,551,381,WDH
0,46,363,43,381,WDH
0,46,363,297,381,WDH
0,5,1031,0,351,DWH
0,5,1035,313,440,DWH
0,40,363,237,518,WDH
0,7,363,6,518,WDH
0,5,0,60,518,WDH
0,5,726,638,518,WDH
0,5,1035,48,518,DWH
0,5,763,349,518,WDH
0,5,763,147,518,WDH
0,33,300,601,520,WDH
0,38,0,393,520,DWH
0,5,1035,313,598,DWH
0,16,0,563,651,WDH
0,2,0,336,651,WDH
0,3,352,583,651,WDH
0,15,0,61,676,DWH
0,15,309,349,676,WDH
0,17,726,114,676,DWH
0,17,726,477,676,DWH
0,28,309,26,676,WDH
0,6,1043,0,676,DWH
0,38,382,393,756,DWH
0,1,0,150,759,DWH
0,28,0,517,759,WDH
0,28,682,517,791,WDH
0,28,682,194,791,WDH
0,28,333,70,796,WDH
0,4,1077,264,756,DWH
0,1,0,225,879,DWH
0,1,367,473,879,DWH
0,1,0,592,879,WDH
0,38,615,540,911,WDH
0,33,682,117,911,DWH
0,20,367,68,916,DWH
0,9,921,241,920,WDH
0,37,0,225,994,WDH
0,29,324,517,994,DWH
0,37,0,517,994,WDH
0,37,599,517,1034,WDH
0,37,324,225,1067,WDH
0,37,921,193,1067,DWH
0,21,671,68,1042,DWH
0,27,324,36,1067,WDH
0,36,359,518,1152,DWH
0,35,0,563,1152,WDH
0,34,0,218,1152,DWH
0,31,923,517,1034,DWH
0,21,671,420,1187,DWH
0,44,980,123,1220,DWH
0,45,335,260,1220,WDH
0,45,648,36,1227,DWH
0,44,277,539,1337,WDH
0,44,44,378,1337,DWH
0,36,326,43,1337,WDH
0,44,672,349,1372,DWH
0,24,324,333,1421,WDH
0,24,699,2,1421,DWH
0,24,1007,170,1421,DWH
0,18,923,517,1359,DWH
0,39,0,218,1337,WDH
0,44,277,539,1538,WDH
0,24,326,43,1517,WDH
0,43,0,362,1538,DWH
0,43,682,470,1573,DWH
0,26,673,43,1651,DWH
0,47,977,194,1651,DWH
0,39,493,249,1651,DWH
0,31,326,249,1651,DWH
0,39,0,218,1670,WDH
