bin,item,x,y,z,orientation
0,90,0,280,0,WDH
0,90,0,0,0,WDH
0,90,457,0,0,WDH
0,210,0,560,0,WDH
0,199,457,280,0,WDH
0,165,914,429,0,DWH
0,79,457,574,0,WDH
0,199,914,0,0,DWH
0,11,920,0,147,WDH
0,11,594,280,147,WDH
0,40,959,233,147,WDH
0,40,394,656,152,WDH
0,40,675,554,152,DWH
0,4,854,541,156,WDH
0,28,594,11,156,WDH
0,28,0,571,156,WDH
0,215,0,165,156,WDH
0,64,239,0,156,WDH
0,64,0,0,156,WDH
0,19,1047,412,156,WDH
0,4,946,39,217,DWH
0,28,579,285,217,WDH
0,4,854,541,243,WDH
0,215,0,176,243,WDH
0,2,579,19,244,WDH
0,2,0,574,244,WDH
0,9,280,0,274,WDH
0,102,913,0,304,DWH
0,1,43,9,274,WDH
0,42,579,354,305,WDH
0,102,102,227,328,WDH
0,4,867,477,330,WDH
0,72,0,569,341,WDH
0,72,579,83,341,WDH
0,5,280,0,381,WDH
0,5,13,0,397,WDH
0,102,913,0,397,DWH
0,212,57,188,421,WDH
0,191,738,477,421,WDH
0,15,547,188,431,WDH
0,72,57,546,431,WDH
0,32,547,72,431,WDH
0,15,280,11,471,WDH
0,102,913,0,490,DWH
0,31,0,0,490,WDH
0,71,0,585,521,WDH
0,212,57,188,533,WDH
0,191,738,477,533,WDH
0,3,547,188,533,WDH
0,125,947,58,583,DWH
0,64,308,11,566,WDH
0,6,0,0,580,WDH
0,32,547,72,580,WDH
0,16,57,546,632,WDH
0,191,738,477,645,WDH
0,85,0,179,645,WDH
0,16,547,188,645,WDH
0,194,943,0,685,DWH
0,46,254,0,685,WDH
0,34,20,25,701,WDH
0,3,0,518,738,WDH
0,74,0,179,757,WDH
0,175,738,477,757,WDH
0,177,480,179,757,WDH
0,194,943,0,792,DWH
0,46,254,15,810,WDH
0,34,0,0,825,WDH
0,68,16,515,841,WDH
0,177,480,179,878,WDH
0,74,738,477,878,WDH
0,203,16,203,879,WDH
0,184,917,9,899,DWH
0,35,234,0,935,WDH
0,34,0,7,949,WDH
0,27,16,515,963,WDH
0,191,415,166,999,WDH
0,85,727,501,1000,WDH
0,214,0,161,999,WDH
0,203,928,67,1023,DWH
0,35,234,0,1068,WDH
0,93,0,484,1086,WDH
0,85,415,162,1111,WDH
0,86,727,501,1112,WDH
0,86,48,162,1117,WDH
0,32,30,0,1073,WDH
0,110,1004,0,1137,DWH
0,51,1094,501,1112,DWH
0,27,32,524,1212,WDH
0,86,415,179,1223,WDH
0,145,751,501,1226,WDH
0,145,30,0,1231,DWH
0,30,782,189,1223,DWH
0,35,32,363,1231,WDH
0,43,984,80,1254,DWH
0,38,342,0,1201,WDH
0,14,1124,615,1266,DWH
0,43,32,524,1335,WDH
0,77,386,185,1337,WDH
0,161,628,501,1343,WDH
0,100,0,0,1348,WDH
0,43,984,80,1376,DWH
0,48,782,185,1357,DWH
0,60,45,336,1364,WDH
0,14,338,0,1399,WDH
0,43,32,524,1457,WDH
0,77,386,185,1469,WDH
0,77,628,501,1475,WDH
0,100,0,0,1477,WDH
0,14,1124,615,1438,DWH
0,225,969,18,1498,DWH
0,60,32,336,1506,WDH
0,20,782,169,1500,DWH
0,67,159,526,1579,WDH
0,49,418,169,1601,WDH
0,76,0,0,1607,WDH
0,76,628,501,1607,WDH
0,60,996,615,1610,WDH
0,14,361,0,1571,WDH
0,67,955,207,1636,DWH
0,60,996,0,1636,WDH
0,41,32,524,1579,DWH
0,69,0,329,1648,WDH
0,20,782,169,1666,DWH
0,67,147,585,1708,WDH
0,47,484,121,1733,WDH
0,180,0,0,1754,WDH
0,111,628,501,1754,WDH
0,67,955,207,1765,DWH
0,59,955,19,1778,WDH
0,61,0,295,1794,WDH
0,131,147,585,1837,WDH
0,41,0,523,1778,DWH
0,200,484,121,1867,WDH
0,180,543,514,1894,WDH
0,33,955,210,1894,DWH
0,231,0,4,1894,WDH
0,41,367,4,1894,DWH
0,45,1007,514,1894,DWH
0,36,5,295,1954,WDH
0,59,955,0,1937,WDH
0,151,0,523,1978,WDH
0,76,484,121,2008,WDH
0,33,955,188,2039,DWH
0,231,523,523,2039,WDH
0,231,0,0,2039,WDH
1,210,0,283,0,WDH
1,210,399,275,0,WDH
1,210,0,558,0,WDH
1,210,399,0,0,WDH
1,165,0,0,0,WDH
1,121,399,550,0,WDH
1,163,793,492,0,WDH
1,79,793,0,0,WDH
1,79,793,246,0,WDH
1,219,408,550,152,WDH
1,151,1031,0,152,DWH
1,233,797,0,152,DWH
1,233,814,523,152,WDH
1,36,46,286,153,WDH
1,142,427,21,153,WDH
1,231,41,505,153,WDH
1,231,426,259,153,WDH
1,12,90,21,155,WDH
1,36,793,196,288,DWH
1,12,793,558,288,WDH
1,162,1023,0,294,DWH
1,174,427,550,294,WDH
1,170,0,248,298,WDH
1,195,0,0,298,WDH
1,108,450,0,298,DWH
1,22,729,0,298,WDH
1,108,0,523,298,WDH
1,17,450,374,298,WDH
1,33,793,558,431,WDH
1,33,949,196,457,WDH
1,84,460,529,457,WDH
1,33,159,248,472,WDH
1,106,450,0,476,WDH
1,149,0,0,476,WDH
1,82,450,314,476,WDH
1,169,0,523,476,WDH
1,22,976,0,457,WDH
1,45,0,248,472,DWH
1,130,793,529,566,WDH
1,130,919,196,592,WDH
1,130,472,530,593,WDH
1,57,843,15,476,DWH
1,130,522,18,634,WDH
1,130,201,18,634,WDH
1,59,165,314,607,WDH
1,105,104,569,638,WDH
1,82,450,316,637,WDH
1,22,976,0,634,WDH
1,22,0,1,634,DWH
1,89,793,530,708,WDH
1,45,8,253,665,DWH
1,89,870,206,734,WDH
1,124,507,504,735,DWH
1,61,618,1,776,DWH
1,44,196,272,776,DWH
1,169,196,1,776,WDH
1,124,120,542,791,WDH
1,82,450,316,798,WDH
1,66,942,0,809,WDH
1,124,793,504,854,WDH
1,54,8,27,809,DWH
1,168,879,218,880,WDH
1,189,442,558,882,WDH
1,39,7,266,858,DWH
1,50,221,272,938,DWH
1,50,207,1,938,WDH
1,56,124,608,938,WDH
1,168,543,1,938,WDH
1,207,442,307,959,WDH
1,120,782,531,1001,WDH
1,226,846,1,981,WDH
1,207,444,577,1036,WDH
1,148,821,285,1036,WDH
1,45,50,1,1001,DWH
1,66,16,272,1039,DWH
1,70,221,272,1093,DWH
1,216,207,1,1093,WDH
1,62,563,1,1094,WDH
1,114,78,577,1094,WDH
1,119,430,285,1118,WDH
1,120,865,543,1158,WDH
1,136,864,0,1164,WDH
1,120,446,531,1199,WDH
1,98,837,260,1199,WDH
1,8,16,272,1211,DWH
1,73,16,5,1199,DWH
1,129,538,7,1270,WDH
1,186,0,547,1270,WDH
1,129,241,1,1271,WDH
1,98,430,302,1279,WDH
1,120,821,531,1315,WDH
1,7,216,272,1270,DWH
1,98,837,31,1323,WDH
1,186,430,531,1356,WDH
1,205,833,293,1357,WDH
1,128,99,543,1434,WDH
1,129,540,31,1434,WDH
1,53,0,0,1399,DWH
1,44,216,26,1435,WDH
1,205,455,293,1437,WDH
1,58,0,302,1384,WDH
1,205,776,531,1472,WDH
1,134,842,73,1481,WDH
1,192,428,553,1519,WDH
1,116,838,295,1519,WDH
1,7,216,272,1474,DWH
1,44,216,26,1597,WDH
1,44,99,543,1597,WDH
1,172,521,5,1598,WDH
1,91,423,313,1599,WDH
1,53,1,0,1581,DWH
1,44,941,531,1634,WDH
1,44,842,5,1648,WDH
1,44,369,543,1695,WDH
1,44,842,251,1695,WDH
1,10,132,313,1678,WDH
1,23,776,562,1634,DWH
1,156,647,5,1766,DWH
1,156,138,5,1766,WDH
1,172,48,543,1755,WDH
1,25,639,543,1695,DWH
1,101,425,200,1766,DWH
1,172,907,536,1792,WDH
1,132,842,4,1806,WDH
1,23,0,0,1766,DWH
1,118,857,251,1853,WDH
1,65,385,543,1853,DWH
1,154,114,313,1853,WDH
1,87,647,200,1932,DWH
1,87,424,5,1932,WDH
1,198,48,543,1932,WDH
1,188,138,5,1932,WDH
1,53,429,241,1945,DWH
1,108,857,495,1960,WDH
1,37,647,584,1932,DWH
1,10,913,21,1980,WDH
1,10,857,251,2027,WDH
1,10,352,543,2027,WDH
2,107,0,218,0,WDH
2,135,708,226,0,WDH
2,107,354,218,0,WDH
2,107,0,0,0,WDH
2,107,354,0,0,WDH
2,75,351,662,0,WDH
2,75,0,662,0,WDH
2,153,1018,452,0,DWH
2,75,1047,0,0,DWH
2,135,339,436,0,WDH
2,135,708,0,0,WDH
2,157,708,452,0,WDH
2,135,0,436,0,WDH
2,26,128,4,253,WDH
2,213,372,15,253,WDH
2,228,985,473,253,DWH
2,164,355,195,253,WDH
2,164,2,195,253,WDH
2,173,708,452,253,DWH
2,117,708,255,255,WDH
2,78,325,436,255,WDH
2,222,6,436,255,WDH
2,112,717,0,255,WDH
2,13,434,647,256,WDH
2,13,77,662,256,WDH
2,144,1074,0,256,DWH
2,193,249,229,458,WDH
2,94,708,476,458,DWH
2,196,2,6,458,DWH
2,226,346,0,461,WDH
2,178,983,473,461,DWH
2,227,712,255,471,WDH
2,127,1063,0,471,DWH
2,73,58,657,471,WDH
2,235,422,436,471,DWH
2,182,2,436,476,WDH
2,221,717,0,476,WDH
2,116,0,0,641,DWH
2,217,718,473,642,DWH
2,211,236,0,644,WDH
2,65,986,569,649,DWH
2,87,1049,10,671,DWH
2,196,461,398,671,DWH
2,158,635,7,671,WDH
2,94,0,373,672,WDH
2,53,712,255,672,WDH
2,73,125,653,671,WDH
2,94,714,491,817,DWH
2,141,13,19,817,DWH
2,211,236,79,818,WDH
2,150,986,491,823,DWH
2,211,392,490,854,DWH
2,172,578,85,854,WDH
2,94,950,142,856,DWH
2,94,43,381,856,WDH
2,73,125,653,871,WDH
2,150,0,62,1001,DWH
2,94,714,491,1001,DWH
2,224,236,100,1001,WDH
2,217,635,142,1022,WDH
2,133,1010,528,1007,DWH
2,235,428,448,1028,DWH
