bin,item,x,y,z,orientation
0,325,457,280,0,WDH
0,424,457,0,0,WDH
0,327,914,451,0,DWH
0,325,0,560,0,WDH
0,424,0,280,0,WDH
0,325,914,0,0,DWH
0,424,0,0,0,WDH
0,325,457,555,0,WDH
0,128,35,124,157,DWH
0,32,248,2,157,WDH
0,440,782,442,157,WDH
0,440,782,44,157,WDH
0,319,236,510,157,WDH
0,133,500,19,157,WDH
0,319,236,180,157,WDH
0,186,6,446,157,DWH
0,239,35,14,157,WDH
0,319,236,180,249,WDH
0,403,236,510,249,WDH
0,128,35,124,257,DWH
0,128,35,446,257,DWH
0,343,886,0,257,DWH
0,32,352,0,257,WDH
0,447,813,463,257,WDH
0,133,604,0,257,WDH
0,155,246,0,257,DWH
0,116,615,169,341,DWH
0,327,236,189,341,WDH
0,332,236,510,355,WDH
0,86,616,510,355,DWH
0,83,352,0,358,WDH
0,307,0,414,358,DWH
0,307,0,0,358,DWH
0,378,886,0,358,DWH
0,305,642,0,358,WDH
0,407,846,421,359,WDH
0,259,615,169,496,DWH
0,420,225,0,496,DWH
0,259,509,563,496,WDH
0,259,225,563,496,WDH
0,420,860,277,503,DWH
0,245,17,252,503,DWH
0,245,952,69,503,WDH
0,245,17,540,503,DWH
0,157,605,0,503,WDH
0,292,19,23,503,DWH
0,162,615,453,503,WDH
0,335,225,646,569,WDH
0,399,605,169,569,WDH
0,338,225,217,569,WDH
0,338,225,0,569,WDH
0,328,225,434,569,WDH
0,399,615,534,569,DWH
0,450,966,19,578,WDH
0,328,13,457,578,DWH
0,328,860,628,578,WDH
0,328,860,204,578,WDH
0,328,860,416,578,WDH
0,258,2,265,578,WDH
0,173,603,0,590,WDH
0,323,0,0,598,DWH
0,162,525,646,569,DWH
0,70,627,534,813,DWH
0,102,654,169,813,DWH
0,207,282,0,813,DWH
0,235,255,380,813,WDH
0,102,270,646,813,WDH
0,213,17,285,823,DWH
0,207,860,519,823,WDH
0,223,853,222,823,WDH
0,102,15,646,823,WDH
0,202,0,0,834,WDH
0,257,973,8,834,WDH
0,112,654,8,823,WDH
0,153,257,417,905,WDH
0,241,617,169,906,DWH
0,206,303,646,906,WDH
0,27,257,36,907,DWH
0,269,606,517,907,DWH
0,202,985,16,922,WDH
0,265,877,558,922,WDH
0,206,0,646,922,WDH
0,58,16,254,922,DWH
0,202,2,48,922,WDH
0,265,877,276,923,WDH
0,119,617,8,937,WDH
0,269,606,213,988,DWH
0,241,257,418,988,WDH
0,206,303,646,990,WDH
0,241,650,543,994,DWH
0,265,272,55,994,DWH
0,32,16,645,1008,WDH
0,292,0,0,1008,WDH
0,207,852,213,1008,WDH
0,46,877,543,1008,WDH
0,57,924,8,1008,WDH
0,51,0,206,1012,DWH
0,202,597,7,1049,WDH
0,202,597,213,1074,WDH
0,265,287,543,1074,WDH
0,41,287,209,1077,WDH
0,202,650,585,1077,DWH
0,202,287,3,1077,WDH
0,21,852,213,1102,WDH
0,41,0,206,1102,WDH
0,32,16,645,1108,WDH
0,292,0,0,1108,WDH
0,128,918,0,1108,WDH
0,62,923,451,1108,DWH
0,202,542,3,1135,WDH
0,21,300,602,1157,WDH
0,21,300,364,1167,WDH
0,21,300,14,1167,DWH
0,128,650,364,1163,DWH
0,179,571,209,1160,WDH
0,21,852,213,1192,WDH
0,21,62,252,1192,DWH
0,149,673,696,1167,WDH
0,128,880,12,1209,WDH
0,62,961,467,1209,DWH
0,298,74,635,1209,WDH
0,148,34,14,1209,WDH
0,78,542,1,1221,WDH
0,21,300,602,1247,WDH
0,21,300,14,1257,DWH
0,21,300,364,1257,WDH
