bin,item,x,y,z,orientation
0,24,737,0,0,WDH
0,24,737,282,0,WDH
0,24,373,282,0,WDH
0,24,373,0,0,WDH
0,41,799,564,0,WDH
0,41,373,564,0,WDH
0,19,0,330,0,WDH
0,19,0,0,0,WDH
0,7,73,660,0,WDH
0,35,866,433,154,DWH
0,30,433,0,154,WDH
0,30,0,288,154,WDH
0,30,433,288,154,WDH
0,30,866,0,154,DWH
0,30,0,0,154,WDH
0,12,373,604,154,WDH
0,8,81,645,166,WDH
0,10,373,604,269,WDH
0,13,4,40,286,WDH
0,13,313,40,286,WDH
0,13,931,40,286,WDH
0,13,622,40,286,WDH
0,40,862,553,286,WDH
0,40,106,266,286,WDH
0,40,484,266,286,WDH
0,40,862,266,286,WDH
0,13,64,605,286,WDH
0,10,373,642,343,WDH
0,10,373,605,417,WDH
0,16,748,304,457,WDH
0,15,18,0,457,WDH
0,15,383,0,457,WDH
0,16,748,0,457,WDH
0,9,44,560,451,WDH
0,12,373,378,457,WDH
0,8,44,374,457,WDH
0,8,862,654,457,WDH
0,11,373,605,491,WDH
0,35,433,0,561,WDH
0,30,0,0,561,WDH
0,17,825,0,561,WDH
0,17,748,304,561,WDH
0,15,0,474,577,WDH
0,9,373,334,572,WDH
0,3,861,595,577,WDH
0,11,365,635,629,WDH
0,15,0,474,678,WDH
0,32,861,357,693,WDH
0,21,365,381,693,WDH
0,32,992,17,693,DWH
0,21,0,34,693,WDH
0,32,721,50,693,WDH
0,31,405,61,693,WDH
0,27,876,598,723,WDH
0,24,83,381,779,DWH
0,2,365,635,767,WDH
0,3,0,0,882,WDH
0,5,293,0,882,WDH
0,5,861,595,882,WDH
0,5,365,381,882,WDH
0,5,561,0,888,WDH
0,5,861,372,888,WDH
0,4,867,142,888,WDH
0,41,129,370,930,DWH
0,1,633,343,882,DWH
0,6,365,604,975,WDH
0,14,798,595,1025,WDH
0,34,325,0,1025,DWH
0,34,397,306,1025,DWH
0,38,94,0,1028,DWH
0,34,561,0,1031,DWH
0,38,867,142,1046,WDH
0,25,937,373,1031,WDH
0,38,94,341,1084,DWH
0,34,365,604,1157,WDH
0,34,325,298,1203,WDH
0,34,325,0,1203,DWH
0,34,910,585,1204,WDH
0,34,561,62,1212,WDH
0,23,89,1,1212,DWH
0,23,868,137,1230,WDH
0,33,89,341,1268,DWH
0,33,365,604,1335,WDH
0,20,868,373,1265,WDH
0,23,301,341,1381,WDH
0,23,325,0,1381,DWH
0,23,900,604,1382,WDH
0,26,561,0,1390,WDH
0,26,0,0,1417,WDH
0,36,868,85,1435,WDH
0,36,13,437,1473,DWH
0,39,365,593,1540,WDH
0,39,900,381,1540,WDH
0,28,304,0,1586,DWH
0,18,342,405,1586,WDH
0,22,900,604,1587,WDH
0,37,555,32,1597,DWH
0,37,91,32,1624,DWH
0,29,885,205,1658,WDH
0,29,47,405,1696,WDH
