bin,item,x,y,z,orientation
0,58,794,0,0,WDH
0,58,397,292,0,WDH
0,72,0,0,0,WDH
0,72,0,292,0,WDH
0,72,397,0,0,WDH
0,58,794,265,0,WDH
0,58,397,557,0,WDH
0,28,0,584,0,WDH
0,58,794,530,0,WDH
0,33,834,0,158,WDH
0,32,873,222,158,WDH
0,53,819,529,158,WDH
0,55,34,597,158,WDH
0,55,406,310,158,WDH
0,69,447,553,158,WDH
0,3,436,74,159,WDH
0,86,34,48,159,WDH
0,69,34,310,159,WDH
0,58,847,575,303,WDH
0,58,454,575,303,WDH
0,50,461,312,303,WDH
0,82,780,12,303,WDH
0,28,95,600,303,WDH
0,11,179,312,304,WDH
0,3,444,12,304,WDH
0,20,10,312,304,DWH
0,41,893,222,304,WDH
0,66,0,0,306,WDH
0,2,847,287,439,WDH
0,15,746,0,453,WDH
0,15,409,0,453,WDH
0,7,0,297,453,DWH
0,1,74,615,461,WDH
0,67,785,579,461,WDH
0,19,437,553,461,WDH
0,19,437,266,461,WDH
0,1,46,72,467,WDH
0,11,206,297,439,DWH
0,21,1083,48,453,DWH
0,52,785,259,531,WDH
0,2,74,141,583,WDH
0,75,74,429,583,WDH
0,1,409,0,561,WDH
0,5,914,579,583,WDH
0,15,537,225,583,DWH
0,71,526,579,583,WDH
0,48,772,225,665,WDH
0,52,73,21,675,DWH
0,71,138,579,676,WDH
0,12,1070,8,658,DWH
0,20,393,21,677,WDH
0,20,507,224,691,WDH
0,20,507,393,691,WDH
0,10,941,522,700,WDH
0,28,526,579,713,WDH
0,21,73,429,676,WDH
0,42,772,225,799,WDH
0,23,73,573,809,WDH
0,23,73,21,809,WDH
0,23,73,220,809,WDH
0,12,1023,0,810,WDH
0,12,441,23,822,WDH
0,12,555,199,836,WDH
0,13,479,366,836,WDH
0,12,885,579,848,WDH
0,12,668,652,870,WDH
0,16,495,580,870,DWH
0,27,93,267,965,DWH
0,74,772,297,961,WDH
0,74,0,0,965,WDH
0,74,385,297,988,WDH
0,14,1023,0,965,DWH
0,14,416,6,974,WDH
0,14,885,562,1000,WDH
0,22,712,587,1022,DWH
0,14,470,635,1051,WDH
0,31,34,561,1100,WDH
0,57,6,267,1100,WDH
0,35,772,297,1122,WDH
0,45,22,6,1126,WDH
0,46,416,190,1149,DWH
0,14,965,58,1155,WDH
0,14,423,6,1164,WDH
0,14,916,554,1190,WDH
0,14,732,554,1208,DWH
0,56,34,561,1278,WDH
0,45,22,251,1278,WDH
0,14,490,612,1241,WDH
0,43,665,314,1289,WDH
0,46,22,2,1297,WDH
0,46,416,190,1333,DWH
0,14,965,58,1345,WDH
0,22,381,2,1354,WDH
0,22,916,564,1380,DWH
0,22,743,554,1398,DWH
0,76,142,551,1449,WDH
0,43,13,314,1449,WDH
0,76,665,314,1463,WDH
0,46,13,65,1481,WDH
0,6,453,596,1431,WDH
0,62,443,181,1517,DWH
0,38,892,44,1535,WDH
0,47,381,2,1540,WDH
0,6,916,554,1566,DWH
0,62,75,327,1623,WDH
0,54,122,551,1625,WDH
0,54,665,281,1639,WDH
0,62,13,65,1665,WDH
0,18,453,551,1665,WDH
0,26,450,247,1707,DWH
0,49,790,63,1735,WDH
0,24,766,571,1584,DWH
0,63,381,2,1774,WDH
0,36,128,560,1813,WDH
0,36,125,290,1813,WDH
0,51,665,247,1825,WDH
0,26,79,2,1855,WDH
0,26,455,551,1855,WDH
0,85,916,554,1794,DWH
0,26,450,247,1899,DWH
0,49,742,28,1929,WDH
1,80,0,0,0,WDH
1,37,371,234,0,WDH
1,37,371,463,0,WDH
1,81,0,428,0,WDH
1,37,679,463,0,WDH
1,37,993,308,0,DWH
1,37,993,0,0,DWH
1,34,0,622,0,WDH
1,81,314,0,0,WDH
1,81,0,234,0,WDH
1,37,679,234,0,WDH
1,37,685,0,0,WDH
1,61,988,619,0,WDH
1,29,371,692,0,WDH
1,30,650,267,220,WDH
1,51,0,238,220,WDH
1,30,626,0,220,WDH
1,30,993,0,220,DWH
1,51,0,0,220,WDH
1,44,0,476,220,WDH
1,44,337,267,220,WDH
1,59,337,0,220,WDH
1,49,337,513,220,WDH
1,83,892,655,260,WDH
1,9,1034,443,220,WDH
1,29,468,696,304,WDH
1,37,397,308,422,DWH
1,37,29,476,422,WDH
1,37,397,0,422,DWH
1,25,958,0,426,DWH
1,73,626,0,426,WDH
1,73,626,217,426,WDH
1,68,0,232,426,WDH
1,79,0,0,426,WDH
1,64,909,619,455,WDH
1,77,984,430,482,WDH
1,49,492,656,608,WDH
1,39,330,0,642,DWH
1,39,330,303,642,DWH
1,37,0,466,642,WDH
1,25,638,36,668,WDH
1,25,638,235,668,WDH
1,70,6,54,668,WDH
1,70,979,0,672,DWH
1,70,6,232,672,WDH
1,40,910,643,685,WDH
1,60,958,441,762,WDH
1,63,549,635,802,WDH
1,84,6,410,867,WDH
1,84,330,220,867,WDH
1,77,330,440,867,WDH
1,84,330,0,867,WDH
1,63,0,0,911,DWH
1,63,634,205,911,WDH
1,63,634,0,911,WDH
1,63,995,0,911,DWH
1,40,910,643,971,WDH
1,78,910,413,1035,WDH
1,63,549,635,1066,WDH
1,84,330,0,1147,WDH
1,84,330,220,1147,WDH
1,77,122,440,1147,WDH
1,77,378,440,1147,WDH
1,40,910,197,1175,WDH
1,40,910,0,1175,WDH
1,8,683,173,1175,WDH
1,8,32,0,1175,DWH
1,8,683,0,1175,WDH
1,77,910,643,1257,WDH
1,63,879,394,1298,WDH
1,17,549,635,1330,WDH
1,4,464,230,1427,WDH
1,78,377,0,1427,WDH
1,8,456,406,1427,WDH
1,29,32,435,1427,WDH
1,65,910,0,1461,WDH
1,24,910,186,1461,WDH
1,24,760,0,1467,DWH
1,24,55,0,1467,DWH
