bin,item,x,y,z,orientation
0,691,0,400,0,WDH
0,691,511,0,0,WDH
0,691,0,0,0,WDH
0,172,1022,658,0,WDH
0,691,511,400,0,WDH
0,179,1022,353,0,DWH
0,187,1022,0,0,DWH
0,693,725,0,115,WDH
0,693,392,301,115,WDH
0,690,0,264,115,WDH
0,271,392,602,115,WDH
0,84,1058,326,115,DWH
0,140,768,602,115,WDH
0,693,392,0,115,WDH
0,693,725,301,115,WDH
0,693,0,528,115,WDH
0,690,0,0,115,WDH
0,638,1058,0,115,DWH
0,28,998,638,116,WDH
0,177,986,638,290,WDH
0,80,239,6,330,WDH
0,117,903,12,330,WDH
0,226,753,646,330,WDH
0,182,532,647,330,WDH
0,182,90,647,330,WDH
0,182,311,647,330,WDH
0,117,566,12,330,WDH
0,691,729,238,330,WDH
0,691,218,238,330,WDH
0,179,4,28,330,DWH
0,179,4,333,330,DWH
0,232,990,653,384,WDH
0,22,0,652,330,DWH
0,498,217,336,445,WDH
0,498,217,0,445,WDH
0,172,22,480,445,WDH
0,691,729,0,445,WDH
0,52,892,400,445,WDH
0,163,249,672,445,WDH
0,163,750,653,445,WDH
0,163,489,672,445,WDH
0,163,52,240,445,DWH
0,172,736,400,445,DWH
0,163,52,0,445,DWH
0,163,990,653,480,WDH
0,49,84,653,445,DWH
0,35,8,36,559,DWH
0,630,241,35,559,WDH
0,630,241,436,559,WDH
0,154,900,422,559,WDH
0,44,733,649,559,WDH
0,653,729,23,561,WDH
0,180,2,453,561,WDH
0,163,735,408,561,DWH
0,180,1025,657,594,WDH
0,233,51,648,621,DWH
0,27,588,535,659,DWH
0,390,241,4,659,WDH
0,392,729,25,659,WDH
0,154,900,422,659,WDH
0,315,241,298,659,DWH
0,72,774,657,663,WDH
0,154,15,4,663,DWH
0,72,34,385,676,DWH
0,219,588,298,663,DWH
0,74,733,433,675,DWH
0,233,1048,648,709,WDH
0,152,905,400,756,WDH
0,47,33,4,760,DWH
0,104,786,0,760,WDH
0,104,241,4,763,DWH
0,194,241,458,763,WDH
0,195,600,0,763,DWH
0,135,743,648,763,WDH
0,27,588,532,763,DWH
0,123,34,385,774,DWH
0,233,593,340,780,DWH
0,191,926,430,825,WDH
0,162,733,384,801,DWH
0,451,791,3,840,WDH
0,104,219,385,843,DWH
0,452,0,0,843,WDH
0,191,554,0,858,DWH
0,191,0,357,869,DWH
0,191,889,430,876,WDH
0,123,733,648,858,WDH
0,87,536,538,866,DWH
0,191,554,43,909,DWH
0,169,167,95,922,WDH
0,169,167,385,923,WDH
0,15,803,386,935,WDH
0,418,772,60,936,WDH
0,39,0,0,923,DWH
0,39,0,482,923,DWH
0,39,0,241,923,DWH
0,40,167,675,923,WDH
0,123,728,654,953,WDH
0,72,536,588,961,DWH
0,98,536,41,961,DWH
0,124,162,0,983,DWH
0,32,162,383,984,WDH
0,42,852,357,1006,WDH
0,53,915,0,1026,WDH
0,123,719,654,1048,WDH
0,162,759,0,1026,DWH
0,32,476,41,1064,DWH
0,32,145,96,1078,WDH
0,32,162,383,1078,WDH
0,72,536,588,1064,DWH
0,451,789,299,1092,WDH
0,59,28,75,1064,DWH
0,59,73,715,1064,WDH
0,40,5,383,1064,DWH
0,65,926,10,1115,WDH
0,98,719,623,1143,WDH
0,32,476,41,1160,DWH
0,22,288,12,1078,WDH
0,92,483,556,1170,DWH
0,133,172,396,1170,DWH
0,112,180,158,1170,WDH
