bin,item,x,y,z,orientation
0,118,0,295,0,WDH
0,36,826,630,0,WDH
0,127,0,590,0,WDH
0,118,0,0,0,WDH
0,62,476,630,0,WDH
0,100,476,315,0,WDH
0,100,852,315,0,WDH
0,100,476,0,0,WDH
0,100,852,0,0,WDH
0,134,864,13,139,WDH
0,135,55,563,139,WDH
0,135,41,265,139,WDH
0,176,821,567,139,WDH
0,134,445,9,139,WDH
0,224,445,542,139,WDH
0,134,69,9,139,WDH
0,224,864,269,139,WDH
0,135,431,265,139,WDH
0,13,1,267,310,DWH
0,67,193,599,310,WDH
0,122,889,8,310,WDH
0,56,332,50,310,WDH
0,56,74,50,310,WDH
0,206,492,569,310,WDH
0,67,590,20,310,WDH
0,126,822,261,310,WDH
0,206,449,271,310,WDH
0,59,0,561,310,DWH
0,100,864,525,310,WDH
0,38,167,324,310,WDH
0,135,0,563,451,WDH
0,74,1102,626,451,DWH
0,21,913,7,451,WDH
0,130,771,552,451,WDH
0,208,548,270,451,WDH
0,113,913,178,451,DWH
0,134,74,5,451,WDH
0,114,390,564,451,WDH
0,114,167,266,451,WDH
0,225,450,4,451,WDH
0,43,0,324,452,DWH
0,16,560,291,622,WDH
0,226,488,0,622,WDH
0,226,27,0,622,WDH
0,226,27,291,622,WDH
0,226,949,0,622,DWH
0,83,203,582,622,WDH
0,53,490,552,622,WDH
0,78,19,582,622,DWH
0,81,966,461,625,DWH
0,64,793,551,625,DWH
0,29,949,503,724,DWH
0,190,0,481,738,WDH
0,41,949,167,738,DWH
0,8,507,526,738,WDH
0,98,0,113,738,WDH
0,8,507,212,738,WDH
0,29,885,591,780,WDH
0,83,488,0,738,WDH
0,4,773,0,738,WDH
0,60,975,0,738,WDH
0,213,488,199,830,WDH
0,15,949,167,830,DWH
0,211,0,463,830,WDH
0,211,0,0,830,DWH
0,33,488,537,830,WDH
0,41,901,569,836,WDH
0,28,336,113,830,DWH
0,59,488,0,853,WDH
0,213,488,199,930,WDH
0,15,949,167,930,DWH
0,133,0,60,930,DWH
0,213,0,502,930,WDH
0,16,851,580,930,WDH
0,14,501,557,933,WDH
0,60,322,124,980,DWH
0,213,513,101,1030,DWH
0,213,902,124,1030,DWH
0,133,0,60,1030,DWH
0,213,45,502,1030,WDH
0,79,851,580,1043,WDH
0,14,501,557,1049,WDH
0,3,0,0,1127,WDH
0,202,498,101,1130,DWH
0,202,30,347,1130,WDH
0,97,949,0,1130,DWH
0,51,8,700,1130,WDH
0,199,191,700,1130,WDH
0,229,809,581,1173,WDH
0,229,464,581,1173,WDH
0,228,118,101,1199,WDH
0,26,1058,79,1211,DWH
0,39,8,318,1211,WDH
0,26,237,320,1211,WDH
0,137,819,319,1211,WDH
0,189,8,490,1211,WDH
0,189,498,325,1211,WDH
0,189,498,115,1211,WDH
0,137,819,103,1211,WDH
0,26,1058,307,1211,DWH
0,69,329,490,1211,DWH
0,12,2,133,1199,DWH
0,133,2,311,1507,DWH
0,133,498,115,1507,DWH
0,213,902,0,1510,DWH
0,155,118,30,1492,WDH
0,179,464,564,1492,WDH
