bin,item,x,y,z,orientation
0,50,0,462,0,WDH
0,63,0,231,0,WDH
0,50,370,237,0,WDH
0,23,1058,0,0,DWH
0,23,197,679,0,WDH
0,23,394,679,0,WDH
0,24,950,463,0,WDH
0,23,918,689,0,WDH
0,21,721,463,0,WDH
0,23,721,689,0,WDH
0,21,721,237,0,WDH
0,21,950,237,0,WDH
0,63,0,0,0,WDH
0,55,710,0,0,WDH
0,55,351,462,0,WDH
0,58,370,0,0,WDH
0,23,0,679,0,WDH
0,43,351,255,164,WDH
0,29,0,292,164,DWH
0,29,699,369,164,WDH
0,26,854,0,167,WDH
0,4,5,12,164,WDH
0,4,351,462,167,DWH
0,4,370,0,167,WDH
0,35,1086,369,165,DWH
0,35,0,679,165,WDH
0,5,699,678,165,WDH
0,40,735,0,167,DWH
0,42,576,462,167,DWH
0,52,735,264,244,DWH
0,41,848,0,244,WDH
0,8,309,237,244,WDH
0,57,5,237,244,DWH
0,4,0,0,255,WDH
0,9,309,467,258,WDH
0,9,365,30,258,WDH
0,38,351,662,258,WDH
0,25,771,638,305,WDH
0,15,597,3,258,DWH
0,15,1086,385,302,DWH
0,15,0,702,302,WDH
0,71,822,0,371,WDH
0,11,805,385,371,WDH
0,46,235,237,371,WDH
0,27,235,556,371,WDH
0,30,5,40,352,WDH
0,25,322,48,371,WDH
0,8,0,331,371,DWH
0,30,772,626,397,WDH
0,15,597,3,405,DWH
0,51,187,324,480,WDH
0,6,0,0,480,WDH
0,62,735,3,482,DWH
0,15,1102,354,449,DWH
0,15,0,702,449,WDH
0,7,332,3,463,WDH
0,15,222,702,480,WDH
0,15,1102,132,482,DWH
0,30,772,626,517,WDH
0,28,0,279,494,DWH
0,62,183,279,573,WDH
0,72,753,208,584,DWH
0,30,18,8,578,WDH
0,15,597,3,552,DWH
0,30,735,3,584,WDH
0,7,332,23,603,WDH
0,7,753,626,637,WDH
0,72,335,293,675,WDH
0,2,1096,354,596,DWH
0,10,45,702,596,WDH
0,28,0,289,645,DWH
0,44,222,666,627,WDH
0,56,753,208,696,DWH
0,45,1096,185,629,DWH
0,34,0,0,698,WDH
0,28,735,17,704,WDH
0,2,183,279,675,DWH
0,33,332,23,743,WDH
0,54,332,220,787,DWH
0,54,784,200,812,DWH
0,33,767,628,777,WDH
0,20,0,241,796,DWH
0,10,0,709,791,WDH
0,2,1096,354,791,DWH
0,20,177,673,805,WDH
0,41,256,405,897,WDH
0,41,256,162,897,WDH
0,44,0,67,852,WDH
0,75,697,10,855,WDH
0,14,697,200,919,WDH
0,73,746,573,931,WDH
0,2,256,18,897,WDH
0,2,791,419,919,WDH
0,20,0,241,974,DWH
0,53,167,241,1024,WDH
0,75,0,650,985,WDH
0,65,690,129,1052,WDH
0,74,716,563,1079,WDH
0,37,0,0,1030,DWH
0,20,256,18,1092,WDH
0,74,8,601,1172,WDH
0,53,167,241,1172,WDH
0,36,690,129,1194,WDH
0,20,0,303,1152,DWH
0,73,716,563,1219,WDH
0,20,0,16,1230,DWH
0,36,167,527,1320,WDH
0,36,167,241,1320,WDH
0,3,256,18,1270,WDH
0,73,690,129,1333,WDH
0,20,0,303,1333,DWH
0,37,0,590,1320,DWH
0,64,677,525,1367,WDH
0,37,0,0,1408,DWH
0,60,203,241,1459,DWH
0,3,166,604,1459,WDH
0,75,256,18,1463,WDH
0,48,690,129,1481,WDH
0,59,677,525,1538,WDH
0,16,2,322,1511,DWH
0,22,0,602,1520,DWH
0,13,0,0,1608,DWH
0,12,203,461,1652,WDH
0,47,256,18,1652,WDH
0,47,203,241,1652,WDH
0,17,203,659,1652,WDH
0,66,690,129,1672,WDH
0,75,677,525,1722,WDH
0,16,2,322,1725,DWH
0,17,2,590,1773,DWH
0,16,2,54,1817,DWH
0,67,171,590,1879,WDH
0,68,167,54,1879,WDH
0,68,690,129,1879,WDH
0,68,167,276,1879,WDH
0,39,677,525,1908,WDH
1,70,297,226,0,WDH
1,1,568,0,0,WDH
1,31,297,570,0,WDH
1,32,297,397,0,WDH
1,31,0,619,0,WDH
1,69,296,0,0,WDH
1,67,0,0,0,WDH
1,19,0,436,0,WDH
1,49,0,226,0,WDH
1,61,608,226,0,WDH
1,61,608,427,0,WDH
1,76,972,302,0,DWH
1,18,608,628,0,WDH
1,18,827,0,0,WDH
