bin,item,x,y,z,orientation
0,168,0,297,0,WDH
0,41,961,594,0,WDH
0,75,650,594,0,WDH
0,153,812,0,0,WDH
0,153,812,253,0,WDH
0,168,406,297,0,WDH
0,206,325,594,0,WDH
0,168,0,0,0,WDH
0,206,0,594,0,WDH
0,168,406,0,0,WDH
0,127,982,27,164,WDH
0,34,140,626,164,WDH
0,34,476,626,164,WDH
0,199,812,212,164,WDH
0,199,812,526,164,WDH
0,114,0,274,165,WDH
0,114,340,274,165,WDH
0,127,680,0,165,WDH
0,114,0,0,165,WDH
0,114,340,0,165,WDH
0,39,684,186,165,DWH
0,39,12,620,165,DWH
0,39,684,406,165,DWH
0,129,906,212,257,WDH
0,116,30,19,257,DWH
0,200,846,496,257,WDH
0,200,290,282,257,WDH
0,73,525,628,257,WDH
0,73,204,628,257,WDH
0,58,153,315,257,DWH
0,167,234,11,257,WDH
0,116,938,0,258,WDH
0,112,682,12,259,WDH
0,1,0,274,257,DWH
0,125,684,186,324,DWH
0,1,0,636,324,DWH
0,81,147,154,386,WDH
0,22,866,6,386,DWH
0,81,147,497,386,WDH
0,81,614,497,386,WDH
0,44,633,186,394,DWH
0,1,408,0,386,WDH
0,1,0,0,386,WDH
0,1,204,0,386,WDH
0,22,866,6,443,DWH
0,113,1081,497,386,DWH
0,169,0,498,445,WDH
0,46,461,561,445,WDH
0,169,147,155,445,WDH
0,121,873,504,445,DWH
0,125,608,155,462,DWH
0,22,866,6,502,DWH
0,81,0,497,529,WDH
0,81,147,30,529,DWH
0,88,467,570,529,WDH
0,46,511,155,532,DWH
0,81,897,0,559,DWH
0,112,1043,474,529,DWH
0,46,61,561,588,WDH
0,46,105,282,588,WDH
0,46,105,3,588,WDH
0,118,467,561,594,WDH
0,127,511,119,616,WDH
0,15,511,304,616,WDH
0,186,819,131,618,WDH
0,30,971,474,631,WDH
0,30,266,346,672,WDH
0,164,36,561,672,WDH
0,186,114,3,672,WDH
0,39,897,0,618,WDH
0,30,533,643,688,WDH
0,37,51,349,672,WDH
0,30,574,129,710,WDH
0,74,524,316,711,DWH
0,186,819,129,724,WDH
0,68,962,472,736,WDH
0,52,288,346,777,DWH
0,56,4,521,777,DWH
0,149,0,0,778,WDH
0,68,524,643,793,WDH
0,68,4,354,794,WDH
0,94,513,115,815,DWH
0,83,530,472,815,WDH
0,149,819,23,830,DWH
0,39,291,710,777,WDH
0,83,962,472,842,WDH
0,113,1102,239,830,DWH
0,52,288,346,882,DWH
0,66,0,0,884,WDH
0,122,0,539,874,DWH
0,94,513,115,920,DWH
0,66,820,64,936,DWH
0,18,516,643,899,WDH
0,86,33,346,900,WDH
0,71,160,619,874,DWH
0,62,617,472,922,WDH
0,116,982,472,949,WDH
