bin,item,x,y,z,orientation
0,725,437,0,0,WDH
0,941,0,0,0,WDH
0,555,831,557,0,WDH
0,743,437,557,0,WDH
0,697,0,633,0,WDH
0,743,820,274,0,WDH
0,743,835,0,0,WDH
0,886,0,339,0,WDH
0,297,437,274,0,WDH
0,820,824,310,114,WDH
0,820,412,306,114,WDH
0,820,824,0,114,WDH
0,798,0,633,114,WDH
0,798,419,633,114,WDH
0,882,0,0,114,WDH
0,882,0,306,114,WDH
0,882,412,0,114,WDH
0,409,838,633,114,WDH
0,732,360,7,268,WDH
0,263,840,213,268,DWH
0,43,0,0,268,WDH
0,263,420,250,268,WDH
0,263,0,250,268,WDH
0,469,840,19,268,WDH
0,695,855,656,271,WDH
0,695,470,656,271,WDH
0,695,85,656,271,WDH
0,402,720,25,271,DWH
0,185,37,0,340,DWH
0,185,917,0,340,DWH
0,185,377,250,340,WDH
0,732,378,7,340,WDH
0,117,508,573,348,WDH
0,117,150,573,348,WDH
0,86,866,523,348,WDH
0,439,100,467,348,WDH
0,655,377,283,400,WDH
0,862,37,28,400,DWH
0,655,866,62,400,DWH
0,160,378,7,406,WDH
0,95,100,573,416,WDH
0,481,523,573,416,WDH
0,86,866,523,420,WDH
0,748,819,7,486,DWH
0,748,6,7,502,DWH
0,748,357,7,502,WDH
0,185,6,469,502,WDH
0,39,801,497,502,WDH
0,263,820,114,526,WDH
0,263,49,86,542,WDH
0,729,499,9,542,WDH
0,86,0,523,559,WDH
0,729,801,497,572,DWH
0,421,374,523,559,DWH
0,263,820,0,598,WDH
0,729,54,174,614,WDH
0,263,400,0,614,WDH
0,247,74,523,631,WDH
0,247,801,497,639,WDH
0,34,123,60,614,WDH
0,263,820,0,670,WDH
0,247,520,0,686,WDH
0,332,87,174,686,WDH
0,469,479,241,686,WDH
0,115,374,523,656,DWH
0,3,91,571,693,WDH
0,3,801,497,701,WDH
0,270,374,28,686,DWH
0,403,820,85,742,WDH
0,641,119,27,737,WDH
0,313,520,0,754,DWH
0,706,374,523,754,DWH
0,481,87,174,754,DWH
0,426,2,589,763,WDH
0,426,801,497,771,WDH
0,421,374,27,798,DWH
0,225,917,0,818,DWH
0,225,28,55,831,DWH
0,706,374,523,831,DWH
0,209,501,27,837,DWH
0,426,2,523,841,WDH
0,552,810,496,849,WDH
0,54,48,747,841,WDH
0,54,211,747,841,WDH
0,938,917,224,897,WDH
0,938,917,0,897,WDH
0,900,0,315,910,WDH
0,938,374,523,910,DWH
0,938,0,0,910,DWH
0,587,501,318,919,WDH
0,844,224,32,919,WDH
0,269,2,508,919,WDH
0,878,810,496,929,WDH
0,108,628,0,1008,DWH
0,948,224,0,1008,WDH
0,912,0,504,1008,WDH
0,853,390,303,1013,WDH
0,355,765,502,1145,WDH
0,403,836,98,1175,WDH
0,18,224,291,1184,WDH
0,313,224,0,1184,WDH
0,18,508,291,1184,WDH
0,651,374,491,1188,DWH
0,552,0,501,1188,WDH
0,18,0,217,1188,DWH
0,421,699,0,1184,DWH
0,36,0,0,1188,WDH
0,95,760,499,1229,WDH
0,313,826,0,1251,DWH
0,237,511,294,1263,WDH
0,726,19,212,1267,DWH
0,313,224,0,1267,WDH
0,252,0,487,1268,WDH
0,253,402,500,1268,WDH
0,188,222,294,1267,WDH
0,36,2,0,1284,WDH
0,131,760,499,1311,WDH
0,34,407,726,1268,WDH
0,34,699,40,1281,DWH
0,656,813,40,1334,WDH
0,301,481,294,1344,WDH
0,660,224,4,1350,WDH
0,514,0,227,1350,DWH
0,252,0,487,1350,WDH
0,514,402,514,1350,WDH
0,188,222,294,1357,WDH
0,660,662,514,1391,WDH
0,548,0,0,1380,DWH
0,447,914,0,1416,WDH
0,494,1076,514,1391,DWH
0,10,685,18,1404,DWH
0,587,956,230,1416,WDH
0,301,552,291,1427,WDH
0,551,21,487,1428,WDH
0,160,244,18,1431,WDH
0,188,19,227,1431,DWH
0,163,424,514,1431,DWH
0,188,293,291,1447,WDH
0,447,750,577,1471,WDH
0,424,0,0,1483,WDH
0,740,813,18,1489,WDH
0,163,956,230,1510,WDH
0,424,552,291,1510,WDH
0,450,1079,468,1490,DWH
0,551,19,486,1516,WDH
0,354,424,514,1521,WDH
0,424,0,221,1521,WDH
0,160,372,18,1522,WDH
0,188,293,291,1537,WDH
0,387,743,514,1544,WDH
0,278,241,0,1522,DWH
0,424,0,0,1567,WDH
0,740,838,0,1583,WDH
0,592,552,286,1594,WDH
0,587,1060,526,1594,DWH
0,335,881,230,1596,WDH
0,306,0,442,1604,DWH
0,534,291,545,1610,WDH
0,579,401,0,1613,WDH
0,480,37,232,1610,WDH
0,637,291,310,1627,WDH
0,20,741,610,1635,WDH
0,637,140,28,1651,WDH
0,740,838,31,1677,WDH
0,306,838,230,1686,WDH
0,637,552,286,1686,WDH
0,306,0,442,1695,DWH
0,534,291,512,1697,WDH
0,579,401,0,1697,WDH
0,286,1060,526,1697,DWH
0,740,37,232,1716,WDH
0,548,744,610,1720,WDH
0,189,87,0,1737,WDH
0,849,850,0,1777,DWH
0,165,451,0,1786,WDH
0,655,280,512,1786,WDH
0,30,0,442,1786,DWH
0,526,1072,518,1795,DWH
0,162,0,251,1810,WDH
0,548,744,610,1823,WDH
0,269,0,0,1841,WDH
0,849,850,7,1870,DWH
0,534,278,442,1872,WDH
0,30,0,497,1877,DWH
0,165,451,0,1877,WDH
0,526,1072,518,1896,DWH
0,57,0,239,1912,WDH
0,627,105,0,1930,WDH
0,548,744,610,1926,WDH
0,55,344,239,1912,DWH
0,461,350,531,1963,WDH
0,555,974,116,1963,DWH
0,102,809,331,1963,DWH
0,582,60,434,1968,DWH
0,582,606,41,1968,WDH
0,136,452,136,1968,DWH
0,34,989,2,1963,WDH
0,34,493,417,1963,WDH
0,526,1072,518,1997,DWH
0,130,0,0,2022,DWH
0,548,744,610,2029,WDH
0,136,297,43,2022,DWH
0,299,459,14,1968,WDH
0,423,974,116,2075,DWH
0,335,350,531,2075,WDH
0,595,606,56,2076,WDH
0,165,0,441,2076,DWH
0,207,750,331,2076,WDH
0,130,0,17,2106,DWH
0,401,344,240,2091,WDH
0,526,1072,518,2098,DWH
1,820,0,310,0,WDH
1,888,406,538,0,WDH
1,820,0,0,0,WDH
1,806,406,0,0,WDH
1,806,406,269,0,WDH
1,819,846,308,0,WDH
1,417,0,620,0,WDH
1,819,846,0,0,WDH
1,417,846,616,0,WDH
1,636,66,636,157,WDH
1,838,572,617,157,WDH
1,838,906,617,157,WDH
