bin,item,x,y,z,orientation
0,467,1002,525,0,DWH
0,370,818,220,0,DWH
0,371,818,0,0,WDH
0,414,409,281,0,WDH
0,414,0,281,0,WDH
0,97,670,562,0,DWH
0,414,409,0,0,WDH
0,457,335,562,0,WDH
0,457,0,562,0,WDH
0,467,1002,220,0,DWH
0,414,0,0,0,WDH
0,198,818,698,0,WDH
0,342,502,18,170,WDH
0,20,429,242,170,WDH
0,100,19,303,170,WDH
0,338,64,58,170,WDH
0,342,1002,514,174,DWH
0,147,365,635,174,WDH
0,338,0,595,174,WDH
0,226,896,6,175,WDH
0,342,1002,198,175,DWH
0,274,818,220,176,DWH
0,306,662,617,177,DWH
0,345,818,506,176,WDH
0,167,429,1,234,WDH
0,338,429,242,238,WDH
0,226,1034,198,243,DWH
0,116,1024,559,238,DWH
0,403,0,0,243,DWH
0,172,0,522,248,WDH
0,154,896,9,248,WDH
0,279,402,494,248,DWH
0,212,794,204,271,DWH
0,208,463,6,292,WDH
0,281,657,552,279,DWH
0,208,463,251,311,WDH
0,208,1004,228,314,DWH
0,27,64,6,333,WDH
0,172,0,494,333,WDH
0,208,402,494,338,DWH
0,215,977,559,333,WDH
0,215,902,20,337,WDH
0,266,463,1,375,WDH
0,337,210,360,333,WDH
0,337,0,360,333,WDH
0,281,845,271,367,DWH
0,215,638,577,378,DWH
0,208,463,251,394,WDH
0,73,1004,228,397,DWH
0,172,0,522,415,WDH
0,236,0,81,415,WDH
0,38,409,515,421,DWH
0,197,928,559,429,WDH
0,322,876,1,433,WDH
0,268,448,43,458,WDH
0,268,448,251,477,WDH
0,169,110,374,458,WDH
0,263,929,265,485,WDH
0,322,638,515,474,DWH
0,199,110,38,505,DWH
0,199,0,575,505,WDH
0,22,427,507,521,DWH
0,199,904,559,532,WDH
0,10,547,5,543,WDH
0,60,876,1,534,WDH
0,199,904,294,567,WDH
0,202,427,265,562,WDH
0,169,110,374,562,WDH
0,202,110,38,589,DWH
0,122,0,575,589,WDH
0,60,638,507,575,DWH
0,83,757,265,562,DWH
0,361,853,574,616,WDH
0,158,353,530,613,DWH
0,202,546,1,636,WDH
0,165,876,11,639,WDH
0,324,907,213,651,DWH
0,202,427,265,656,WDH
0,352,11,527,682,WDH
0,228,7,68,683,WDH
0,169,110,368,666,WDH
0,91,625,523,682,DWH
0,71,757,293,682,DWH
0,361,853,574,708,WDH
0,158,353,523,717,DWH
0,202,546,1,730,WDH
0,301,876,1,752,WDH
0,202,427,265,752,WDH
0,202,905,293,752,WDH
0,427,0,388,773,DWH
0,361,59,1,775,DWH
0,423,697,535,800,WDH
0,202,325,598,821,WDH
0,284,546,1,824,WDH
0,361,427,265,846,WDH
0,375,869,1,846,DWH
0,284,0,538,872,WDH
0,423,0,0,872,DWH
0,375,655,542,895,WDH
0,372,301,265,939,WDH
0,447,920,1,939,DWH
0,230,323,538,915,DWH
0,135,428,1,921,WDH
0,4,1120,629,895,DWH
0,209,2,265,969,DWH
0,59,32,0,969,WDH
0,59,50,657,969,WDH
0,349,627,569,988,WDH
0,372,993,0,1033,DWH
0,349,537,261,1038,WDH
0,349,537,0,1038,WDH
0,325,301,135,1038,DWH
0,257,1083,630,1038,DWH
0,191,0,434,1076,DWH
0,191,0,28,1076,DWH
0,361,606,522,1085,WDH
0,361,853,247,1135,WDH
0,248,999,77,1132,WDH
0,395,696,3,1135,WDH
0,395,550,269,1135,WDH
0,159,549,3,1135,DWH
0,456,301,108,1154,DWH
0,267,1083,598,1154,DWH
0,421,0,574,1177,WDH
0,421,0,198,1177,DWH
0,392,606,537,1177,WDH
0,48,0,9,1177,WDH
0,410,853,247,1227,WDH
0,341,1007,41,1241,WDH
0,248,1058,598,1347,DWH
0,157,335,3,1347,DWH
0,248,999,0,1356,WDH
0,433,550,170,1372,DWH
0,11,550,0,1372,WDH
0,382,865,170,1372,WDH
0,439,28,408,1372,DWH
0,429,10,3,1372,DWH
0,314,359,598,1372,WDH
