bin,item,x,y,z,orientation
0,24,742,0,0,WDH
0,24,0,520,0,WDH
0,24,374,524,0,WDH
0,24,374,262,0,WDH
0,2,742,524,0,WDH
0,23,0,0,0,WDH
0,2,960,524,0,WDH
0,24,374,0,0,WDH
0,24,0,258,0,WDH
0,24,742,262,0,WDH
0,26,0,218,161,WDH
0,26,435,529,161,WDH
0,1,252,11,161,WDH
0,33,870,445,161,DWH
0,1,0,11,161,WDH
0,33,435,248,161,WDH
0,32,870,65,161,DWH
0,26,0,529,161,WDH
0,8,504,11,161,WDH
0,8,504,11,278,WDH
0,16,907,547,301,WDH
0,13,195,324,301,WDH
0,13,230,617,301,WDH
0,3,872,324,301,WDH
0,3,504,324,301,WDH
0,4,43,270,301,DWH
0,3,539,617,301,WDH
0,4,78,563,301,DWH
0,9,917,110,301,WDH
0,12,0,0,304,WDH
0,8,504,11,395,WDH
0,13,195,25,412,WDH
0,13,931,44,429,WDH
0,21,823,517,429,WDH
0,7,421,590,429,WDH
0,7,838,267,429,WDH
0,13,291,281,429,DWH
0,13,514,367,429,WDH
0,13,68,281,431,DWH
0,13,112,590,431,WDH
0,11,17,10,412,DWH
0,10,589,44,512,WDH
0,39,808,336,552,WDH
0,39,556,408,552,DWH
0,25,293,191,552,DWH
0,39,808,588,552,WDH
0,38,953,3,552,DWH
0,6,66,276,554,DWH
0,6,242,613,554,WDH
0,5,203,3,535,WDH
0,10,611,3,638,WDH
0,31,0,0,638,DWH
0,22,188,623,716,WDH
0,28,21,270,716,DWH
0,15,556,623,740,WDH
0,15,185,44,740,WDH
0,5,921,652,740,WDH
0,19,293,303,740,WDH
0,19,645,303,740,WDH
0,15,997,225,740,DWH
0,37,559,3,763,WDH
0,2,1022,0,740,WDH
0,18,21,270,917,DWH
0,2,996,6,897,WDH
0,32,616,6,937,WDH
0,32,616,554,938,WDH
0,32,616,280,938,WDH
0,39,118,9,937,WDH
0,37,1012,446,937,DWH
0,35,272,270,938,WDH
0,34,236,623,910,WDH
0,35,18,280,1059,DWH
0,38,679,266,1077,WDH
0,38,679,553,1077,WDH
0,36,550,11,1076,WDH
0,38,346,266,1109,WDH
0,31,1055,0,1059,DWH
0,36,198,11,1115,WDH
0,30,1012,446,1109,DWH
0,30,236,623,1126,WDH
0,19,59,266,1227,DWH
0,36,679,266,1259,DWH
0,30,678,624,1259,WDH
0,36,550,11,1287,WDH
0,36,429,266,1291,DWH
0,14,243,31,1326,WDH
0,17,1064,464,1337,DWH
0,31,979,76,1318,WDH
0,17,302,664,1354,WDH
0,17,53,442,1425,WDH
0,17,53,266,1425,WDH
0,40,679,469,1470,WDH
0,20,679,266,1470,WDH
0,20,718,637,1487,WDH
0,29,682,99,1498,WDH
0,29,517,266,1502,DWH
0,29,253,99,1560,WDH
0,29,1064,464,1572,DWH
0,29,421,637,1589,WDH
0,27,979,98,1577,WDH
