bin,item,x,y,z,orientation
0,214,0,0,0,WDH
0,270,944,0,0,DWH
0,73,0,666,0,WDH
0,143,453,582,0,WDH
0,169,453,0,0,WDH
0,126,253,666,0,WDH
0,169,453,291,0,WDH
0,214,0,333,0,WDH
0,406,944,482,0,DWH
0,24,86,18,129,WDH
0,24,86,342,129,WDH
0,14,998,44,136,DWH
0,54,970,431,136,DWH
0,232,453,351,136,WDH
0,176,453,92,136,WDH
0,26,5,680,136,WDH
0,55,224,683,136,WDH
0,24,86,342,201,WDH
0,47,94,65,201,WDH
0,25,458,10,225,DWH
0,54,477,445,225,DWH
0,232,723,365,225,WDH
0,176,695,106,225,WDH
0,4,259,514,278,DWH
0,176,0,295,278,DWH
0,54,0,49,278,WDH
0,464,731,469,314,WDH
0,450,777,82,314,WDH
0,65,505,501,314,DWH
0,187,416,11,314,DWH
0,29,41,55,365,WDH
0,29,265,486,365,DWH
0,176,6,295,367,DWH
0,380,409,0,412,DWH
0,380,801,0,412,WDH
0,380,801,392,412,WDH
0,207,520,439,412,DWH
0,117,69,0,442,WDH
0,25,283,439,442,DWH
0,25,46,439,456,DWH
0,120,69,284,456,WDH
0,353,824,503,526,WDH
0,353,824,166,526,WDH
0,122,496,4,526,DWH
0,85,97,53,531,WDH
0,148,307,507,531,WDH
0,117,23,500,545,DWH
0,66,801,0,531,WDH
0,100,1007,10,531,WDH
0,4,475,237,613,WDH
0,25,446,0,613,WDH
0,4,889,375,615,WDH
0,4,889,587,615,WDH
0,4,889,163,615,WDH
0,4,120,25,621,WDH
0,4,351,473,627,DWH
0,4,563,587,627,WDH
0,108,94,473,633,WDH
0,120,0,702,633,WDH
0,108,446,237,692,WDH
0,70,77,21,702,WDH
0,70,439,21,702,WDH
0,180,916,267,702,DWH
0,148,372,466,706,WDH
0,108,115,466,718,WDH
0,120,1005,0,672,WDH
0,40,801,0,665,WDH
0,100,703,237,702,WDH
0,77,1016,138,702,WDH
0,81,438,237,777,WDH
0,81,1016,260,807,DWH
0,296,573,466,807,WDH
0,187,115,466,807,WDH
0,111,995,525,807,WDH
0,90,77,21,810,WDH
0,70,383,21,810,WDH
0,21,748,0,822,WDH
0,111,703,237,843,WDH
0,105,995,705,807,WDH
0,120,981,0,811,WDH
0,296,576,490,901,WDH
0,296,157,490,901,WDH
0,109,383,237,874,WDH
0,68,0,0,917,WDH
0,115,1021,153,904,DWH
0,109,383,44,918,WDH
0,45,727,0,933,WDH
0,130,1001,533,914,WDH
0,45,699,237,950,WDH
0,461,26,490,995,WDH
0,365,508,476,995,WDH
0,296,36,0,1012,DWH
0,80,402,243,980,WDH
0,5,985,0,950,WDH
0,115,1001,161,1014,DWH
0,77,1016,718,954,WDH
0,33,389,0,1024,WDH
0,60,747,0,1049,WDH
0,115,402,243,1100,WDH
0,365,508,476,1100,WDH
0,461,26,490,1101,WDH
0,365,0,0,1106,DWH
0,123,790,232,1066,DWH
0,130,1010,546,1053,WDH
0,115,1032,174,1124,DWH
0,115,359,0,1140,WDH
0,5,985,0,1111,WDH
0,77,1010,718,1124,WDH
0,354,390,505,1210,WDH
0,354,0,505,1210,WDH
0,381,390,221,1210,WDH
0,365,0,18,1211,DWH
0,116,787,534,1210,DWH
0,33,1023,208,1234,DWH
0,33,390,4,1250,WDH
0,44,16,540,1306,WDH
0,46,411,505,1306,WDH
0,381,359,221,1310,WDH
0,365,0,0,1316,DWH
0,12,787,561,1334,WDH
0,7,953,182,1350,DWH
0,44,0,540,1403,WDH
0,56,374,4,1366,WDH
0,30,359,221,1410,WDH
0,19,409,505,1403,WDH
0,365,0,53,1421,DWH
0,30,787,561,1454,WDH
0,377,844,182,1460,WDH
0,19,0,540,1500,WDH
0,414,373,182,1510,WDH
0,365,0,0,1526,DWH
0,203,378,501,1512,WDH
0,73,359,0,1500,WDH
0,280,767,555,1554,WDH
0,461,854,73,1570,DWH
0,348,2,501,1609,WDH
0,414,359,171,1613,WDH
0,425,11,51,1631,DWH
0,203,378,501,1631,WDH
0,280,767,555,1664,WDH
0,461,895,0,1676,DWH
0,79,359,0,1631,WDH
0,452,378,172,1716,WDH
0,262,0,502,1716,WDH
0,262,378,501,1752,WDH
0,425,0,0,1752,DWH
0,414,769,521,1774,WDH
0,461,895,39,1782,DWH
0,79,348,0,1782,WDH
0,190,348,167,1835,WDH
0,262,0,502,1837,WDH
0,412,394,516,1873,WDH
0,279,22,87,1873,DWH
0,273,769,521,1877,WDH
0,190,912,0,1888,DWH
0,380,348,87,1940,WDH
0,273,744,479,1992,WDH
0,273,0,0,1992,DWH
0,377,348,479,1992,WDH
0,273,875,41,1993,DWH
0,444,13,495,1958,WDH
0,273,437,172,2054,WDH
1,193,843,286,0,WDH
1,301,0,278,0,WDH
1,301,0,0,0,WDH
1,291,436,556,0,WDH
1,152,0,556,0,WDH
1,152,407,0,0,WDH
1,152,407,253,0,WDH
1,367,843,0,0,WDH
1,347,843,579,0,WDH
1,400,909,0,177,WDH
1,298,606,274,177,WDH
1,204,606,0,177,WDH
1,204,0,274,177,WDH
1,204,303,274,177,WDH
1,435,1017,274,177,DWH
1,204,0,0,177,WDH
1,204,0,548,177,WDH
1,204,303,0,177,WDH
1,298,828,556,177,WDH
1,266,303,563,180,WDH
1,427,644,480,180,DWH
1,213,356,556,400,WDH
1,443,297,297,414,WDH
1,270,481,0,414,WDH
1,161,0,0,414,WDH
1,161,0,297,414,DWH
1,10,667,297,414,WDH
1,261,828,556,414,WDH
1,244,963,0,414,DWH
1,392,297,548,509,WDH
1,342,922,112,544,DWH
1,270,440,3,544,WDH
1,217,13,358,544,DWH
1,255,26,4,544,WDH
1,455,484,304,550,WDH
1,297,809,545,550,WDH
1,77,297,297,550,DWH
1,333,332,545,622,WDH
1,342,922,3,655,DWH
1,333,0,0,673,DWH
1,228,0,477,673,DWH
1,455,419,297,673,WDH
1,189,809,545,673,WDH
1,34,692,0,674,DWH
1,479,259,0,674,WDH
1,479,290,546,739,WDH
1,342,939,0,766,DWH
1,479,259,0,794,WDH
1,113,520,295,794,WDH
1,479,5,398,794,DWH
1,114,20,24,794,DWH
1,479,723,546,797,WDH
1,114,692,24,797,DWH
1,77,297,313,716,DWH
1,479,290,546,856,WDH
1,342,931,24,877,DWH
1,385,0,406,911,DWH
1,205,259,10,911,WDH
1,113,520,295,911,WDH
1,92,723,546,914,WDH
1,113,0,0,914,DWH
1,116,625,10,917,WDH
1,77,297,313,882,DWH
1,342,269,539,973,WDH
1,118,960,99,988,DWH
1,118,701,539,1035,WDH
1,116,625,233,1035,DWH
1,51,0,307,1035,DWH
1,141,0,0,1035,WDH
1,58,625,0,1041,WDH
1,17,10,629,1035,WDH
1,118,344,539,1084,WDH
