bin,item,x,y,z,orientation
0,597,346,0,0,WDH
0,597,373,296,0,WDH
0,497,1012,0,0,DWH
0,805,702,0,0,WDH
0,887,0,296,0,WDH
0,898,0,0,0,WDH
0,624,373,554,0,WDH
0,545,1028,296,0,DWH
0,688,729,587,0,WDH
0,505,0,546,0,WDH
0,48,1078,587,0,DWH
0,359,729,296,0,WDH
0,246,0,299,214,WDH
0,213,1028,566,214,DWH
0,246,693,554,214,WDH
0,213,962,0,214,WDH
0,115,481,0,214,WDH
0,246,311,299,214,WDH
0,115,0,0,214,WDH
0,246,622,299,214,WDH
0,246,0,524,215,WDH
0,213,962,193,218,WDH
0,213,429,554,218,WDH
0,165,1008,386,218,WDH
0,289,311,524,218,DWH
0,289,311,671,218,DWH
0,391,526,7,273,WDH
0,391,90,7,273,WDH
0,661,526,299,279,WDH
0,69,0,299,279,WDH
0,234,693,554,279,WDH
0,29,360,299,279,DWH
0,2,967,0,283,WDH
0,19,1040,562,283,DWH
0,234,8,524,283,WDH
0,297,421,555,287,DWH
0,19,962,200,287,WDH
0,134,962,386,310,WDH
0,165,1018,386,421,WDH
0,605,335,446,433,WDH
0,605,0,426,433,WDH
0,605,335,227,433,WDH
0,324,656,228,433,WDH
0,605,356,0,433,WDH
0,355,0,645,433,WDH
0,832,0,227,433,WDH
0,899,0,0,433,WDH
0,595,1018,562,433,DWH
0,610,939,0,433,WDH
0,851,656,456,433,WDH
0,851,656,636,433,WDH
0,707,311,671,433,WDH
0,324,656,0,433,WDH
0,810,939,196,435,WDH
0,249,1020,362,513,WDH
0,6,395,258,714,DWH
0,115,57,0,714,DWH
0,213,976,0,714,WDH
0,213,392,0,714,WDH
0,502,664,193,720,WDH
0,110,675,562,720,WDH
0,232,0,615,721,WDH
0,136,656,20,720,WDH
0,295,1029,605,721,DWH
0,68,366,679,720,WDH
0,45,422,193,756,DWH
0,208,133,491,721,WDH
0,115,0,0,783,DWH
0,502,677,264,796,DWH
0,136,930,20,783,WDH
0,165,392,17,783,WDH
0,230,1037,212,796,DWH
0,295,131,615,800,WDH
0,352,83,13,844,DWH
0,352,394,238,844,DWH
0,534,750,212,872,DWH
0,295,394,27,878,WDH
0,230,1037,212,890,DWH
0,839,394,238,923,DWH
0,839,0,0,923,DWH
0,206,83,615,890,WDH
0,98,136,444,923,WDH
0,489,730,183,952,DWH
0,258,463,682,923,WDH
0,258,730,682,952,WDH
0,79,352,37,968,WDH
0,230,1037,289,984,DWH
0,514,0,52,1007,DWH
0,45,394,282,1007,DWH
0,230,0,637,1007,WDH
0,839,636,238,1040,DWH
0,98,143,466,1028,WDH
0,258,463,682,1040,WDH
0,10,352,3,1067,WDH
0,137,1013,266,1078,DWH
0,258,730,682,1063,WDH
0,864,5,3,1103,DWH
0,32,398,238,1103,DWH
0,14,653,297,1124,DWH
0,178,155,637,1103,WDH
0,85,0,604,1103,DWH
0,32,352,0,1154,WDH
0,287,143,466,1133,WDH
0,258,463,682,1151,WDH
0,171,1013,266,1168,DWH
0,32,398,238,1193,DWH
0,527,12,33,1200,DWH
0,36,653,419,1207,WDH
0,178,136,643,1211,WDH
0,68,708,258,1207,WDH
0,32,352,0,1244,WDH
0,189,0,604,1213,DWH
0,287,136,482,1244,WDH
0,32,998,332,1270,DWH
0,36,387,298,1283,DWH
0,875,0,0,1286,DWH
0,133,444,683,1262,WDH
0,242,724,419,1301,DWH
0,32,352,0,1334,WDH
0,178,136,643,1319,WDH
0,93,708,208,1325,WDH
0,32,998,394,1360,DWH
0,32,352,238,1377,DWH
0,875,0,0,1381,DWH
0,68,62,465,1355,WDH
0,32,648,419,1397,WDH
0,128,444,661,1387,WDH
0,4,648,169,1431,WDH
0,30,352,0,1424,WDH
0,172,136,634,1427,WDH
0,229,998,394,1450,DWH
0,49,748,657,1397,WDH
0,4,391,236,1467,DWH
0,229,62,60,1476,DWH
0,229,62,387,1476,WDH
0,43,648,425,1487,WDH
0,229,667,186,1527,WDH
0,68,444,661,1504,WDH
0,117,301,5,1534,WDH
0,561,147,309,1572,WDH
0,138,998,394,1546,DWH
0,68,154,661,1545,WDH
0,158,772,657,1546,WDH
0,108,55,5,1572,DWH
0,250,682,429,1593,WDH
0,49,27,309,1572,DWH
0,86,667,92,1623,DWH
0,164,301,1,1642,WDH
0,876,169,307,1661,WDH
0,154,521,657,1623,WDH
0,138,998,468,1661,DWH
0,68,231,657,1663,WDH
0,128,772,657,1669,WDH
0,30,0,0,1687,WDH
0,268,667,425,1697,WDH
0,758,667,58,1730,WDH
0,133,12,307,1721,DWH
0,164,289,0,1745,WDH
0,649,169,307,1753,WDH
0,138,998,468,1769,DWH
0,154,521,658,1753,WDH
0,167,225,652,1781,WDH
0,345,672,29,1819,WDH
0,206,12,4,1797,DWH
0,268,636,436,1808,WDH
0,252,786,644,1786,WDH
0,649,12,307,1846,WDH
0,740,230,10,1848,WDH
0,199,960,436,1877,DWH
0,252,479,307,1846,DWH
