bin,item,x,y,z,orientation
0,181,0,0,0,WDH
0,74,334,639,0,WDH
0,186,802,327,0,WDH
0,186,0,327,0,WDH
0,74,622,639,0,WDH
0,125,0,639,0,WDH
0,186,401,327,0,WDH
0,58,910,639,0,WDH
0,186,788,0,0,WDH
0,186,387,0,0,WDH
0,138,848,466,147,WDH
0,191,387,0,147,WDH
0,66,387,371,147,WDH
0,196,848,0,147,DWH
0,28,0,327,147,WDH
0,83,931,639,151,WDH
0,86,679,639,151,WDH
0,142,14,64,154,WDH
0,103,0,635,151,WDH
0,110,436,654,151,WDH
0,1,373,631,228,WDH
0,194,863,299,250,WDH
0,194,863,0,250,WDH
0,50,105,0,250,WDH
0,50,484,0,250,WDH
0,38,879,598,250,WDH
0,28,26,329,253,WDH
0,196,387,307,255,WDH
0,27,24,631,256,WDH
0,116,679,631,250,WDH
0,42,1,57,250,DWH
0,4,926,556,360,WDH
0,142,467,278,360,WDH
0,76,58,373,360,WDH
0,142,177,0,360,DWH
0,46,440,0,360,WDH
0,46,840,0,360,WDH
0,46,840,278,360,WDH
0,72,111,621,375,WDH
0,35,679,560,379,DWH
0,140,467,541,360,WDH
0,33,132,278,454,WDH
0,33,132,0,454,WDH
0,4,430,0,454,WDH
0,4,926,541,454,WDH
0,76,476,293,454,WDH
0,76,858,293,454,WDH
0,218,744,0,454,WDH
0,33,132,556,480,WDH
0,89,657,541,497,WDH
0,42,1,57,472,DWH
0,171,527,199,548,WDH
0,171,127,0,548,WDH
0,171,527,0,548,WDH
0,40,438,541,548,WDH
0,40,489,398,548,WDH
0,40,270,398,548,WDH
0,40,708,398,548,WDH
0,153,925,558,548,WDH
0,171,127,199,548,WDH
0,204,927,279,548,WDH
0,204,927,0,548,WDH
0,29,110,541,571,WDH
0,80,657,541,588,DWH
0,21,90,405,548,WDH
0,89,110,583,697,WDH
0,127,900,609,755,WDH
0,19,593,333,755,WDH
0,93,58,23,755,WDH
0,114,536,48,755,WDH
0,114,98,256,755,WDH
0,93,927,127,759,DWH
0,96,719,574,739,DWH
0,152,110,583,788,WDH
0,62,432,583,755,WDH
0,128,900,574,838,WDH
0,72,593,340,842,WDH
0,128,58,256,858,WDH
0,92,489,23,858,WDH
0,47,0,0,859,WDH
0,47,922,194,863,DWH
0,91,746,587,858,DWH
0,152,110,583,888,WDH
0,62,387,281,858,DWH
0,124,950,591,937,WDH
0,91,432,563,929,WDH
0,124,590,263,947,DWH
0,124,110,293,957,DWH
0,148,547,34,959,WDH
0,148,255,34,964,WDH
0,148,0,0,964,DWH
0,148,839,263,968,WDH
0,148,140,588,988,WDH
0,91,746,587,973,DWH
0,39,900,565,1040,WDH
0,10,547,263,1050,DWH
0,38,547,34,1060,WDH
0,67,110,293,1060,WDH
0,50,168,34,1061,WDH
0,15,796,263,1065,WDH
0,116,432,588,1044,WDH
0,22,18,50,1061,DWH
0,67,103,569,1085,WDH
0,102,709,587,1088,DWH
0,67,911,592,1146,WDH
0,53,508,325,1158,WDH
0,6,796,34,1176,DWH
0,136,555,0,1176,DWH
0,68,432,584,1176,WDH
0,157,103,286,1176,WDH
0,156,168,16,1176,WDH
0,179,796,291,1181,WDH
0,38,71,569,1201,WDH
0,78,19,16,1188,DWH
0,102,720,613,1215,DWH
0,53,911,586,1262,WDH
0,108,494,286,1274,WDH
0,36,71,354,1307,WDH
0,129,420,527,1315,WDH
0,7,168,9,1315,WDH
0,7,476,9,1315,WDH
0,102,784,58,1315,DWH
0,27,71,581,1315,WDH
0,28,838,285,1319,WDH
0,78,0,0,1319,DWH
0,116,694,605,1342,WDH
0,14,895,586,1378,WDH
0,36,507,285,1383,WDH
0,14,116,358,1413,WDH
0,28,838,285,1434,WDH
0,24,92,581,1434,WDH
0,129,420,527,1439,WDH
0,24,161,30,1439,DWH
0,7,476,9,1439,WDH
0,97,784,11,1442,DWH
0,78,12,30,1450,DWH
0,11,838,586,1489,WDH
0,126,476,285,1489,WDH
0,81,92,367,1524,WDH
0,21,702,630,1471,DWH
0,24,817,285,1540,WDH
0,79,115,581,1558,WDH
0,129,420,570,1563,WDH
0,79,476,38,1563,WDH
0,79,161,111,1563,WDH
0,107,781,38,1579,WDH
0,78,0,0,1581,DWH
0,73,920,613,1616,WDH
0,73,497,317,1616,WDH
0,81,92,367,1648,WDH
0,73,817,285,1664,WDH
0,78,694,596,1654,DWH
0,73,54,601,1685,WDH
0,73,374,601,1685,WDH
0,121,425,38,1690,WDH
0,145,191,38,1690,DWH
0,121,781,88,1706,WDH
0,81,920,613,1733,WDH
0,121,461,285,1733,WDH
0,68,0,0,1712,DWH
0,100,54,398,1772,WDH
0,1,831,303,1781,WDH
0,1,384,601,1802,WDH
0,100,54,601,1802,WDH
0,134,694,596,1785,WDH
0,34,508,40,1811,WDH
0,34,235,40,1812,WDH
0,34,781,40,1827,WDH
0,227,463,285,1854,WDH
0,120,5,0,1854,DWH
0,101,920,571,1857,WDH
0,130,9,365,1899,WDH
0,97,863,286,1899,WDH
0,34,384,565,1919,WDH
0,116,657,615,1929,DWH
0,130,0,604,1929,WDH
0,136,541,0,1938,DWH
0,101,235,29,1939,WDH
0,37,839,41,1954,WDH
0,130,837,574,1988,WDH
0,97,5,49,1988,DWH
0,156,384,296,1988,WDH
0,139,0,331,2036,WDH
0,112,863,286,2036,WDH
0,99,375,603,2046,WDH
0,115,40,604,2064,WDH
1,186,0,312,0,WDH
1,109,385,624,0,WDH
1,109,703,624,0,WDH
1,186,401,0,0,WDH
1,186,0,0,0,WDH
1,131,0,624,0,WDH
1,185,800,312,0,WDH
1,185,802,0,0,WDH
1,185,401,312,0,WDH
1,134,1021,624,0,WDH
1,214,816,0,141,WDH
1,179,413,312,141,WDH
1,123,889,354,141,WDH
1,78,1056,608,147,DWH
1,179,0,128,147,WDH
1,179,401,24,147,WDH
1,123,354,605,147,WDH
1,214,0,416,147,DWH
1,123,705,605,147,WDH
1,150,84,0,147,WDH
1,78,820,3,280,DWH
1,116,1060,645,280,DWH
1,60,969,1,280,WDH
1,214,0,416,280,DWH
1,214,816,235,280,WDH
1,123,465,354,280,WDH
1,101,401,0,285,WDH
1,101,0,128,285,WDH
1,136,531,589,286,WDH
1,78,824,605,286,WDH
1,134,382,589,286,DWH
1,54,692,33,285,DWH
1,201,53,416,414,DWH
1,154,356,0,414,WDH
