bin,item,x,y,z,orientation
0,193,491,616,0,WDH
0,89,953,616,0,WDH
0,204,491,0,0,WDH
0,223,0,0,0,WDH
0,204,0,506,0,WDH
0,216,846,308,0,WDH
0,204,846,0,0,WDH
0,223,0,253,0,WDH
0,204,491,308,0,WDH
0,41,383,506,0,DWH
0,122,167,1,141,DWH
0,122,491,111,142,DWH
0,157,846,10,142,WDH
0,50,832,308,143,WDH
0,67,0,567,142,WDH
0,99,512,633,144,WDH
0,112,850,628,144,WDH
0,81,13,266,143,DWH
0,81,13,26,143,DWH
0,41,491,0,143,WDH
0,60,167,343,211,WDH
0,19,170,0,211,DWH
0,47,832,0,211,WDH
0,19,897,295,211,WDH
0,91,491,364,212,WDH
0,34,491,111,212,WDH
0,144,600,635,225,WDH
0,174,0,595,225,WDH
0,144,852,635,225,WDH
0,144,348,635,225,WDH
0,125,0,202,238,DWH
0,40,0,0,238,DWH
0,68,1112,616,225,DWH
0,15,515,616,315,WDH
0,212,739,0,315,WDH
0,119,160,0,315,DWH
0,149,853,334,315,WDH
0,184,369,0,315,WDH
0,184,186,343,315,DWH
0,79,814,616,315,WDH
0,91,494,334,317,WDH
0,16,0,595,315,DWH
0,120,0,305,360,DWH
0,94,326,714,315,WDH
0,26,185,374,428,DWH
0,227,413,374,428,WDH
0,149,45,0,428,WDH
0,119,579,619,428,WDH
0,219,802,0,428,WDH
0,184,432,0,428,WDH
0,184,870,374,428,WDH
0,60,0,305,449,DWH
0,145,0,632,431,DWH
0,134,870,679,428,WDH
0,58,195,280,428,WDH
0,84,852,362,543,WDH
0,50,454,387,543,WDH
0,52,56,35,543,WDH
0,50,444,70,543,WDH
0,50,842,70,543,WDH
0,161,622,679,543,WDH
0,186,181,552,543,WDH
0,186,181,387,543,WDH
0,209,454,324,612,WDH
0,110,454,40,612,WDH
0,144,1019,37,612,DWH
0,112,1019,289,612,DWH
0,228,0,0,617,WDH
0,170,1026,353,699,DWH
0,3,423,3,699,DWH
0,216,655,26,699,WDH
0,103,1040,35,699,DWH
0,164,458,324,700,DWH
0,187,649,324,700,WDH
0,52,56,35,799,WDH
0,52,97,472,824,WDH
0,110,526,395,841,WDH
0,67,460,0,842,DWH
0,188,733,0,842,WDH
0,61,1038,390,842,DWH
0,92,27,0,873,WDH
0,67,97,472,898,WDH
0,68,195,280,842,WDH
0,14,477,390,925,DWH
0,24,657,390,925,WDH
0,34,480,0,925,DWH
0,188,733,0,930,WDH
0,14,1060,573,941,DWH
0,174,0,0,956,WDH
0,172,77,472,981,WDH
0,148,1038,390,941,WDH
0,188,733,0,1019,WDH
0,7,737,390,1032,WDH
0,7,432,0,1032,WDH
0,136,477,390,1019,DWH
0,7,131,0,1044,WDH
0,172,0,501,1067,WDH
0,55,1038,546,1035,DWH
0,148,190,252,1032,WDH
0,188,733,0,1107,WDH
0,100,518,390,1121,WDH
0,140,432,0,1121,DWH
0,172,43,408,1153,DWH
0,118,164,6,1133,WDH
0,16,1040,546,1153,DWH
0,172,674,0,1195,WDH
0,100,518,390,1208,WDH
0,125,1069,0,1195,DWH
0,100,127,283,1239,DWH
0,118,432,0,1224,DWH
0,118,164,30,1239,WDH
0,118,670,0,1281,WDH
0,100,518,390,1295,WDH
0,127,1040,546,1269,DWH
0,128,670,238,1281,WDH
0,100,177,268,1326,DWH
0,27,1019,0,1317,DWH
0,150,432,0,1326,DWH
0,58,33,367,1239,DWH
0,58,33,585,1239,DWH
0,218,118,0,1341,WDH
0,210,526,390,1383,DWH
0,210,712,390,1383,WDH
0,210,693,0,1383,WDH
0,183,1047,512,1384,DWH
0,129,170,463,1413,WDH
0,71,164,662,1413,WDH
0,189,155,230,1413,WDH
0,181,432,0,1425,DWH
0,190,1019,47,1436,DWH
0,59,670,200,1436,WDH
0,58,820,576,1383,WDH
0,181,87,3,1585,WDH
0,150,460,112,1640,DWH
0,150,556,460,1640,WDH
0,86,1042,500,1629,DWH
0,128,829,390,1640,WDH
0,86,679,0,1640,WDH
0,9,136,662,1640,WDH
0,37,139,230,1640,WDH
0,21,670,206,1652,WDH
0,131,1019,17,1652,DWH
0,103,136,471,1652,WDH
0,158,8,482,1652,DWH
0,178,454,116,1739,DWH
0,178,454,482,1739,WDH
0,100,139,230,1796,DWH
0,100,634,116,1796,WDH
0,131,1042,500,1785,DWH
0,160,829,390,1796,DWH
0,114,0,0,1796,WDH
0,127,183,228,1883,WDH
0,97,148,404,1883,WDH
0,45,638,95,1883,DWH
0,97,848,113,1883,WDH
0,187,454,404,1932,WDH
0,57,454,116,1932,DWH
0,114,0,0,1932,WDH
0,187,829,390,1932,WDH
0,97,148,404,1996,WDH
0,97,848,113,1996,WDH
0,45,638,95,1996,DWH
0,62,1,450,1932,DWH
0,127,148,228,1998,WDH
0,106,1024,698,1932,WDH
0,45,143,18,2068,WDH
0,45,428,95,2068,DWH
0,127,1024,427,2070,DWH
0,97,760,403,2070,DWH
0,97,454,451,2070,WDH
1,226,364,0,0,WDH
1,213,786,252,0,WDH
1,226,364,252,0,WDH
1,226,364,504,0,WDH
1,226,786,0,0,WDH
1,85,0,596,0,WDH
1,216,0,0,0,WDH
1,216,0,298,0,WDH
1,185,786,527,0,WDH
1,192,715,624,146,WDH
1,192,715,192,146,WDH
1,192,0,51,146,WDH
1,192,367,42,146,WDH
1,211,0,558,146,WDH
1,11,1041,67,146,DWH
1,198,367,258,146,WDH
1,75,1041,554,146,DWH
1,192,715,408,146,WDH
1,198,367,549,146,WDH
1,198,0,267,146,WDH
1,167,715,17,146,WDH
1,158,1041,408,146,WDH
1,225,715,17,324,WDH
1,117,1070,17,324,DWH
1,166,0,0,324,WDH
1,44,426,0,324,WDH
1,55,715,647,324,WDH
1,126,715,293,324,DWH
1,225,0,558,324,WDH
1,171,1041,536,330,DWH
1,13,367,511,330,WDH
1,13,367,258,330,WDH
1,97,0,222,330,WDH
1,159,1054,373,426,WDH
1,82,717,647,442,WDH
1,222,269,250,442,WDH
1,175,1072,0,442,DWH
1,199,400,501,442,WDH
1,146,56,250,442,DWH
1,195,629,0,451,WDH
1,32,1042,536,451,DWH
1,88,3,0,451,DWH
1,199,57,558,451,WDH
1,146,746,293,451,DWH
1,195,186,0,451,WDH
1,13,324,226,630,WDH
1,177,15,250,630,DWH
1,125,1084,199,644,DWH
1,117,17,14,644,DWH
1,93,665,354,644,WDH
1,30,607,604,644,WDH
1,87,409,494,644,DWH
1,44,137,590,644,WDH
1,17,906,592,644,WDH
1,117,192,1,645,DWH
1,98,741,48,645,DWH
1,55,972,24,645,WDH
1,55,361,51,645,WDH
1,169,311,239,743,WDH
1,169,17,239,743,WDH
1,51,607,604,765,WDH
1,179,0,0,765,WDH
1,113,371,0,765,WDH
1,145,972,24,765,WDH
1,193,145,621,770,WDH
1,85,606,357,770,WDH
1,185,967,452,770,DWH
1,89,1034,191,770,DWH
1,163,703,13,772,DWH
1,151,348,475,770,WDH
1,201,0,231,852,WDH
1,64,401,231,852,DWH
1,78,268,0,899,WDH
1,78,959,13,899,WDH
1,78,0,0,899,WDH
1,169,665,591,902,WDH
1,179,588,104,909,WDH
1,163,615,335,909,WDH
1,53,967,255,910,WDH
1,154,145,621,914,WDH
1,147,959,497,916,DWH
1,51,18,171,1006,DWH
1,147,254,213,1006,WDH
1,162,653,611,1011,WDH
1,155,990,0,1025,WDH
1,56,277,0,1025,WDH
1,134,338,465,1025,WDH
1,134,31,0,1025,WDH
1,80,615,341,1040,WDH
1,107,601,104,1043,WDH
1,53,988,215,1043,WDH
1,160,233,629,1051,WDH
1,80,961,497,1054,DWH
1,107,601,611,1143,WDH
1,80,4,171,1143,DWH
1,80,254,213,1144,WDH
1,56,277,0,1168,WDH
1,155,990,0,1168,WDH
1,193,740,149,1176,DWH
1,20,575,296,1176,DWH
1,156,963,229,1176,WDH
1,160,233,629,1186,WDH
1,137,1027,478,1190,DWH
1,2,4,17,1168,WDH
1,142,338,471,1168,WDH
1,101,593,49,1176,DWH
1,137,4,171,1279,DWH
1,162,575,611,1279,WDH
1,132,254,213,1280,WDH
1,160,277,0,1309,WDH
1,155,963,14,1308,WDH
1,72,788,84,1320,DWH
1,224,760,313,1320,DWH
1,165,569,313,1324,DWH
1,130,960,229,1324,WDH
1,221,207,621,1324,WDH
1,116,981,467,1326,WDH
1,224,942,641,1326,WDH
1,202,254,213,1409,WDH
1,1,575,611,1409,WDH
1,33,593,49,1409,DWH
1,115,20,213,1415,DWH
1,151,20,0,1333,WDH
1,160,277,0,1444,WDH
1,155,990,0,1448,WDH
1,54,280,621,1541,WDH
1,46,568,319,1541,DWH
1,54,575,611,1553,WDH
1,54,254,337,1555,WDH
1,156,963,284,1541,WDH
1,54,37,259,1565,DWH
1,33,593,49,1555,DWH
1,90,760,322,1581,DWH
1,131,277,12,1581,WDH
1,160,784,79,1592,WDH
1,54,870,611,1592,WDH
1,156,0,0,1592,WDH
1,6,1093,23,1592,DWH
1,39,260,611,1674,WDH
1,131,568,300,1675,DWH
1,141,575,615,1686,WDH
1,22,254,259,1688,DWH
1,96,953,284,1689,WDH
1,168,5,273,1698,DWH
1,33,588,12,1701,DWH
1,90,767,284,1721,DWH
1,168,277,0,1723,WDH
1,39,925,613,1727,WDH
1,96,806,40,1727,WDH
1,64,0,0,1740,WDH
1,39,260,611,1820,WDH
1,39,533,296,1820,DWH
1,96,289,324,1831,DWH
1,48,621,615,1831,WDH
1,83,994,294,1838,DWH
1,96,2,367,1842,WDH
1,90,574,7,1847,DWH
1,101,1093,0,1762,DWH
1,141,771,318,1861,DWH
1,108,289,41,1867,DWH
1,141,925,613,1873,WDH
1,108,760,7,1876,WDH
1,90,0,0,1892,WDH
1,90,332,654,1966,WDH
1,141,548,318,1966,DWH
1,109,625,613,1970,WDH
1,139,332,352,1980,DWH
1,139,548,16,1990,DWH
1,20,994,298,1990,DWH
1,202,2,367,1991,WDH
1,64,1043,15,1995,DWH
1,83,302,16,2006,DWH
1,104,777,298,2006,DWH
1,83,724,3,2018,WDH
1,28,945,628,2018,WDH
1,9,0,19,2032,WDH
2,214,377,0,0,WDH
2,182,0,0,0,WDH
2,182,0,326,0,WDH
2,200,377,280,0,WDH
2,65,731,280,0,WDH
2,153,813,0,0,WDH
2,153,731,486,0,WDH
2,207,377,553,0,WDH
2,9,0,652,0,WDH
2,9,1071,486,0,DWH
2,29,1087,229,0,DWH
2,95,731,698,0,WDH
2,202,178,229,160,WDH
2,202,784,229,160,WDH
2,202,178,533,160,WDH
2,202,481,229,160,WDH
2,5,491,557,157,DWH
2,9,1073,544,157,DWH
2,9,11,525,160,DWH
2,9,11,229,160,DWH
2,31,259,0,160,WDH
2,86,900,0,160,WDH
2,86,560,0,160,WDH
2,121,22,0,160,WDH
2,2,784,533,160,WDH
2,73,1089,253,166,DWH
2,73,782,689,263,WDH
2,69,178,365,306,WDH
2,69,491,263,306,DWH
2,69,784,297,306,WDH
2,69,178,601,306,WDH
2,25,0,588,314,DWH
2,25,0,336,314,DWH
2,32,472,641,314,WDH
2,180,178,10,314,DWH
2,42,1073,597,314,DWH
2,175,0,74,314,DWH
2,36,647,0,316,WDH
2,77,479,0,316,DWH
2,192,914,0,316,WDH
2,66,789,538,325,WDH
2,73,1086,306,337,DWH
2,69,178,365,458,WDH
2,5,479,255,458,WDH
2,5,757,255,458,WDH
2,18,178,601,458,WDH
2,73,782,689,434,WDH
2,31,939,11,494,WDH
2,121,410,43,494,WDH
2,35,757,495,508,WDH
2,133,647,0,508,WDH
2,73,0,233,508,DWH
2,197,0,0,508,WDH
2,29,0,524,508,DWH
2,133,464,601,508,WDH
2,111,1035,360,508,WDH
2,59,511,263,615,DWH
2,203,221,491,615,DWH
2,59,232,315,615,WDH
2,203,687,252,615,WDH
2,43,391,0,648,WDH
2,5,937,0,648,WDH
2,105,0,524,677,DWH
2,4,464,601,677,WDH
2,208,687,495,677,WDH
2,123,644,0,677,WDH
2,49,46,53,678,WDH
2,105,0,259,679,DWH
2,74,909,23,807,WDH
2,43,391,47,807,WDH
2,74,970,305,826,WDH
2,64,230,284,826,WDH
2,43,211,653,826,WDH
2,43,464,309,826,WDH
2,43,717,309,826,WDH
2,43,211,467,826,WDH
2,49,917,495,842,DWH
2,206,464,495,842,WDH
2,123,644,20,846,WDH
2,10,0,553,850,DWH
2,10,0,67,850,WDH
2,102,28,259,852,DWH
2,4,909,25,957,WDH
2,194,208,476,985,DWH
2,191,208,259,985,WDH
2,206,644,233,985,WDH
2,36,368,24,966,WDH
2,194,788,546,1011,WDH
2,194,463,546,1011,WDH
2,76,635,24,1015,WDH
2,36,0,0,1022,WDH
2,75,0,235,1022,DWH
2,77,0,521,1022,DWH
2,77,903,24,1120,WDH
2,8,188,479,1148,WDH
2,77,208,633,1148,WDH
2,23,368,57,1151,WDH
2,12,892,229,1151,DWH
2,23,188,277,1151,WDH
2,222,463,295,1151,WDH
2,143,906,546,1174,WDH
2,195,463,546,1174,WDH
2,8,590,57,1199,WDH
2,8,0,521,1199,DWH
2,173,0,0,1206,WDH
2,175,0,180,1206,DWH
2,88,919,9,1294,WDH
2,23,188,633,1322,WDH
2,23,463,344,1336,WDH
2,23,685,324,1336,DWH
2,88,368,20,1340,DWH
2,88,188,296,1340,WDH
2,88,887,363,1340,WDH
2,88,906,546,1368,WDH
2,195,463,546,1368,WDH
2,42,590,47,1375,WDH
2,42,0,597,1375,DWH
2,101,216,486,1324,WDH
2,151,887,218,1340,WDH
2,176,0,180,1400,DWH
2,176,0,13,1401,WDH
2,135,877,27,1487,WDH
2,135,196,633,1511,WDH
2,176,546,324,1525,WDH
2,165,188,288,1533,WDH
2,152,368,12,1533,DWH
2,38,887,372,1533,WDH
2,195,463,598,1562,WDH
2,59,906,596,1561,WDH
2,38,574,44,1563,WDH
2,152,16,577,1563,DWH
2,70,2,288,1601,DWH
2,70,2,102,1602,WDH
2,138,887,225,1595,WDH
2,124,955,42,1693,WDH
2,63,196,485,1561,WDH
2,183,559,353,1726,WDH
2,205,196,293,1744,WDH
2,205,895,372,1752,WDH
2,138,590,596,1756,WDH
2,215,196,633,1717,WDH
2,217,368,12,1752,DWH
2,217,906,596,1768,WDH
2,196,0,548,1776,DWH
2,196,663,48,1782,WDH
2,215,0,292,1828,DWH
2,215,59,32,1829,DWH
3,215,0,0,0,WDH
3,215,256,0,0,WDH
3,215,0,191,0,WDH
3,215,256,191,0,WDH
3,63,0,382,0,WDH
3,63,205,382,0,WDH
3,220,512,0,0,WDH
