bin,item,x,y,z,orientation
0,6,1092,246,0,DWH
0,809,804,440,0,WDH
0,807,0,0,0,WDH
0,807,402,0,0,WDH
0,740,804,0,0,DWH
0,807,0,318,0,WDH
0,659,0,636,0,WDH
0,659,369,636,0,WDH
0,158,1092,0,0,DWH
0,807,402,318,0,WDH
0,816,904,463,156,DWH
0,533,930,186,156,DWH
0,730,439,466,156,WDH
0,361,930,60,156,WDH
0,730,465,61,156,WDH
0,730,0,61,156,WDH
0,890,0,435,156,WDH
0,148,1070,186,159,DWH
0,1,977,497,258,DWH
0,618,939,300,258,WDH
0,899,0,76,262,WDH
0,899,0,458,262,WDH
0,547,939,53,262,WDH
0,526,569,82,262,WDH
0,516,569,349,262,DWH
0,1,919,497,308,DWH
0,618,919,300,317,WDH
0,1,892,37,329,WDH
0,586,0,0,333,WDH
0,526,583,37,329,WDH
0,516,569,349,332,DWH
0,835,0,461,333,WDH
0,76,379,74,333,DWH
0,526,931,573,358,WDH
0,526,926,300,376,WDH
0,547,892,37,379,WDH
0,60,0,77,391,DWH
0,526,554,74,396,WDH
0,751,554,341,402,DWH
0,906,59,475,415,WDH
0,385,340,32,415,DWH
0,357,908,615,425,WDH
0,591,977,0,443,DWH
0,664,908,411,443,WDH
0,249,15,31,461,DWH
0,249,554,16,463,WDH
0,751,554,341,476,DWH
0,251,59,475,500,WDH
0,699,350,135,501,DWH
0,664,908,615,502,WDH
0,196,909,39,514,WDH
0,576,979,341,523,WDH
0,48,38,83,543,DWH
0,196,554,39,545,WDH
0,106,554,341,550,DWH
0,637,168,507,576,WDH
0,699,351,39,581,DWH
0,213,906,603,582,WDH
0,196,909,39,591,WDH
0,576,905,341,601,WDH
0,534,37,534,581,DWH
0,48,39,39,621,DWH
0,196,587,39,622,WDH
0,48,553,390,627,DWH
0,432,168,507,656,WDH
0,302,382,72,661,DWH
0,76,905,570,664,WDH
0,196,918,0,668,WDH
0,432,609,0,699,DWH
0,637,107,72,699,DWH
0,585,918,302,679,WDH
0,4,633,358,705,DWH
0,305,1,507,699,DWH
0,103,183,546,733,WDH
0,476,918,16,746,WDH
0,562,382,72,742,DWH
0,473,905,556,746,WDH
0,4,107,72,779,DWH
0,103,565,72,779,WDH
0,344,918,302,764,WDH
0,4,565,342,786,DWH
0,194,183,546,814,WDH
0,113,0,545,803,DWH
0,476,931,0,820,WDH
0,562,379,118,830,DWH
0,206,905,556,835,WDH
0,103,107,72,860,DWH
0,103,565,72,860,WDH
0,194,565,342,867,DWH
0,562,840,342,862,WDH
0,103,0,570,890,WDH
0,476,906,56,894,WDH
0,585,341,570,890,DWH
0,476,872,525,924,WDH
0,30,394,72,918,DWH
0,67,1,97,941,WDH
0,387,585,51,941,WDH
0,268,565,342,943,DWH
0,641,929,342,950,WDH
0,286,0,570,971,WDH
0,387,906,51,971,WDH
0,672,310,512,975,DWH
0,321,886,543,998,WDH
0,695,390,32,1003,DWH
0,38,84,32,1030,DWH
0,642,563,387,1032,DWH
0,387,585,51,1032,WDH
0,62,886,359,1041,WDH
0,672,906,51,1062,WDH
0,286,0,570,1062,WDH
0,672,310,512,1066,DWH
0,167,886,543,1088,WDH
0,641,390,32,1094,DWH
0,855,0,0,1118,DWH
0,642,593,359,1123,DWH
0,240,567,51,1123,WDH
0,512,956,370,1130,WDH
0,662,50,491,1153,DWH
0,167,956,22,1153,DWH
0,240,310,491,1157,DWH
0,855,0,0,1198,WDH
0,422,886,570,1176,WDH
0,855,567,51,1217,DWH
0,240,546,594,1217,WDH
0,512,957,397,1224,WDH
0,855,0,455,1251,WDH
0,658,982,0,1248,DWH
0,802,126,51,1278,WDH
0,204,923,570,1278,WDH
0,732,571,11,1297,DWH
0,578,473,608,1311,WDH
0,512,923,397,1318,WDH
0,802,126,397,1331,DWH
0,408,923,13,1334,DWH
0,204,928,584,1372,WDH
0,642,122,11,1373,WDH
0,81,626,13,1387,DWH
0,381,703,433,1387,WDH
0,578,480,608,1402,WDH
0,204,923,13,1426,WDH
0,268,122,304,1426,DWH
0,612,940,397,1412,WDH
0,247,300,13,1466,WDH
0,247,597,339,1479,WDH
0,247,691,13,1479,DWH
0,525,932,584,1466,WDH
0,558,48,13,1466,DWH
0,544,271,718,1426,WDH
0,544,992,275,1426,WDH
0,247,597,571,1493,WDH
0,615,944,397,1508,WDH
0,525,932,0,1520,WDH
0,816,55,304,1520,DWH
0,89,300,5,1552,WDH
0,280,647,1,1565,DWH
0,165,597,304,1565,WDH
0,525,932,584,1565,WDH
0,252,9,5,1570,WDH
0,678,599,577,1579,WDH
0,226,271,689,1565,WDH
0,246,944,259,1565,WDH
0,615,944,397,1605,WDH
0,34,866,1,1616,WDH
0,730,55,307,1622,WDH
0,165,319,35,1654,WDH
0,704,532,302,1662,WDH
0,280,939,621,1662,WDH
0,252,647,11,1663,DWH
0,110,24,22,1673,WDH
0,359,532,577,1678,WDH
0,537,946,253,1702,DWH
0,458,916,19,1715,WDH
0,228,278,681,1695,WDH
0,730,67,302,1728,WDH
0,227,300,22,1751,WDH
0,110,939,621,1760,WDH
0,597,621,66,1766,WDH
0,704,532,302,1766,WDH
0,597,67,24,1771,DWH
0,359,543,606,1777,WDH
0,537,939,253,1808,DWH
0,663,916,19,1814,WDH
0,730,67,302,1834,WDH
0,227,293,32,1849,WDH
0,718,267,676,1815,WDH
0,110,964,638,1858,WDH
0,823,625,19,1870,DWH
0,305,655,433,1870,WDH
0,597,15,76,1875,WDH
0,611,532,611,1876,WDH
0,685,921,280,1914,DWH
0,356,930,0,1917,WDH
0,827,15,302,1940,WDH
0,145,297,98,1947,WDH
0,639,198,651,1949,WDH
0,639,907,645,1956,WDH
0,823,625,186,1974,DWH
0,46,673,1,1974,WDH
0,611,479,617,1979,WDH
0,597,15,76,1979,WDH
0,316,930,232,2015,DWH
0,597,916,1,2021,WDH
0,827,15,302,2036,WDH
0,391,391,98,2047,WDH
0,25,93,651,2054,WDH
0,25,854,650,2061,WDH
0,27,648,1,2077,DWH
0,305,655,441,2077,WDH
0,611,479,617,2083,WDH
0,142,8,100,2083,WDH
1,820,848,558,0,WDH
1,808,0,239,0,WDH
1,829,0,478,0,WDH
1,808,0,0,0,WDH
1,881,848,279,0,WDH
1,881,848,0,0,WDH
1,829,450,270,0,WDH
1,829,450,0,0,WDH
1,829,450,540,0,WDH
1,739,649,464,172,WDH
1,650,77,337,172,WDH
1,915,35,0,172,WDH
1,650,77,164,172,WDH
1,276,952,681,172,WDH
1,276,45,639,172,WDH
1,837,930,0,172,WDH
1,832,351,213,172,WDH
1,832,351,426,172,WDH
1,832,351,0,172,WDH
1,915,333,639,172,WDH
1,739,959,217,172,WDH
1,739,649,232,172,WDH
1,569,751,696,172,WDH
1,739,959,449,172,WDH
1,739,649,0,172,WDH
1,569,172,510,172,WDH
1,472,4,510,172,WDH
1,472,4,510,393,WDH
1,717,788,354,431,DWH
1,200,653,660,431,WDH
1,697,173,248,431,WDH
1,370,383,479,431,WDH
1,39,204,420,431,DWH
1,584,393,183,431,WDH
1,39,405,4,431,WDH
1,119,41,297,431,DWH
1,107,450,375,431,WDH
1,107,1041,219,431,WDH
1,119,657,447,431,DWH
1,803,939,465,431,WDH
1,584,699,41,431,WDH
1,717,624,212,431,WDH
1,717,934,323,431,WDH
1,170,530,639,432,DWH
1,430,45,639,432,WDH
1,430,0,0,432,WDH
1,120,240,0,432,DWH
1,469,285,639,432,WDH
1,276,939,681,432,WDH
1,469,930,0,432,WDH
1,6,23,518,614,WDH
1,391,173,25,684,DWH
1,391,0,639,684,WDH
1,257,0,0,684,DWH
1,142,223,641,685,WDH
1,539,930,1,685,WDH
1,498,657,9,698,DWH
1,597,383,201,698,DWH
1,257,606,670,698,WDH
1,597,926,221,698,WDH
1,382,20,275,699,DWH
1,327,663,450,699,DWH
1,816,863,514,699,WDH
1,238,381,0,701,WDH
1,389,207,394,701,DWH
1,718,383,479,702,WDH
1,64,209,248,698,WDH
1,382,363,641,784,WDH
1,382,197,0,784,DWH
1,327,143,641,784,WDH
1,389,20,30,789,DWH
1,389,995,0,790,WDH
1,488,17,275,802,DWH
1,846,752,176,802,WDH
1,95,649,484,802,WDH
1,744,873,484,802,WDH
1,54,437,0,802,WDH
1,54,716,0,802,WDH
1,100,388,176,802,WDH
1,550,617,667,803,WDH
1,700,207,394,805,DWH
1,35,0,610,784,DWH
1,550,380,470,836,WDH
1,550,143,641,887,WDH
1,550,197,0,887,DWH
1,551,17,275,914,WDH
1,310,388,176,914,WDH
1,879,716,502,914,WDH
1,879,716,174,914,WDH
1,645,400,672,887,WDH
1,131,0,0,893,DWH
1,341,995,0,894,WDH
1,331,716,2,916,WDH
1,700,388,3,916,WDH
1,95,388,405,942,DWH
1,35,0,612,922,DWH
1,22,617,652,914,DWH
1,879,718,512,1016,WDH
1,498,802,243,1016,WDH
1,494,119,126,1016,DWH
1,597,962,17,1016,WDH
1,625,374,191,1016,WDH
1,683,0,0,1016,WDH
1,147,388,629,1016,WDH
1,181,396,2,1023,WDH
1,682,721,17,1027,WDH
1,95,411,405,1052,DWH
1,95,0,612,1060,DWH
1,580,0,123,1016,DWH
1,485,0,365,1016,DWH
1,824,790,551,1120,WDH
1,846,752,243,1120,WDH
1,259,131,126,1120,DWH
1,133,962,0,1120,WDH
1,325,390,187,1120,WDH
1,336,752,1,1157,DWH
1,488,405,0,1169,WDH
1,903,413,445,1169,DWH
1,95,0,612,1170,DWH
1,544,0,0,1169,WDH
1,771,53,126,1233,DWH
1,884,760,243,1233,WDH
1,524,385,187,1233,WDH
1,884,716,538,1235,WDH
1,133,956,7,1235,WDH
1,494,299,575,1281,WDH
1,336,716,0,1269,DWH
1,331,11,600,1281,DWH
1,449,438,3,1281,WDH
1,451,385,443,1281,WDH
1,660,920,0,1349,WDH
1,259,716,581,1349,WDH
1,771,53,126,1349,DWH
1,524,385,187,1349,WDH
1,752,716,242,1349,WDH
1,6,28,1,1306,WDH
1,701,183,600,1380,WDH
1,336,716,0,1381,DWH
1,331,0,604,1392,DWH
1,449,385,3,1392,WDH
1,494,739,497,1462,WDH
1,494,739,242,1462,WDH
1,551,448,187,1462,DWH
1,346,0,0,1465,DWH
1,597,920,0,1465,WDH
1,625,0,369,1465,WDH
1,124,172,586,1478,WDH
1,336,716,0,1493,DWH
1,328,325,1,1499,WDH
1,277,0,583,1503,DWH
1,199,289,187,1465,DWH
1,279,558,586,1478,DWH
1,531,998,237,1561,DWH
1,752,558,247,1561,WDH
1,277,977,587,1561,WDH
1,277,739,587,1561,WDH
1,171,0,383,1569,WDH
1,12,920,5,1569,WDH
1,346,0,0,1571,DWH
1,124,165,583,1585,WDH
1,336,716,0,1605,DWH
1,449,269,0,1616,WDH
1,277,547,0,1616,DWH
1,277,0,602,1618,DWH
1,410,269,184,1623,WDH
1,329,436,383,1561,DWH
1,752,551,244,1674,WDH
1,291,920,0,1676,WDH
1,284,998,237,1676,DWH
1,314,739,587,1676,WDH
1,431,119,389,1678,WDH
1,623,1,1,1678,DWH
1,597,165,614,1692,WDH
1,336,712,0,1717,DWH
1,451,551,595,1674,DWH
1,366,269,0,1723,WDH
1,366,512,0,1731,DWH
1,366,269,180,1739,WDH
1,367,0,387,1678,DWH
1,645,0,602,1733,DWH
1,279,443,594,1692,DWH
1,597,720,358,1785,WDH
1,445,0,0,1802,DWH
1,400,916,0,1802,WDH
1,265,269,360,1802,WDH
1,503,720,584,1802,WDH
1,69,161,602,1802,WDH
1,188,998,237,1803,DWH
1,12,695,0,1829,DWH
1,596,110,377,1802,DWH
1,274,1078,584,1802,DWH
1,366,537,594,1829,DWH
1,12,471,0,1865,DWH
1,226,0,610,1865,DWH
1,496,269,107,1865,DWH
1,462,662,318,1889,WDH
1,265,269,360,1909,WDH
1,465,926,0,1916,WDH
1,55,1003,283,1916,DWH
1,188,27,37,1918,DWH
1,503,720,584,1918,WDH
1,69,161,602,1918,WDH
1,400,692,0,1936,DWH
1,111,54,412,1936,WDH
1,127,1078,584,1943,DWH
1,366,537,594,1955,DWH
1,170,264,0,1849,WDH
1,499,467,9,1972,DWH
1,172,1,596,1994,DWH
1,117,618,318,1996,WDH
1,111,289,107,1996,DWH
1,22,433,602,1888,DWH
1,242,269,330,2016,WDH
1,465,926,0,2023,WDH
1,603,1003,289,2025,DWH
1,350,0,6,2025,DWH
1,188,717,600,2034,WDH
1,49,161,596,2034,WDH
1,400,692,2,2050,DWH
1,654,1,398,2055,WDH
1,499,467,2,2082,DWH
2,777,598,0,0,WDH
2,720,299,236,0,WDH
2,711,786,366,0,WDH
2,720,0,0,0,WDH
2,720,299,0,0,WDH
2,711,598,366,0,WDH
2,753,931,655,0,WDH
2,720,0,236,0,WDH
2,731,273,472,0,WDH
2,407,0,686,0,WDH
2,777,931,472,0,WDH
2,777,646,472,0,WDH
2,894,0,472,0,WDH
2,777,598,183,0,WDH
2,777,273,628,0,WDH
2,777,646,655,0,WDH
2,777,883,183,0,WDH
2,777,883,0,0,WDH
