bin,item,x,y,z,orientation
0,378,482,0,0,WDH
0,312,482,569,0,WDH
0,184,964,0,0,WDH
0,55,916,709,0,WDH
0,398,916,275,0,DWH
0,398,482,275,0,WDH
0,339,0,550,0,WDH
0,378,0,275,0,WDH
0,378,0,0,0,WDH
0,192,23,257,140,WDH
0,192,482,527,145,WDH
0,122,962,72,140,WDH
0,122,234,54,140,WDH
0,122,31,9,140,DWH
0,122,714,72,140,WDH
0,122,511,27,140,DWH
0,122,730,275,145,WDH
0,122,482,275,145,WDH
0,122,978,275,145,WDH
0,171,989,478,145,DWH
0,19,0,582,146,WDH
0,48,464,478,201,WDH
0,363,234,54,215,WDH
0,254,23,257,201,DWH
0,84,10,9,210,DWH
0,254,899,72,210,WDH
0,160,800,281,215,WDH
0,171,1003,488,235,DWH
0,19,23,568,237,WDH
0,93,1080,281,215,DWH
0,417,234,9,293,WDH
0,96,426,529,275,WDH
0,303,817,551,275,DWH
0,160,23,288,293,DWH
0,160,930,72,301,WDH
0,84,10,9,301,DWH
0,160,800,281,301,WDH
0,171,1003,488,325,DWH
0,19,0,582,328,WDH
0,93,783,72,301,DWH
0,451,403,218,365,DWH
0,142,270,9,364,WDH
0,303,508,9,364,WDH
0,303,817,551,364,DWH
0,205,10,247,376,DWH
0,19,952,72,384,DWH
0,267,26,9,386,WDH
0,214,226,247,365,DWH
0,208,993,475,415,DWH
0,451,442,204,440,DWH
0,234,10,537,419,WDH
0,106,270,15,450,WDH
0,277,817,555,450,DWH
0,66,978,0,475,DWH
0,267,26,209,464,DWH
0,267,0,0,479,WDH
0,451,0,465,515,WDH
0,222,1005,472,498,DWH
0,222,451,181,515,WDH
0,302,622,467,515,DWH
0,222,1005,104,562,DWH
0,240,811,595,551,DWH
0,277,548,15,551,WDH
0,451,0,465,590,WDH
0,267,0,200,562,WDH
0,240,0,0,572,WDH
0,86,1005,472,590,DWH
0,407,451,181,602,WDH
0,302,626,467,609,DWH
0,451,0,194,665,DWH
0,167,918,185,649,WDH
0,240,811,595,649,DWH
0,16,590,2,652,WDH
0,86,391,467,665,DWH
0,279,0,0,667,WDH
0,86,1005,474,689,DWH
0,167,631,185,705,DWH
0,62,375,194,705,WDH
0,16,631,507,705,DWH
0,318,0,353,740,DWH
0,167,918,185,740,WDH
0,16,811,550,744,DWH
0,228,354,426,764,DWH
0,16,628,6,758,WDH
0,167,631,185,788,DWH
0,182,0,188,740,WDH
0,86,990,474,788,DWH
0,16,0,0,781,WDH
0,2,918,185,830,WDH
0,435,0,347,830,DWH
0,6,639,519,811,DWH
0,77,361,196,811,WDH
0,16,811,519,850,DWH
0,63,381,426,866,DWH
0,2,631,185,869,DWH
0,51,990,474,887,DWH
0,132,0,0,887,WDH
0,278,628,6,866,WDH
0,207,102,233,869,WDH
0,3,920,182,931,WDH
0,6,639,519,931,DWH
0,441,1,347,933,DWH
0,69,350,185,933,WDH
0,180,350,412,963,DWH
0,297,811,592,956,DWH
0,285,631,185,970,DWH
0,51,982,505,988,DWH
0,132,0,0,990,WDH
0,224,630,0,988,WDH
0,58,895,0,988,DWH
0,445,0,233,1064,WDH
0,298,574,512,1049,DWH
0,271,0,612,1060,WDH
0,51,895,251,1060,WDH
0,234,543,208,1072,WDH
0,72,295,632,1064,WDH
0,297,811,592,1064,DWH
0,298,1003,512,1089,DWH
0,244,0,0,1093,WDH
0,62,640,3,1101,WDH
0,445,0,230,1160,WDH
0,166,574,512,1146,DWH
0,39,895,208,1161,WDH
0,39,543,253,1165,WDH
0,206,2,606,1160,WDH
0,62,798,585,1170,DWH
0,17,1007,455,1186,DWH
0,244,0,0,1187,WDH
0,224,295,606,1175,WDH
0,166,567,3,1206,WDH
0,12,895,0,1161,DWH
0,445,0,230,1249,WDH
0,166,579,512,1251,DWH
0,39,895,202,1259,WDH
0,39,585,222,1263,WDH
0,244,0,0,1287,WDH
0,224,30,606,1270,WDH
0,243,798,512,1275,DWH
0,131,989,512,1287,DWH
0,297,295,606,1288,WDH
0,219,490,0,1311,WDH
0,445,79,230,1338,WDH
0,204,895,16,1321,WDH
0,140,543,328,1361,DWH
0,127,897,202,1357,WDH
0,284,50,0,1381,WDH
0,435,806,493,1392,WDH
0,236,76,608,1383,WDH
0,170,490,0,1427,WDH
0,401,50,225,1427,WDH
0,238,295,614,1394,WDH
0,127,897,202,1462,WDH
0,42,543,328,1462,DWH
