bin,item,x,y,z,orientation
0,52,390,213,0,WDH
0,12,494,639,0,WDH
0,12,780,655,0,WDH
0,20,1110,213,0,DWH
0,4,0,639,0,WDH
0,20,1110,487,0,DWH
0,4,247,639,0,WDH
0,52,0,0,0,WDH
0,52,390,0,0,WDH
0,52,390,426,0,WDH
0,56,780,434,0,WDH
0,52,0,213,0,WDH
0,56,780,213,0,WDH
0,52,0,426,0,WDH
0,52,780,0,0,WDH
0,3,730,659,222,WDH
0,63,0,582,222,WDH
0,65,390,22,222,WDH
0,63,0,324,222,WDH
0,65,802,22,222,WDH
0,69,372,320,222,WDH
0,69,0,64,222,WDH
0,69,372,580,222,WDH
0,24,730,222,226,WDH
0,30,730,423,226,WDH
0,33,1081,222,227,DWH
0,21,1081,527,227,DWH
0,28,820,222,375,DWH
0,35,318,279,393,WDH
0,43,0,114,393,DWH
0,43,408,522,393,WDH
0,43,0,522,393,WDH
0,67,318,23,394,WDH
0,16,816,675,393,WDH
0,9,934,0,394,WDH
0,21,1081,305,393,DWH
0,21,1081,527,393,DWH
0,28,816,259,463,DWH
0,15,0,65,485,WDH
0,15,442,317,485,WDH
0,53,0,318,485,WDH
0,64,0,575,485,WDH
0,58,442,570,485,WDH
0,67,318,23,494,WDH
0,48,888,0,524,WDH
0,67,984,355,551,DWH
0,32,803,355,551,DWH
0,46,470,0,594,WDH
0,32,283,65,594,DWH
0,58,442,570,617,WDH
0,15,159,575,617,WDH
0,1,57,14,618,DWH
0,6,26,337,618,WDH
0,46,376,317,618,WDH
0,29,794,691,514,WDH
0,30,888,17,633,WDH
0,31,991,253,651,DWH
0,17,955,634,651,WDH
0,26,0,575,617,DWH
0,31,464,81,708,WDH
0,10,794,317,698,DWH
0,6,0,342,741,WDH
0,18,469,317,741,WDH
0,41,0,0,749,WDH
0,42,469,518,749,WDH
0,32,283,14,741,DWH
0,22,1019,288,763,DWH
0,8,154,621,750,WDH
0,24,889,639,787,WDH
0,22,888,73,787,WDH
0,24,537,73,820,WDH
0,8,804,288,823,DWH
0,24,0,342,858,WDH
0,14,481,288,872,WDH
0,14,481,518,880,WDH
0,11,0,0,884,DWH
0,11,180,0,888,DWH
0,2,117,675,904,WDH
0,2,1079,344,904,DWH
0,2,1079,49,928,DWH
0,27,900,49,928,WDH
0,2,889,639,936,WDH
0,20,360,21,888,DWH
0,2,481,127,969,WDH
0,36,804,349,977,WDH
0,36,124,295,1007,WDH
0,70,360,295,1035,WDH
0,34,412,570,1035,WDH
0,57,91,45,1048,WDH
0,34,44,655,1062,WDH
0,34,1059,0,1086,DWH
0,37,1059,368,1062,DWH
0,34,816,619,1094,WDH
0,45,465,91,1127,WDH
0,38,900,49,1086,DWH
0,37,888,368,1138,DWH
0,70,360,295,1195,WDH
0,51,42,307,1168,WDH
0,45,412,570,1207,WDH
0,51,42,122,1233,WDH
0,51,0,655,1234,WDH
0,37,1059,145,1258,DWH
0,37,1059,368,1259,DWH
0,25,813,591,1266,WDH
0,13,465,91,1306,WDH
0,13,869,13,1320,DWH
0,19,1059,591,1266,DWH
0,49,848,334,1335,DWH
0,40,42,316,1355,WDH
0,54,360,337,1355,WDH
0,5,1059,0,1258,WDH
0,54,360,570,1386,WDH
0,40,42,122,1412,WDH
0,40,0,655,1413,WDH
0,19,674,350,1355,DWH
0,44,1113,142,1456,DWH
0,25,813,591,1471,WDH
0,25,465,91,1514,WDH
0,25,813,0,1528,WDH
0,25,817,350,1547,WDH
0,49,42,298,1567,WDH
0,54,360,337,1567,WDH
0,38,1059,591,1537,DWH
0,7,438,570,1598,WDH
0,7,63,102,1623,WDH
0,55,0,655,1624,WDH
0,56,729,601,1676,WDH
0,55,1074,138,1670,DWH
0,39,674,337,1626,DWH
0,56,465,91,1719,WDH
0,60,813,0,1733,DWH
0,60,813,291,1752,DWH
0,23,1080,621,1779,DWH
0,23,120,351,1779,DWH
0,62,280,394,1779,WDH
0,60,438,570,1805,WDH
0,60,63,102,1830,WDH
0,56,0,619,1862,WDH
0,59,471,1,1945,WDH
0,55,755,678,1902,WDH
0,55,1074,138,1908,DWH
1,50,306,214,0,WDH
1,66,306,0,0,WDH
1,66,0,214,0,WDH
1,66,0,0,0,WDH
1,61,0,428,0,WDH
1,68,306,385,0,WDH
1,59,612,0,0,WDH
1,23,306,563,0,WDH
1,47,0,641,0,WDH
