bin,item,x,y,z,orientation
0,574,0,317,0,WDH
0,321,490,603,0,WDH
0,662,418,285,0,WDH
0,662,418,0,0,WDH
0,548,0,0,0,WDH
0,638,825,0,0,WDH
0,638,825,277,0,WDH
0,538,0,603,0,WDH
0,638,825,554,0,WDH
0,23,56,0,149,DWH
0,23,418,0,151,DWH
0,23,0,478,155,WDH
0,227,944,493,155,DWH
0,23,472,478,155,WDH
0,23,780,0,155,DWH
0,503,0,23,210,DWH
0,193,253,233,212,WDH
0,227,253,28,212,WDH
0,38,0,517,216,WDH
0,494,769,152,216,WDH
0,38,472,517,216,WDH
0,220,952,513,218,DWH
0,517,606,0,216,DWH
0,122,769,0,216,WDH
0,503,0,23,267,DWH
0,228,1004,0,218,WDH
0,193,253,233,279,WDH
0,193,516,478,291,WDH
0,193,0,478,291,WDH
0,503,769,152,292,WDH
0,28,0,0,324,DWH
0,243,1032,502,291,DWH
0,517,606,0,307,DWH
0,193,253,233,346,WDH
0,377,769,22,318,WDH
0,494,769,152,358,WDH
0,141,398,506,358,WDH
0,141,698,506,358,WDH
0,28,0,481,358,WDH
0,86,0,197,402,DWH
0,220,0,0,402,WDH
0,193,222,197,413,WDH
0,369,297,453,437,WDH
0,494,769,152,437,WDH
0,491,20,510,437,WDH
0,86,731,501,437,WDH
0,377,769,22,437,WDH
0,183,23,0,478,WDH
0,183,25,197,478,DWH
0,515,222,237,480,WDH
0,515,536,128,480,DWH
0,670,758,152,515,WDH
0,670,265,442,515,WDH
0,391,17,501,515,DWH
0,256,779,501,515,DWH
0,161,28,0,556,DWH
0,73,346,128,556,WDH
0,351,764,6,556,WDH
0,193,225,423,603,WDH
0,193,751,152,603,DWH
0,491,996,152,603,DWH
0,183,17,501,603,DWH
0,393,747,668,595,WDH
0,193,225,178,631,WDH
0,261,0,0,631,DWH
0,436,462,668,603,WDH
0,111,188,0,631,WDH
0,463,244,439,670,WDH
0,391,791,172,670,DWH
0,413,582,434,670,WDH
0,193,275,189,698,WDH
0,463,996,96,688,DWH
0,463,0,502,688,DWH
0,522,748,668,688,WDH
0,176,731,6,688,WDH
0,339,5,14,709,DWH
0,117,267,434,757,WDH
0,193,267,189,765,WDH
0,261,582,434,758,WDH
0,53,188,0,757,WDH
0,206,791,172,757,DWH
0,337,1006,4,772,DWH
0,337,10,410,772,DWH
0,214,680,662,796,WDH
0,339,5,14,796,DWH
0,447,889,434,765,DWH
0,176,741,4,796,WDH
0,117,267,434,831,WDH
0,193,267,189,832,WDH
0,193,5,307,852,DWH
0,148,603,448,836,WDH
0,378,798,187,839,DWH
0,206,214,11,846,WDH
0,337,1006,4,852,DWH
0,206,680,662,877,WDH
0,117,288,448,905,WDH
0,193,267,189,905,WDH
0,193,22,189,919,DWH
0,206,741,4,898,WDH
0,193,995,0,932,DWH
0,148,634,476,921,WDH
0,206,783,194,926,DWH
0,148,168,3,928,WDH
0,436,0,717,919,WDH
0,117,319,476,979,WDH
0,193,267,189,979,WDH
0,193,22,189,986,DWH
0,193,995,0,999,DWH
0,246,721,0,986,WDH
0,13,657,469,1006,WDH
0,277,168,3,1013,WDH
0,46,784,177,1008,DWH
0,193,268,189,1048,WDH
0,193,22,189,1053,DWH
0,523,271,476,1053,WDH
0,413,995,102,1066,DWH
0,246,721,0,1079,WDH
0,189,634,476,1095,WDH
0,470,11,705,1053,WDH
0,102,268,101,1115,WDH
0,529,758,176,1115,DWH
0,337,49,101,1120,DWH
0,238,268,434,1137,DWH
0,371,1,541,1120,WDH
0,277,1046,175,1154,DWH
0,394,634,476,1174,WDH
0,238,325,80,1192,WDH
0,272,721,0,1172,WDH
0,394,721,175,1195,WDH
0,282,23,39,1200,DWH
0,282,268,434,1205,DWH
0,478,23,517,1224,WDH
0,470,0,707,1195,WDH
0,277,1034,175,1242,DWH
0,370,658,468,1256,WDH
0,108,360,0,1260,WDH
0,108,721,107,1277,DWH
0,494,34,0,1293,DWH
0,394,345,468,1293,WDH
0,436,436,279,1266,WDH
0,277,0,524,1322,WDH
0,277,1034,175,1330,DWH
0,529,658,524,1338,WDH
0,529,432,42,1344,WDH
0,508,782,111,1361,DWH
0,33,0,161,1369,DWH
0,277,345,468,1375,DWH
0,235,0,0,1369,WDH
0,425,432,279,1395,WDH
0,436,528,524,1375,DWH
0,82,15,524,1410,WDH
0,155,1040,175,1418,DWH
0,284,653,516,1418,WDH
0,411,335,33,1424,WDH
0,365,806,90,1454,DWH
0,33,0,158,1459,DWH
0,425,341,531,1463,DWH
0,235,64,0,1480,WDH
0,67,0,571,1510,WDH
0,266,491,279,1499,WDH
0,365,608,525,1512,WDH
0,155,1034,90,1513,DWH
0,365,321,0,1514,WDH
0,33,0,208,1552,DWH
0,365,806,90,1552,DWH
0,425,331,587,1567,DWH
0,29,1034,537,1513,WDH
0,82,0,571,1605,WDH
0,365,608,525,1610,WDH
0,395,321,5,1612,WDH
0,190,33,0,1591,WDH
0,194,491,279,1605,WDH
0,61,1052,295,1610,DWH
0,522,1058,47,1610,DWH
0,33,0,250,1642,WDH
0,395,811,111,1650,DWH
0,395,0,0,1705,WDH
0,69,414,0,1705,WDH
0,69,0,571,1705,WDH
0,134,608,525,1708,WDH
0,239,440,279,1710,WDH
0,33,51,223,1732,WDH
0,509,1036,278,1718,DWH
0,509,1036,19,1718,DWH
0,235,969,537,1708,WDH
0,271,811,111,1742,DWH
0,684,0,552,1801,WDH
0,633,0,5,1801,WDH
0,537,440,38,1801,WDH
0,568,608,525,1805,WDH
0,275,447,279,1808,WDH
0,480,970,537,1822,WDH
0,668,17,223,1822,WDH
0,194,1025,228,1830,DWH
0,532,1037,10,1830,DWH
0,201,808,38,1839,DWH
0,239,608,525,1920,WDH
0,138,1067,257,1942,DWH
0,434,1083,0,1942,DWH
0,651,0,287,1942,WDH
0,651,359,0,1942,WDH
0,572,359,295,1942,WDH
0,552,968,525,1942,DWH
0,536,0,0,1942,WDH
0,635,701,257,1942,WDH
0,628,701,0,1942,WDH
0,628,0,582,1942,WDH
0,568,608,525,2018,WDH
1,700,454,0,0,WDH
1,700,835,257,0,WDH
1,700,835,514,0,WDH
1,700,0,434,0,WDH
1,700,835,0,0,WDH
1,700,454,257,0,WDH
1,700,454,514,0,WDH
1,535,0,0,0,WDH
1,535,0,217,0,WDH
1,113,0,691,0,WDH
1,123,281,691,0,WDH
1,27,4,0,188,DWH
1,680,210,250,188,WDH
1,544,885,514,188,WDH
1,384,24,577,188,DWH
1,545,526,536,188,WDH
1,285,4,250,188,DWH
1,545,188,0,188,WDH
1,615,221,501,188,WDH
1,539,521,0,188,WDH
1,700,859,257,188,WDH
1,700,859,0,188,WDH
1,539,521,268,188,WDH
1,390,507,458,376,WDH
1,695,0,190,376,WDH
1,286,725,459,376,WDH
1,666,386,206,376,WDH
1,666,813,206,376,WDH
1,658,945,451,376,DWH
1,666,78,595,376,WDH
1,299,388,50,376,WDH
1,598,505,580,376,WDH
1,481,70,17,376,WDH
1,185,168,465,376,WDH
1,175,594,0,376,WDH
1,175,917,0,376,WDH
