bin,item,x,y,z,orientation
0,343,810,298,0,WDH
0,602,0,596,0,WDH
0,416,0,0,0,WDH
0,287,449,596,0,WDH
0,458,810,601,0,WDH
0,289,406,298,0,WDH
0,289,810,0,0,WDH
0,416,0,298,0,WDH
0,289,406,0,0,WDH
0,200,0,0,170,WDH
0,81,890,414,170,WDH
0,200,0,293,170,WDH
0,200,445,0,170,WDH
0,676,463,586,170,WDH
0,541,890,0,170,DWH
0,468,445,293,170,WDH
0,215,0,586,170,WDH
0,323,815,595,171,WDH
0,380,344,522,328,WDH
0,161,456,11,328,WDH
0,380,344,204,328,WDH
0,393,34,402,328,DWH
0,141,882,0,328,WDH
0,636,775,541,328,WDH
0,637,29,5,328,DWH
0,636,775,242,328,WDH
0,585,1015,8,466,DWH
0,452,685,35,466,WDH
0,353,0,314,466,WDH
0,481,344,314,466,WDH
0,353,330,583,466,WDH
0,481,341,57,466,WDH
0,452,685,303,466,WDH
0,481,674,583,466,WDH
0,621,1015,401,466,DWH
0,547,0,571,466,WDH
0,481,0,57,466,WDH
0,520,269,294,690,WDH
0,492,651,264,690,WDH
0,520,269,567,690,WDH
0,594,4,463,690,DWH
0,492,651,552,690,WDH
0,525,1019,46,690,DWH
0,267,205,13,690,WDH
0,136,19,14,690,DWH
0,267,610,13,690,WDH
0,188,4,275,690,WDH
0,470,1045,425,692,DWH
0,1,1019,401,859,DWH
0,623,537,394,877,WDH
0,164,117,503,877,WDH
0,119,405,0,881,WDH
0,119,86,0,881,DWH
0,164,820,0,881,WDH
0,118,0,555,881,DWH
0,261,1022,435,924,DWH
0,653,115,502,937,WDH
0,682,677,509,940,WDH
0,138,528,404,940,DWH
0,138,528,622,940,DWH
0,69,700,349,940,WDH
0,587,27,0,945,DWH
0,341,1029,9,945,DWH
0,208,257,55,945,WDH
0,436,665,8,945,WDH
0,119,209,404,1079,DWH
0,119,672,0,1099,WDH
0,119,257,0,1099,WDH
0,92,0,0,1111,DWH
