bin,item,x,y,z,orientation
0,405,826,285,0,WDH
0,240,391,580,0,WDH
0,155,0,0,0,WDH
0,240,0,580,0,WDH
0,148,826,570,0,WDH
0,155,0,290,0,WDH
0,155,413,290,0,WDH
0,405,826,0,0,WDH
0,155,413,0,0,WDH
0,300,0,581,168,WDH
0,171,25,0,168,WDH
0,341,410,0,168,WDH
0,252,17,278,168,WDH
0,240,419,570,168,WDH
0,264,810,570,168,WDH
0,264,400,278,168,WDH
0,405,830,285,168,WDH
0,405,830,0,168,WDH
0,100,483,317,328,WDH
0,100,893,587,328,WDH
0,58,0,601,328,WDH
0,32,17,76,334,WDH
0,32,354,638,334,WDH
0,138,830,180,336,WDH
0,52,0,323,336,WDH
0,52,406,0,336,WDH
0,20,744,0,336,WDH
0,69,338,368,336,DWH
0,32,830,570,379,WDH
0,93,479,365,379,WDH
0,43,66,601,393,WDH
0,96,354,601,404,WDH
0,96,17,76,404,WDH
0,85,40,328,415,WDH
0,77,827,309,415,WDH
0,77,335,17,415,WDH
0,96,744,0,424,WDH
0,96,973,570,449,WDH
0,85,529,309,460,WDH
0,20,40,601,472,WDH
0,17,338,328,443,DWH
0,80,1037,180,415,WDH
0,40,17,19,490,WDH
0,94,354,601,490,WDH
0,356,306,19,507,WDH
0,120,17,276,507,DWH
0,309,827,309,507,WDH
0,13,727,19,510,WDH
0,51,973,570,535,WDH
0,56,827,570,449,DWH
0,33,477,339,552,WDH
0,14,17,596,560,WDH
0,19,308,350,563,DWH
0,400,845,85,644,DWH
0,44,324,61,644,WDH
0,44,524,339,653,DWH
0,33,0,0,645,DWH
0,7,0,577,657,WDH
0,81,967,570,644,WDH
0,67,354,601,644,DWH
0,76,335,339,679,DWH
0,130,810,570,679,DWH
0,441,615,0,740,WDH
0,73,302,0,731,WDH
0,126,615,409,740,DWH
0,127,0,0,746,DWH
0,130,810,413,736,WDH
0,73,31,527,752,DWH
0,76,967,648,758,WDH
0,124,354,661,764,WDH
0,400,615,34,816,WDH
0,76,335,339,792,DWH
0,19,798,570,792,DWH
0,44,31,49,843,DWH
0,73,335,26,832,DWH
0,17,1095,34,816,DWH
0,7,31,527,853,WDH
0,19,626,465,841,DWH
0,130,828,409,843,WDH
0,130,967,570,871,DWH
0,400,604,26,908,WDH
0,486,31,162,933,WDH
0,17,828,566,908,DWH
0,4,0,595,948,WDH
0,124,31,2,930,WDH
0,18,626,465,949,DWH
0,116,255,2,933,WDH
0,116,1084,26,936,DWH
0,366,626,97,1000,WDH
0,18,967,566,978,DWH
0,366,0,227,1020,WDH
0,79,0,595,1043,WDH
0,122,820,553,1028,DWH
0,366,599,104,1094,DWH
0,135,0,0,1055,WDH
0,366,0,163,1114,WDH
0,105,580,553,1065,WDH
0,135,210,0,1074,WDH
0,83,1075,77,1077,DWH
0,13,967,539,1094,DWH
0,66,0,531,1149,WDH
0,137,420,26,1074,WDH
0,423,619,297,1188,WDH
0,423,619,41,1188,WDH
0,377,0,290,1208,WDH
0,168,0,55,1208,WDH
0,123,0,531,1257,WDH
0,27,967,458,1225,DWH
0,131,580,553,1209,WDH
0,177,1005,77,1225,DWH
0,72,852,553,1183,DWH
0,118,974,442,1352,DWH
0,206,29,531,1352,WDH
0,3,598,452,1408,DWH
0,144,598,26,1408,DWH
0,118,974,50,1421,DWH
0,415,0,234,1421,WDH
0,30,147,21,1421,WDH
0,160,905,455,1466,DWH
0,206,29,531,1466,WDH
0,429,494,21,1518,WDH
0,176,594,342,1519,DWH
0,429,905,50,1531,DWH
0,275,19,291,1527,WDH
0,111,147,21,1549,WDH
0,160,905,455,1580,DWH
0,5,30,556,1580,WDH
0,429,500,29,1617,WDH
0,176,594,342,1619,DWH
0,429,905,29,1630,DWH
0,57,19,291,1637,WDH
0,111,147,21,1662,WDH
0,160,905,434,1692,DWH
0,180,19,552,1692,WDH
0,222,533,4,1716,WDH
0,176,594,342,1719,DWH
0,372,938,0,1729,DWH
0,57,19,291,1741,WDH
0,3,147,37,1775,WDH
0,180,57,596,1795,WDH
0,160,905,434,1804,DWH
0,222,566,0,1816,WDH
0,162,594,342,1819,DWH
0,340,938,0,1841,DWH
0,5,57,320,1845,WDH
0,5,147,37,1886,WDH
0,222,902,468,1916,DWH
0,222,566,0,1916,WDH
0,204,0,603,1898,WDH
0,222,558,342,1926,DWH
0,5,0,327,1953,WDH
0,125,938,74,1953,DWH
0,125,147,20,1992,WDH
0,396,529,0,2016,WDH
0,367,924,434,2016,DWH
0,204,0,603,2016,WDH
0,213,601,341,2026,DWH
0,118,0,337,2059,WDH
0,125,947,0,2062,DWH
1,420,756,606,0,WDH
1,420,393,606,0,WDH
1,271,0,606,0,WDH
1,252,383,0,0,WDH
1,252,766,0,0,WDH
1,252,0,303,0,WDH
1,252,766,303,0,WDH
1,252,0,0,0,WDH
1,252,383,303,0,WDH
1,432,750,264,168,WDH
1,339,375,555,168,WDH
1,339,750,555,168,WDH
1,339,0,555,168,WDH
1,339,0,270,168,WDH
1,256,374,5,168,WDH
1,147,750,1,168,WDH
1,339,375,270,168,WDH
1,256,0,5,168,WDH
1,171,399,0,355,WDH
1,171,0,566,355,WDH
1,473,0,290,355,WDH
1,342,778,290,355,WDH
1,351,412,595,355,WDH
1,384,784,0,355,WDH
1,414,412,290,355,WDH
1,253,778,575,355,WDH
1,196,0,0,355,WDH
1,228,0,0,521,WDH
1,140,0,657,521,WDH
1,142,403,352,521,WDH
1,457,778,290,521,WDH
1,406,354,0,521,WDH
1,427,778,617,521,WDH
1,406,0,352,521,WDH
1,163,759,0,522,WDH
1,91,404,597,524,WDH
1,118,759,24,644,WDH
1,3,403,583,661,WDH
1,3,0,0,661,WDH
1,162,0,390,663,DWH
1,419,403,37,663,WDH
1,448,778,290,664,WDH
1,204,709,603,668,WDH
1,30,426,370,667,WDH
1,25,0,249,663,WDH
1,118,848,0,754,WDH
1,1,0,3,772,WDH
1,64,372,583,772,WDH
1,304,0,461,772,WDH
1,173,403,10,775,DWH
1,448,789,266,779,WDH
1,118,848,566,783,WDH
1,60,372,362,795,WDH
1,90,698,583,783,DWH
1,224,786,3,869,WDH
1,125,0,461,889,WDH
1,16,4,3,897,WDH
1,170,330,3,897,WDH
1,487,741,266,897,WDH
1,393,848,570,897,WDH
1,64,372,583,897,WDH
1,16,380,316,924,WDH
1,31,61,270,869,WDH
1,118,786,0,990,WDH
1,344,11,417,998,DWH
1,16,0,0,1018,WDH
1,367,330,3,1018,WDH
1,103,741,570,1018,WDH
1,163,741,289,1019,WDH
1,102,422,583,1022,WDH
1,118,330,310,1045,WDH
1,90,0,267,1058,WDH
1,205,811,0,1100,WDH
1,430,0,426,1110,DWH
1,95,1129,604,1018,DWH
1,181,808,287,1143,WDH
1,181,303,3,1143,WDH
1,11,10,3,1143,WDH
1,387,723,604,1143,WDH
1,156,304,583,1143,WDH
1,421,305,306,1155,WDH
1,471,804,1,1250,WDH
1,162,1,238,1264,DWH
1,357,735,306,1292,WDH
1,357,303,3,1292,WDH
1,344,303,296,1305,WDH
1,114,450,626,1294,WDH
1,139,1,8,1305,WDH
1,236,723,601,1305,WDH
1,117,75,688,1264,WDH
1,162,760,3,1367,WDH
1,162,1,238,1371,DWH
1,471,324,10,1415,WDH
1,471,796,315,1415,WDH
1,344,316,307,1417,WDH
1,114,450,626,1423,WDH
1,70,0,0,1436,WDH
1,236,731,602,1441,WDH
1,465,789,15,1474,WDH
1,363,0,246,1478,DWH
1,236,280,322,1532,WDH
1,200,330,15,1532,WDH
1,218,826,315,1532,WDH
1,102,447,583,1552,WDH
1,139,49,15,1556,WDH
1,103,844,579,1577,WDH
1,197,826,0,1598,WDH
1,353,9,322,1606,DWH
1,197,412,0,1663,WDH
1,343,446,299,1668,WDH
1,343,843,299,1668,WDH
1,257,457,583,1669,WDH
1,16,0,0,1687,WDH
1,105,286,336,1668,DWH
1,359,844,588,1701,WDH
1,343,826,22,1723,WDH
1,343,0,443,1726,DWH
1,42,0,281,1726,WDH
1,466,326,0,1788,WDH
1,488,893,299,1791,WDH
1,450,446,299,1791,WDH
1,236,335,583,1800,WDH
1,120,0,21,1808,WDH
1,463,9,463,1849,DWH
1,91,844,583,1837,WDH
1,236,698,48,1846,WDH
1,358,326,0,1906,WDH
1,463,0,0,1936,DWH
1,304,446,299,1936,WDH
1,358,844,297,1930,WDH
1,304,9,463,1965,DWH
1,89,844,587,1965,WDH
1,42,402,678,1936,WDH
1,42,610,678,1936,WDH
1,236,697,48,1982,WDH
1,304,0,0,2053,WDH
1,173,446,299,2053,WDH
1,321,372,0,2033,WDH
1,358,844,301,2057,WDH
2,114,942,309,0,WDH
2,236,0,602,0,WDH
2,236,509,602,0,WDH
2,21,1018,602,0,DWH
2,458,0,0,0,WDH
2,175,455,0,0,WDH
2,175,471,309,0,WDH
2,89,926,0,0,WDH
2,175,0,309,0,WDH
2,154,455,0,127,WDH
