bin,item,x,y,z,orientation
0,31,383,510,0,WDH
0,31,756,0,0,WDH
0,31,756,255,0,WDH
0,31,383,255,0,WDH
0,31,0,538,0,WDH
0,40,0,0,0,WDH
0,31,383,0,0,WDH
0,40,0,269,0,WDH
0,31,756,510,0,WDH
0,31,867,255,163,WDH
0,25,58,538,163,WDH
0,21,827,510,163,WDH
0,21,525,510,163,WDH
0,31,867,0,163,WDH
0,31,494,0,163,WDH
0,31,494,255,163,WDH
0,36,155,8,170,WDH
0,36,155,259,170,WDH
0,3,0,178,170,DWH
0,15,385,590,163,DWH
0,27,696,173,326,WDH
0,13,32,567,326,WDH
0,27,152,173,329,WDH
0,16,525,510,328,WDH
0,16,857,510,328,WDH
0,3,4,173,311,DWH
0,3,520,25,326,WDH
0,3,880,25,326,WDH
0,3,152,25,329,WDH
0,16,0,654,429,WDH
0,26,696,173,432,WDH
0,17,425,173,435,DWH
0,17,152,173,435,WDH
0,17,152,407,435,WDH
0,41,525,510,450,WDH
0,6,891,510,450,WDH
0,3,4,173,452,DWH
0,8,808,0,467,WDH
0,8,1024,0,467,WDH
0,10,572,0,467,WDH
0,10,336,0,470,WDH
0,2,659,173,564,WDH
0,2,964,173,564,DWH
0,36,152,424,569,WDH
0,36,152,173,569,WDH
0,7,150,0,470,WDH
0,41,806,478,603,WDH
0,5,499,478,603,WDH
0,12,491,161,569,DWH
0,7,0,654,551,DWH
0,20,808,0,608,WDH
0,4,966,173,697,DWH
0,5,659,173,697,WDH
0,4,150,371,728,WDH
0,4,150,148,728,WDH
0,11,917,455,756,WDH
0,9,491,424,762,WDH
0,1,456,150,808,DWH
0,12,749,408,762,DWH
0,24,937,73,864,DWH
0,24,50,342,895,WDH
0,32,111,99,895,WDH
0,33,674,111,856,DWH
0,32,917,455,919,WDH
0,33,491,424,920,DWH
0,14,432,99,997,DWH
0,20,747,408,1001,DWH
0,24,986,73,1066,DWH
0,23,633,73,1072,WDH
0,23,50,360,1097,WDH
0,32,50,117,1097,WDH
0,30,917,520,1119,WDH
0,38,537,430,1136,DWH
0,38,421,21,1213,DWH
0,20,747,408,1234,DWH
0,33,997,0,1268,DWH
0,33,754,0,1273,DWH
0,33,106,351,1298,WDH
0,29,69,148,1298,WDH
0,22,971,297,1273,WDH
0,29,1037,467,1337,DWH
0,29,544,408,1350,DWH
0,39,403,1,1427,DWH
0,28,747,490,1467,DWH
0,28,1001,13,1484,DWH
0,19,650,84,1489,WDH
0,35,37,125,1511,WDH
0,35,37,351,1514,WDH
0,35,1014,474,1550,DWH
0,19,534,423,1563,DWH
0,22,971,297,1546,WDH
0,37,426,84,1658,DWH
0,37,747,423,1711,DWH
0,34,1029,0,1728,DWH
0,34,818,0,1737,DWH
0,34,139,84,1746,WDH
0,18,161,295,1749,WDH
0,22,971,637,1785,WDH
0,22,971,467,1785,WDH
0,22,478,604,1811,WDH
