bin,item,x,y,z,orientation
0,497,1056,424,0,DWH
0,827,582,0,0,WDH
0,774,528,424,0,WDH
0,774,0,424,0,WDH
0,827,0,0,0,WDH
0,812,0,553,84,WDH
0,711,531,31,84,WDH
0,702,0,50,84,WDH
0,711,982,352,84,DWH
0,812,0,266,84,WDH
0,689,498,554,84,WDH
0,523,1019,3,84,DWH
0,689,498,268,84,WDH
0,574,85,266,221,WDH
0,574,498,482,228,WDH
0,460,987,266,221,DWH
0,364,662,3,221,WDH
0,364,305,3,228,WDH
0,421,992,624,221,WDH
0,368,161,640,221,WDH
0,84,0,78,228,WDH
0,145,498,265,228,WDH
0,409,0,266,258,WDH
0,20,1039,0,228,DWH
0,33,500,482,265,WDH
0,145,1023,279,272,DWH
0,576,692,9,272,WDH
0,233,321,9,279,WDH
0,414,953,638,288,WDH
0,168,564,264,288,WDH
0,168,151,622,288,WDH
0,10,0,25,293,WDH
0,105,76,326,313,WDH
0,33,500,482,333,WDH
0,598,1039,0,318,DWH
0,324,1023,279,333,DWH
0,105,500,186,361,WDH
0,105,204,186,373,DWH
0,168,76,622,361,WDH
0,159,321,9,351,WDH
0,159,593,9,351,WDH
0,420,970,622,366,WDH
0,598,0,0,367,DWH
0,105,500,482,401,WDH
0,159,30,336,373,DWH
0,598,1023,0,401,DWH
0,21,593,183,421,WDH
0,445,1023,279,411,DWH
0,169,212,193,433,WDH
0,362,220,482,434,DWH
0,33,573,482,461,WDH
0,308,314,3,446,WDH
0,568,1004,560,446,DWH
0,308,0,0,447,WDH
0,548,593,3,446,WDH
0,100,12,341,468,DWH
0,169,603,193,485,WDH
0,100,1048,0,481,DWH
0,100,1048,267,493,DWH
0,169,222,193,510,WDH
0,142,226,482,523,WDH
0,164,573,482,529,WDH
0,502,1048,534,529,DWH
0,502,279,0,531,WDH
0,502,21,0,532,WDH
0,164,603,143,562,WDH
0,582,12,341,556,DWH
0,169,222,193,587,WDH
0,86,1044,16,569,DWH
0,639,408,484,608,WDH
0,86,1044,267,587,DWH
0,265,223,501,592,DWH
0,317,605,199,641,WDH
0,319,1012,550,619,DWH
0,265,283,8,621,WDH
0,5,0,0,622,WDH
0,82,104,201,664,WDH
0,639,419,503,681,WDH
0,99,997,0,664,WDH
0,58,173,491,685,DWH
0,265,1031,199,681,DWH
0,247,617,226,712,WDH
0,639,12,145,739,WDH
0,266,1018,520,717,DWH
0,639,425,503,754,WDH
0,116,88,491,772,WDH
0,82,605,201,790,WDH
0,321,997,0,762,WDH
0,827,23,58,812,WDH
0,359,1020,497,812,DWH
0,639,419,491,827,WDH
0,247,23,482,862,WDH
0,908,605,71,865,WDH
0,908,75,71,893,WDH
0,82,634,482,900,WDH
0,297,418,482,900,DWH
0,721,605,81,941,WDH
0,500,36,518,940,WDH
0,721,112,81,969,WDH
0,82,591,482,975,WDH
0,721,605,81,1019,WDH
0,297,418,505,1001,DWH
0,116,112,482,1021,DWH
0,721,112,81,1047,WDH
0,82,597,482,1050,WDH
0,545,24,482,1021,DWH
0,810,605,89,1097,WDH
0,696,112,81,1125,DWH
0,82,597,482,1125,WDH
0,359,112,593,1111,WDH
0,181,455,609,1111,DWH
0,545,517,198,1125,DWH
0,823,605,89,1187,WDH
0,713,0,364,1202,DWH
0,481,325,564,1202,DWH
0,658,596,529,1202,WDH
0,608,0,89,1202,WDH
0,379,325,371,1202,DWH
0,181,455,609,1234,DWH
