bin,item,x,y,z,orientation
0,149,1112,0,0,DWH
0,149,1112,221,0,DWH
0,630,0,0,0,WDH
0,630,0,276,0,WDH
0,630,0,552,0,WDH
0,630,836,0,0,DWH
0,630,418,276,0,WDH
0,630,836,418,0,DWH
0,630,418,0,0,WDH
0,630,418,552,0,WDH
0,401,1112,442,0,DWH
0,596,870,45,160,WDH
0,596,508,320,160,WDH
0,116,4,213,160,DWH
0,587,180,28,160,WDH
0,587,192,587,160,WDH
0,473,537,556,160,WDH
0,23,3,610,160,DWH
0,473,899,281,160,WDH
0,502,878,565,160,WDH
0,327,4,5,160,DWH
0,587,525,28,160,WDH
0,587,163,303,160,WDH
0,317,878,565,356,WDH
0,247,521,281,360,WDH
0,317,885,0,360,WDH
0,147,560,492,360,WDH
0,247,891,275,360,WDH
0,335,89,0,361,WDH
0,445,30,281,361,DWH
0,553,238,281,361,DWH
0,335,487,0,361,WDH
0,110,0,588,361,DWH
0,37,608,712,361,WDH
0,669,870,295,422,DWH
0,336,521,277,422,WDH
0,371,913,19,426,WDH
0,336,534,497,426,WDH
0,247,0,0,439,WDH
0,247,349,0,439,WDH
0,247,0,211,439,DWH
0,309,212,392,441,DWH
0,110,701,23,439,DWH
0,435,211,211,441,WDH
0,212,17,560,445,DWH
0,426,3,236,505,DWH
0,426,50,3,505,WDH
0,426,374,3,505,WDH
0,138,877,412,514,DWH
0,295,534,286,516,DWH
0,418,913,9,516,WDH
0,309,211,389,518,DWH
0,435,698,3,523,DWH
0,137,228,246,532,WDH
0,269,998,275,518,WDH
0,263,0,602,535,DWH
0,147,0,0,587,WDH
0,493,205,450,596,WDH
0,138,877,412,588,DWH
0,426,310,12,588,WDH
0,230,876,3,596,WDH
0,91,542,279,596,WDH
0,356,17,246,596,WDH
0,103,649,0,614,DWH
0,286,228,246,617,WDH
0,192,940,264,624,WDH
0,263,0,602,628,DWH
0,493,649,450,663,WDH
0,343,304,450,663,WDH
0,109,10,0,663,WDH
0,426,325,0,670,WDH
0,230,910,17,676,WDH
0,326,649,46,701,DWH
0,493,649,450,730,WDH
0,286,228,246,711,WDH
0,426,0,516,726,DWH
0,40,228,443,739,DWH
0,192,940,264,730,WDH
0,371,913,0,756,WDH
0,180,5,0,754,WDH
0,413,288,0,754,WDH
0,8,544,426,797,WDH
0,161,657,0,792,DWH
0,8,76,426,818,WDH
0,124,1034,412,797,DWH
0,168,268,253,805,WDH
0,371,913,0,846,WDH
0,192,913,256,832,WDH
0,86,0,0,857,WDH
0,583,580,478,867,WDH
0,180,359,28,857,WDH
0,161,642,28,884,DWH
0,416,76,438,888,WDH
0,124,1034,451,890,DWH
0,168,268,253,899,WDH
0,329,898,67,936,DWH
0,86,0,0,940,WDH
0,669,524,511,952,WDH
0,263,359,0,960,WDH
0,86,642,73,976,DWH
0,416,76,438,980,WDH
0,124,1034,451,983,DWH
0,168,268,253,993,WDH
0,371,0,0,1024,DWH
0,329,898,67,1024,DWH
0,669,524,451,1044,WDH
0,329,556,67,1059,DWH
0,263,339,15,1053,DWH
0,583,70,457,1072,WDH
0,124,1034,451,1076,DWH
0,7,268,253,1087,WDH
0,369,898,67,1112,DWH
0,369,0,0,1114,DWH
0,222,630,523,1136,WDH
0,222,525,30,1147,DWH
0,182,156,434,1157,WDH
0,263,268,48,1147,WDH
0,286,1034,451,1169,DWH
0,7,268,253,1184,WDH
0,182,842,30,1199,DWH
0,101,4,120,1201,DWH
0,5,693,451,1218,WDH
0,5,525,93,1229,DWH
0,13,69,438,1244,WDH
0,263,287,48,1244,WDH
0,90,1034,451,1263,DWH
0,5,806,93,1286,WDH
0,101,4,120,1291,DWH
0,258,293,290,1281,WDH
0,5,693,451,1306,WDH
0,5,525,48,1317,DWH
0,90,353,20,1341,DWH
0,13,69,438,1341,WDH
0,90,1034,462,1360,DWH
0,361,806,48,1374,WDH
0,101,29,124,1381,DWH
0,101,720,468,1394,WDH
0,258,293,290,1383,WDH
0,148,537,19,1405,DWH
0,90,353,20,1438,DWH
0,451,29,438,1438,WDH
0,90,1034,462,1457,DWH
0,229,815,48,1466,DWH
0,171,18,28,1471,DWH
0,314,720,468,1484,DWH
0,258,293,290,1485,WDH
0,248,525,20,1500,DWH
0,452,0,508,1531,WDH
0,90,353,20,1535,DWH
0,394,1022,468,1554,DWH
0,666,885,53,1564,DWH
0,248,0,79,1573,DWH
0,314,720,468,1580,DWH
0,452,553,4,1593,DWH
0,113,295,315,1587,WDH
0,389,0,508,1631,WDH
0,394,391,4,1632,DWH
0,346,1022,362,1665,DWH
0,59,924,0,1665,DWH
0,389,20,66,1666,DWH
0,160,636,468,1676,WDH
0,389,655,0,1693,DWH
0,379,295,315,1701,WDH
0,485,0,508,1728,WDH
0,203,391,4,1734,DWH
0,623,637,450,1778,WDH
0,108,924,0,1765,WDH
0,160,0,0,1765,DWH
0,269,924,305,1768,WDH
0,314,601,4,1790,DWH
0,87,293,291,1814,WDH
0,252,211,505,1835,WDH
0,246,304,5,1842,WDH
0,148,870,571,1857,WDH
0,148,601,470,1857,DWH
0,108,903,4,1859,WDH
0,148,23,16,1867,DWH
0,422,601,76,1886,DWH
0,359,953,304,1874,WDH
0,304,870,469,1859,WDH
0,422,207,589,1933,WDH
0,246,304,303,1933,WDH
0,75,298,32,1942,WDH
0,413,613,479,1952,DWH
0,422,846,589,1952,WDH
0,143,872,0,1953,WDH
0,143,0,0,1962,DWH
0,143,618,0,1982,DWH
0,379,904,306,1984,WDH
0,413,252,607,2029,WDH
0,413,252,374,2033,WDH
0,143,872,586,2050,WDH
0,143,359,6,2050,DWH
0,143,618,472,2053,DWH
0,108,903,6,2055,WDH
0,202,0,95,2064,WDH
0,304,618,370,1982,WDH
0,202,630,3,2084,DWH
1,497,0,318,0,WDH
1,487,457,584,0,WDH
1,497,0,0,0,WDH
1,633,457,292,0,WDH
1,633,457,0,0,WDH
1,255,932,584,0,WDH
1,206,0,636,0,WDH
1,527,907,0,0,DWH
1,304,907,473,0,WDH
1,26,325,17,134,WDH
1,513,907,43,134,DWH
1,513,430,174,134,WDH
1,414,0,8,134,WDH
1,513,421,515,134,WDH
1,625,851,581,134,WDH
1,513,0,174,134,WDH
1,639,0,499,134,WDH
1,437,617,23,134,WDH
1,304,907,473,191,WDH
1,466,487,508,275,WDH
1,379,872,11,275,WDH
1,675,0,5,275,DWH
1,584,305,198,275,WDH
1,668,0,472,275,WDH
1,409,708,186,275,WDH
1,123,903,575,275,WDH
1,113,1091,242,275,DWH
1,379,574,11,276,WDH
1,359,325,11,276,WDH
1,332,906,472,382,WDH
1,202,788,186,382,WDH
1,661,0,472,384,WDH
1,107,0,0,384,DWH
1,113,509,338,389,WDH
1,113,279,338,389,WDH
1,250,1091,242,389,DWH
1,661,279,0,389,WDH
1,661,383,472,389,WDH
1,257,662,0,389,WDH
1,113,766,472,389,DWH
1,257,892,0,389,WDH
1,218,1031,716,382,WDH
1,218,822,716,389,WDH
1,19,662,178,389,DWH
1,449,940,525,480,WDH
1,449,770,178,484,WDH
1,544,0,0,495,WDH
1,624,277,0,495,WDH
1,544,0,226,495,DWH
1,17,0,650,495,WDH
1,169,551,472,495,DWH
1,17,0,503,495,WDH
1,169,279,619,495,WDH
1,17,279,472,495,WDH
1,17,277,157,495,WDH
1,293,1091,199,503,DWH
1,293,627,35,503,WDH
1,298,279,315,503,WDH
1,293,498,350,503,WDH
1,293,892,56,503,WDH
1,298,766,483,503,DWH
1,436,551,725,495,WDH
1,185,1031,716,556,WDH
1,436,766,725,563,WDH
1,19,910,369,484,WDH
1,604,0,219,796,DWH
1,664,0,552,796,DWH
1,561,0,0,796,WDH
1,552,549,472,796,DWH
1,501,279,472,796,WDH
1,549,387,0,796,DWH
1,228,919,15,808,WDH
1,166,627,9,808,WDH
1,68,279,315,808,WDH
1,175,766,429,808,DWH
1,166,1070,185,808,DWH
1,540,936,477,826,DWH
1,373,742,178,826,WDH
1,136,735,702,796,WDH
1,136,735,702,963,WDH
1,172,669,7,1004,WDH
1,140,740,431,1004,DWH
1,250,1075,262,1004,DWH
1,9,279,315,1007,WDH
1,250,919,14,1008,WDH
1,104,936,477,1008,DWH
1,10,740,195,1010,WDH
1,346,51,1,1032,WDH
1,107,0,469,1040,DWH
1,99,387,5,1040,DWH
1,97,0,231,1040,WDH
1,14,279,466,1042,WDH
1,190,1062,224,1118,DWH
1,432,1046,563,1130,DWH
1,107,669,5,1130,WDH
1,107,669,284,1130,WDH
1,384,669,563,1130,WDH
1,9,279,315,1130,WDH
1,63,0,9,1135,WDH
1,99,359,33,1148,WDH
1,97,27,231,1148,WDH
1,152,17,469,1151,DWH
1,141,286,467,1155,WDH
1,400,1040,284,1230,WDH
1,467,701,5,1241,DWH
1,476,651,519,1241,WDH
1,288,1042,488,1241,DWH
1,87,51,9,1243,WDH
1,250,328,315,1243,WDH
1,360,8,236,1256,WDH
1,75,366,44,1256,WDH
1,152,4,467,1262,DWH
1,384,266,467,1262,WDH
1,24,669,318,1356,WDH
1,384,669,44,1356,WDH
1,307,0,0,1358,WDH
1,92,1027,488,1364,DWH
1,307,0,228,1364,WDH
1,152,663,508,1364,WDH
1,75,366,44,1364,WDH
1,233,371,493,1373,WDH
1,233,79,493,1373,WDH
1,372,1049,218,1342,DWH
1,370,366,315,1358,WDH
1,443,663,235,1468,WDH
1,307,663,7,1468,WDH
1,233,366,38,1468,WDH
1,307,0,0,1469,WDH
1,443,965,488,1475,DWH
1,122,1011,218,1475,DWH
1,196,711,508,1475,DWH
1,215,18,228,1475,WDH
1,574,257,508,1478,WDH
1,236,31,508,1478,DWH
1,444,366,315,1485,WDH
1,353,654,246,1579,WDH
1,215,654,0,1579,WDH
1,215,336,0,1579,WDH
1,346,0,10,1580,WDH
1,215,994,522,1581,DWH
1,360,994,202,1584,DWH
1,215,31,262,1584,WDH
1,215,711,512,1584,DWH
1,360,31,508,1592,DWH
1,353,407,508,1593,WDH
1,57,349,262,1607,WDH
1,158,253,590,1593,DWH
1,128,346,0,1688,WDH
1,128,38,0,1688,WDH
1,337,655,0,1688,WDH
1,128,655,224,1689,WDH
1,360,994,202,1690,DWH
1,128,957,522,1690,DWH
1,360,711,508,1693,DWH
1,128,38,248,1693,WDH
1,360,0,520,1698,DWH
1,360,489,508,1703,DWH
1,415,365,248,1711,WDH
1,391,222,601,1726,DWH
1,360,994,202,1799,DWH
1,337,338,0,1799,WDH
1,337,733,522,1799,DWH
1,337,21,0,1799,WDH
1,337,655,0,1799,WDH
1,337,655,224,1800,WDH
1,337,957,522,1801,DWH
1,92,0,515,1804,DWH
1,92,0,304,1804,WDH
1,254,395,522,1809,WDH
1,57,325,290,1820,WDH
1,391,211,601,1841,DWH
1,264,550,724,1809,WDH
1,292,451,25,1904,WDH
1,292,733,467,1904,DWH
1,133,823,1,1904,DWH
1,419,21,40,1904,WDH
1,254,994,184,1905,DWH
1,254,655,246,1905,WDH
1,10,1004,526,1906,DWH
1,57,0,277,1913,WDH
1,254,0,502,1913,DWH
1,205,412,522,1918,WDH
1,199,247,280,1924,WDH
1,140,202,569,1956,DWH
1,236,10,277,2023,DWH
1,323,609,224,2023,WDH
1,292,451,1,2023,WDH
1,482,758,526,2023,WDH
1,140,6,569,2023,DWH
1,205,1000,184,2023,DWH
1,292,79,25,2025,WDH
1,133,823,1,2025,DWH
1,186,410,526,2037,WDH
1,104,247,230,2039,WDH
1,391,247,515,2079,DWH
2,390,875,261,0,WDH
2,592,377,450,0,WDH
2,651,0,624,0,WDH
2,510,875,0,0,WDH
2,510,785,450,0,WDH
2,120,785,711,0,WDH
2,657,0,0,0,WDH
2,218,1023,711,0,WDH
2,657,0,312,0,WDH
2,120,377,707,0,WDH
2,539,377,225,0,WDH
2,539,377,0,0,WDH
2,52,625,713,0,WDH
2,185,1134,450,0,DWH
2,297,820,478,174,WDH
2,391,138,29,174,WDH
2,523,907,17,174,DWH
2,523,46,191,174,DWH
2,12,0,624,179,WDH
2,523,377,0,179,WDH
2,391,377,662,179,WDH
2,523,377,331,179,WDH
2,265,17,8,174,DWH
2,265,1057,719,174,WDH
2,218,848,716,179,WDH
2,429,616,685,220,WDH
2,173,820,478,291,WDH
2,391,138,8,291,WDH
2,616,0,240,296,DWH
2,616,820,136,296,WDH
2,39,0,624,301,WDH
2,628,377,342,301,WDH
2,616,377,0,301,WDH
2,290,995,0,296,WDH
2,218,492,624,301,DWH
2,398,820,710,353,WDH
2,173,844,478,406,WDH
2,115,132,0,406,WDH
2,476,815,194,414,WDH
2,595,24,276,414,WDH
