bin,item,x,y,z,orientation
0,49,370,0,0,WDH
0,49,0,560,0,WDH
0,49,0,280,0,WDH
0,49,370,560,0,WDH
0,49,0,0,0,WDH
0,31,740,0,0,WDH
0,31,740,195,0,WDH
0,31,740,390,0,WDH
0,19,1036,249,0,DWH
0,19,740,585,0,WDH
0,19,1036,0,0,DWH
0,49,370,280,0,WDH
0,8,1083,498,0,DWH
0,8,1033,691,0,WDH
0,36,989,585,127,DWH
0,12,840,0,140,WDH
0,12,906,312,140,WDH
0,32,420,312,140,WDH
0,4,420,581,140,WDH
0,4,0,624,140,WDH
0,17,0,0,140,WDH
0,17,0,312,140,WDH
0,17,420,0,140,WDH
0,27,813,585,140,DWH
0,36,998,616,210,WDH
0,24,915,0,229,WDH
0,24,915,256,229,WDH
0,2,420,538,229,WDH
0,37,664,383,229,WDH
0,27,0,664,229,WDH
0,37,244,627,229,DWH
0,27,420,362,229,WDH
0,11,0,78,232,WDH
0,11,299,78,232,WDH
0,11,0,351,232,WDH
0,11,598,78,232,WDH
0,38,865,570,245,DWH
0,13,299,406,232,DWH
0,6,998,570,293,WDH
0,12,922,0,295,WDH
0,12,922,270,295,WDH
0,12,470,538,335,WDH
0,38,627,351,335,WDH
0,6,0,624,335,WDH
0,39,0,368,349,WDH
0,25,486,0,349,DWH
0,25,242,0,349,DWH
0,2,0,0,349,DWH
0,1,210,624,335,WDH
0,25,897,240,382,WDH
0,39,897,7,382,WDH
0,5,730,0,349,DWH
0,22,825,575,349,DWH
0,23,299,399,402,DWH
0,18,998,575,402,DWH
0,16,526,646,422,WDH
0,16,631,347,432,DWH
0,40,0,0,460,WDH
0,5,404,0,460,WDH
0,5,147,288,460,DWH
0,5,0,288,460,DWH
0,13,0,601,442,DWH
0,35,404,147,460,WDH
0,40,910,171,493,DWH
0,35,121,651,482,WDH
0,15,713,0,492,DWH
0,14,991,0,493,WDH
0,14,825,575,513,DWH
0,15,994,575,565,DWH
0,15,299,399,565,DWH
0,42,526,379,579,DWH
0,33,114,0,611,WDH
0,33,4,288,611,WDH
0,15,404,147,629,WDH
0,21,958,169,644,WDH
0,29,121,651,651,WDH
0,14,713,0,662,WDH
0,9,971,411,644,WDH
0,7,404,0,611,WDH
0,42,709,601,738,WDH
0,42,484,365,738,DWH
0,3,4,288,777,WDH
0,44,42,0,777,WDH
0,34,301,363,735,DWH
0,28,962,38,672,WDH
0,20,404,138,799,WDH
0,26,958,169,812,WDH
0,30,953,398,850,WDH
0,10,121,651,831,WDH
0,46,475,363,897,WDH
0,48,953,592,897,WDH
0,46,145,363,967,WDH
0,48,174,62,967,DWH
0,41,475,622,897,WDH
0,26,404,120,1000,WDH
0,47,874,168,1020,WDH
0,45,953,494,1118,DWH
0,45,475,363,1125,WDH
0,43,145,622,1082,WDH
0,43,145,95,1188,DWH
