bin,item,x,y,z,orientation
0,845,383,307,0,WDH
0,774,750,0,0,WDH
0,774,786,307,0,WDH
0,674,383,581,0,WDH
0,45,0,658,0,WDH
0,891,0,0,0,WDH
0,891,0,329,0,WDH
0,317,383,0,0,WDH
0,299,786,595,0,WDH
0,201,1133,0,0,DWH
0,373,389,559,182,WDH
0,373,0,278,182,WDH
0,373,778,559,182,WDH
0,409,786,0,182,WDH
0,373,778,278,182,WDH
0,373,389,278,182,WDH
0,373,0,559,182,WDH
0,347,393,10,182,WDH
0,347,0,10,182,WDH
0,65,1120,0,206,DWH
0,321,0,632,365,WDH
0,898,0,316,365,WDH
0,898,0,0,365,WDH
0,898,426,0,365,WDH
0,888,852,316,365,WDH
0,898,426,316,365,WDH
0,631,852,613,365,WDH
0,386,383,632,365,WDH
0,437,852,0,365,DWH
0,65,1116,0,395,DWH
0,201,740,632,365,DWH
0,683,0,0,570,WDH
0,488,852,613,570,WDH
0,593,0,540,570,WDH
0,691,0,293,570,WDH
0,593,425,293,570,WDH
0,521,425,560,570,WDH
0,593,815,293,570,WDH
0,593,360,0,570,WDH
0,361,750,0,570,WDH
0,183,1108,30,584,DWH
0,242,743,586,571,DWH
0,692,398,624,748,WDH
0,320,1018,0,748,DWH
0,320,0,624,748,WDH
0,711,852,586,748,WDH
0,220,1018,398,748,WDH
0,893,508,0,748,WDH
0,893,508,287,748,WDH
0,892,0,312,748,WDH
0,892,0,0,748,WDH
0,65,735,637,749,DWH
0,903,508,295,936,WDH
0,372,508,29,936,WDH
0,143,1018,186,936,DWH
0,125,852,625,936,WDH
0,47,405,625,936,WDH
0,123,0,629,936,WDH
0,224,1018,59,936,WDH
0,769,45,11,941,WDH
0,365,7,299,941,WDH
0,224,704,626,941,DWH
0,81,0,713,1071,WDH
0,549,423,287,1071,WDH
0,343,780,0,1071,WDH
0,81,228,713,1071,WDH
0,440,846,287,1071,WDH
0,440,846,527,1071,WDH
0,895,0,0,1071,WDH
0,549,357,0,1071,WDH
0,549,0,500,1071,WDH
0,549,0,287,1071,WDH
0,204,1094,0,1071,DWH
0,549,423,500,1071,WDH
0,194,458,713,1071,WDH
0,15,969,650,1292,WDH
0,149,485,687,1292,WDH
0,283,11,0,1292,DWH
0,274,4,364,1292,DWH
0,364,296,0,1292,WDH
0,218,754,650,1292,WDH
0,506,248,364,1292,WDH
0,365,739,0,1292,WDH
0,365,739,325,1292,WDH
0,224,0,713,1293,WDH
0,224,214,713,1293,WDH
0,693,249,316,1418,DWH
0,228,524,650,1418,WDH
0,535,39,0,1418,WDH
0,243,980,632,1418,WDH
0,636,488,316,1418,WDH
0,839,852,0,1418,WDH
0,839,852,316,1418,WDH
0,839,464,0,1418,WDH
0,230,754,650,1420,WDH
0,647,4,364,1420,DWH
0,183,25,713,1422,WDH
0,43,196,713,1422,WDH
