bin,item,x,y,z,orientation
0,59,342,338,0,WDH
0,59,0,338,0,WDH
0,59,342,0,0,WDH
0,59,0,0,0,WDH
0,59,342,169,0,WDH
0,47,684,0,0,WDH
0,59,0,507,0,WDH
0,47,0,676,0,WDH
0,59,0,169,0,WDH
0,47,342,507,0,WDH
0,70,934,171,0,WDH
0,5,1035,6,0,WDH
0,5,701,150,0,WDH
0,5,380,675,0,WDH
0,67,906,607,0,WDH
0,55,702,315,0,DWH
0,55,585,636,0,WDH
0,67,906,374,0,WDH
0,39,292,677,222,WDH
0,52,925,83,222,WDH
0,20,588,546,222,DWH
0,30,695,225,222,WDH
0,56,804,358,222,WDH
0,56,804,599,222,WDH
0,40,0,510,269,DWH
0,41,456,0,269,WDH
0,44,0,0,269,WDH
0,44,0,255,269,WDH
0,27,472,241,269,DWH
0,7,348,520,269,WDH
0,25,53,508,368,DWH
0,25,686,26,368,DWH
0,25,140,268,368,WDH
0,21,3,46,368,WDH
0,65,233,3,368,WDH
0,26,667,608,378,WDH
0,15,354,677,378,WDH
0,2,975,232,378,DWH
0,8,727,369,378,WDH
0,45,909,567,378,WDH
0,43,985,49,378,WDH
0,7,472,241,385,DWH
0,30,3,241,368,DWH
0,7,292,508,388,WDH
0,4,544,678,513,WDH
0,4,283,678,513,WDH
0,42,283,471,513,WDH
0,4,3,673,513,WDH
0,4,790,471,513,WDH
0,4,529,471,513,WDH
0,4,732,241,513,WDH
0,19,452,241,513,WDH
0,69,136,241,513,WDH
0,19,3,471,513,WDH
0,19,399,0,513,WDH
0,18,679,0,513,WDH
0,49,0,0,513,WDH
0,34,1051,254,513,DWH
0,34,805,660,513,WDH
0,29,956,0,516,WDH
0,30,0,211,516,DWH
0,29,956,0,627,WDH
0,6,912,644,693,WDH
0,13,789,283,719,DWH
0,35,432,309,719,WDH
0,50,0,326,719,WDH
0,50,0,583,719,WDH
0,50,432,583,719,WDH
0,48,432,40,719,WDH
0,48,0,57,719,WDH
0,37,1077,238,693,DWH
0,14,882,29,738,WDH
0,24,922,588,794,WDH
0,48,0,302,841,WDH
0,48,353,571,841,WDH
0,36,0,18,841,WDH
0,13,706,540,841,DWH
0,48,0,571,841,WDH
0,36,353,287,841,WDH
0,13,706,334,841,WDH
0,17,353,37,841,WDH
0,43,643,32,841,DWH
0,32,1025,306,842,DWH
0,9,826,32,851,WDH
0,9,912,614,903,WDH
0,71,0,265,962,WDH
0,71,0,0,962,WDH
0,22,365,690,962,WDH
0,52,365,0,962,DWH
0,57,365,315,962,DWH
0,57,826,32,962,WDH
0,28,0,530,962,WDH
0,22,588,690,963,WDH
0,57,592,315,963,DWH
0,21,830,306,963,DWH
0,9,936,614,1012,WDH
0,31,640,0,979,DWH
0,37,1077,264,982,DWH
0,1,826,0,1112,DWH
0,23,0,0,1112,DWH
0,23,365,315,1112,WDH
0,16,1022,78,1112,WDH
0,40,0,517,1118,DWH
0,29,356,77,1118,WDH
0,41,863,617,1121,WDH
0,11,276,689,1118,WDH
0,32,1022,264,1131,DWH
0,28,356,315,1181,WDH
0,28,0,239,1181,WDH
0,25,0,0,1181,WDH
0,31,640,29,1158,DWH
0,11,871,191,1190,DWH
0,11,871,40,1199,WDH
0,5,631,675,1118,WDH
0,28,0,461,1213,DWH
0,26,871,546,1213,DWH
0,26,398,29,1229,WDH
0,11,276,675,1258,WDH
0,46,1022,191,1271,DWH
0,12,696,315,1190,DWH
0,38,356,537,1181,WDH
0,38,1103,546,1213,DWH
0,61,0,0,1334,WDH
0,10,0,253,1334,WDH
0,10,356,315,1334,WDH
0,10,640,14,1337,DWH
0,60,696,572,1346,WDH
0,64,372,0,1366,DWH
0,64,0,451,1366,WDH
0,54,953,0,1339,WDH
0,3,871,191,1334,DWH
0,51,1017,268,1375,DWH
0,3,28,648,1366,WDH
0,68,356,661,1398,WDH
0,61,0,198,1511,WDH
0,53,600,14,1514,DWH
0,63,687,588,1516,WDH
0,33,497,547,1417,WDH
0,33,307,547,1417,WDH
0,64,97,1,1511,WDH
0,3,1103,593,1449,DWH
0,33,657,399,1445,WDH
0,64,372,0,1596,DWH
0,62,372,275,1511,DWH
0,66,847,234,1623,DWH
0,58,25,236,1687,WDH
0,51,569,189,1702,WDH
0,66,824,555,1708,WDH
0,68,871,15,1596,WDH
0,33,25,528,1596,WDH
