bin,item,x,y,z,orientation
0,736,655,438,0,WDH
0,455,920,208,0,WDH
0,714,328,624,0,WDH
0,736,655,633,0,WDH
0,455,926,438,0,WDH
0,745,655,208,0,WDH
0,455,982,0,0,WDH
0,247,926,615,0,WDH
0,774,0,210,0,WDH
0,774,0,626,0,WDH
0,764,0,0,0,WDH
0,774,655,0,0,WDH
0,774,328,208,0,WDH
0,774,328,416,0,WDH
0,774,0,418,0,WDH
0,774,328,0,0,WDH
0,563,862,11,259,WDH
0,825,393,627,259,WDH
0,825,393,414,259,WDH
0,811,0,550,259,WDH
0,811,0,260,259,WDH
0,64,393,24,259,WDH
0,817,0,2,259,WDH
0,817,779,156,259,WDH
0,817,881,454,259,DWH
0,817,393,156,259,WDH
0,682,510,301,430,WDH
0,682,510,0,430,WDH
0,340,0,602,430,WDH
0,251,602,602,430,WDH
0,251,324,602,430,WDH
0,689,945,362,430,DWH
0,59,0,0,430,WDH
0,289,945,647,430,WDH
0,59,0,301,430,WDH
0,347,945,0,430,DWH
0,739,0,221,505,WDH
0,226,418,697,505,WDH
0,181,0,669,505,WDH
0,226,1098,221,505,DWH
0,181,761,668,505,WDH
0,723,0,431,505,WDH
0,737,0,0,505,WDH
0,723,418,0,505,WDH
0,723,418,238,505,WDH
0,370,1101,0,505,DWH
0,868,758,0,505,WDH
0,868,418,476,505,WDH
0,35,1098,505,505,DWH
0,772,758,221,505,WDH
0,878,761,476,505,WDH
0,808,833,180,723,WDH
0,65,7,271,723,DWH
0,808,426,180,723,WDH
0,98,911,8,723,WDH
0,327,29,31,723,DWH
0,808,426,510,723,WDH
0,819,133,59,723,DWH
0,808,833,510,723,WDH
0,157,454,3,723,DWH
0,808,19,510,723,WDH
0,326,592,14,723,WDH
0,449,1071,622,872,DWH
0,879,736,616,872,WDH
0,708,368,432,872,WDH
0,11,1082,329,872,DWH
0,708,0,432,872,WDH
0,132,736,2,872,DWH
0,861,736,210,872,WDH
0,708,0,636,872,WDH
0,708,368,24,872,WDH
0,708,368,228,872,WDH
0,861,736,413,872,WDH
0,708,368,636,872,WDH
0,708,0,228,872,WDH
0,708,0,24,872,WDH
0,552,1099,30,873,DWH
0,658,932,5,873,DWH
0,287,905,0,986,WDH
0,734,904,447,1087,WDH
0,734,569,0,1087,WDH
0,734,568,447,1087,WDH
0,734,569,220,1087,WDH
0,50,7,286,1087,WDH
0,405,905,667,1087,WDH
0,204,284,248,1087,WDH
0,405,570,667,1087,WDH
0,824,283,0,1087,WDH
0,801,927,207,1087,WDH
0,824,35,0,1087,DWH
0,824,282,447,1087,WDH
0,118,82,733,1087,WDH
0,824,34,447,1087,DWH
0,153,304,695,1087,WDH
0,287,905,0,1094,WDH
0,276,905,0,1202,WDH
0,826,0,0,1309,WDH
0,826,0,315,1309,WDH
0,272,320,630,1309,WDH
0,624,946,0,1309,WDH
0,806,473,315,1309,WDH
0,826,473,0,1309,WDH
0,235,0,630,1309,WDH
0,246,965,315,1309,DWH
0,560,650,608,1314,WDH
0,289,968,655,1314,WDH
0,618,623,619,1399,WDH
0,858,34,315,1399,WDH
0,845,465,0,1399,WDH
0,858,15,0,1399,WDH
0,845,484,315,1399,WDH
0,386,1,613,1399,DWH
0,339,1005,655,1399,WDH
0,618,142,613,1399,WDH
0,154,956,0,1400,DWH
0,607,984,314,1402,DWH
0,369,142,613,1512,WDH
0,717,0,358,1512,WDH
0,781,890,0,1512,DWH
0,763,0,0,1512,WDH
0,812,433,0,1512,WDH
0,730,433,318,1512,WDH
0,730,826,318,1512,WDH
0,424,698,677,1512,WDH
0,424,433,677,1512,WDH
0,424,963,677,1512,WDH
0,419,0,608,1514,DWH
0,464,0,335,1650,DWH
0,464,0,62,1650,DWH
0,839,139,185,1650,WDH
0,457,839,0,1650,DWH
0,839,423,624,1650,WDH
0,457,825,414,1650,DWH
0,773,139,401,1650,WDH
0,783,139,599,1650,WDH
0,765,726,630,1650,WDH
0,765,719,191,1650,WDH
0,765,1003,9,1650,DWH
0,767,139,20,1650,WDH
0,765,442,191,1650,WDH
0,767,489,20,1650,WDH
0,765,1003,563,1650,DWH
0,765,1003,286,1650,DWH
0,719,483,423,1650,WDH
0,265,0,608,1653,DWH
0,771,139,2,1918,WDH
0,771,532,2,1918,WDH
0,802,925,20,1918,DWH
0,557,423,601,1918,WDH
0,557,827,601,1918,WDH
0,47,825,436,1918,WDH
0,793,139,401,1925,DWH
0,359,0,263,1925,DWH
0,47,411,401,1925,WDH
0,359,0,0,1925,DWH
0,702,5,590,1928,DWH
0,780,838,0,2045,WDH
0,321,21,564,2045,WDH
0,322,824,646,2045,WDH
0,732,391,0,2045,WDH
0,797,150,0,2045,DWH
0,862,374,564,2045,WDH
0,707,823,341,2045,WDH
0,269,154,382,2045,WDH
0,400,0,0,2052,DWH
0,400,0,261,2052,DWH
0,47,391,382,2052,WDH
0,327,391,273,2045,WDH
1,800,0,0,0,WDH
1,800,478,285,0,WDH
1,324,365,570,0,WDH
1,675,730,570,0,DWH
