bin,item,x,y,z,orientation
0,394,402,637,0,WDH
0,394,0,630,0,WDH
0,414,0,0,0,WDH
0,349,402,322,0,WDH
0,435,402,0,0,WDH
0,349,787,322,0,WDH
0,435,0,308,0,WDH
0,349,786,0,0,WDH
0,199,801,637,0,WDH
0,442,876,0,160,WDH
0,182,920,495,160,WDH
0,423,177,257,160,WDH
0,415,865,257,160,WDH
0,423,188,0,160,WDH
0,423,532,0,160,WDH
0,423,521,257,160,WDH
0,107,328,724,160,WDH
0,107,135,724,160,WDH
0,294,8,0,160,DWH
0,366,181,504,160,WDH
0,367,12,257,160,DWH
0,336,629,504,160,WDH
0,177,527,637,160,WDH
0,17,801,648,166,WDH
0,99,801,637,301,WDH
0,392,0,0,371,WDH
0,439,395,573,371,WDH
0,372,0,293,371,WDH
0,438,482,293,371,WDH
0,439,0,573,371,WDH
0,231,888,0,371,WDH
0,235,904,293,371,WDH
0,438,466,0,371,WDH
0,248,790,634,376,WDH
0,335,840,0,494,WDH
0,219,420,0,494,WDH
0,219,0,312,494,WDH
0,219,420,312,494,WDH
0,243,0,624,494,WDH
0,219,0,0,494,WDH
0,243,360,624,494,WDH
0,146,840,310,494,WDH
0,99,720,635,502,WDH
0,213,1024,617,502,DWH
0,431,406,237,580,WDH
0,70,1112,133,580,DWH
0,60,1112,308,580,DWH
0,362,0,0,580,WDH
0,260,406,8,580,WDH
0,88,791,525,580,DWH
0,349,0,525,580,WDH
0,424,385,556,580,WDH
0,365,734,31,580,WDH
0,424,0,241,580,WDH
0,365,734,278,580,WDH
0,97,1024,617,596,WDH
0,138,4,0,747,DWH
0,353,186,227,747,WDH
0,320,44,681,747,WDH
0,353,186,454,747,WDH
0,353,186,0,747,WDH
0,361,898,0,747,WDH
0,320,300,681,747,WDH
0,361,898,266,747,WDH
0,361,556,0,747,WDH
0,395,564,266,747,WDH
0,395,564,537,747,WDH
0,101,3,288,747,DWH
0,378,923,532,747,WDH
0,25,16,566,747,WDH
0,227,0,21,968,WDH
0,412,856,6,968,DWH
0,359,0,168,968,WDH
0,359,0,504,968,WDH
0,124,475,33,968,WDH
0,359,856,412,968,DWH
0,359,428,504,968,WDH
0,359,428,168,968,WDH
0,124,229,33,968,WDH
0,433,188,30,1103,WDH
0,433,188,267,1103,WDH
0,391,890,598,1103,WDH
0,61,5,146,1103,DWH
0,371,8,519,1103,DWH
0,89,902,422,1103,WDH
0,446,571,577,1103,WDH
0,446,537,241,1103,WDH
0,234,538,30,1103,WDH
0,317,0,10,1103,WDH
0,446,252,577,1103,WDH
0,434,885,0,1112,WDH
0,186,916,236,1112,WDH
0,203,1038,692,1279,WDH
0,71,1038,0,1279,DWH
0,71,1038,346,1279,DWH
0,433,349,474,1279,WDH
0,433,349,237,1279,WDH
0,408,698,219,1279,WDH
0,433,0,237,1279,WDH
0,408,698,0,1279,WDH
