bin,item,x,y,z,orientation
0,607,0,580,0,WDH
0,170,1092,0,0,DWH
0,483,0,0,0,WDH
0,483,0,290,0,WDH
0,144,1129,307,0,DWH
0,230,764,307,0,WDH
0,545,826,580,0,WDH
0,435,764,0,0,WDH
0,607,351,0,0,WDH
0,607,351,244,0,WDH
0,607,413,580,0,WDH
0,259,578,604,198,WDH
0,259,909,604,198,WDH
0,259,909,368,198,WDH
0,400,260,611,198,WDH
0,625,4,612,198,WDH
0,468,244,141,198,WDH
0,468,251,377,198,WDH
0,138,824,3,198,WDH
0,138,1032,3,198,WDH
0,138,616,3,198,WDH
0,541,39,25,198,DWH
0,317,564,146,198,WDH
0,318,14,390,198,WDH
0,317,902,146,198,WDH
0,317,571,382,198,WDH
0,46,351,0,198,WDH
0,46,351,0,337,WDH
0,80,366,618,453,WDH
0,603,781,0,453,WDH
0,322,710,618,453,WDH
0,603,781,309,453,WDH
0,2,591,0,453,DWH
0,297,15,309,453,DWH
0,179,379,139,453,WDH
0,297,314,309,453,WDH
0,529,15,0,453,WDH
0,132,352,0,476,WDH
0,170,331,667,593,WDH
0,195,0,0,593,WDH
0,333,0,289,593,WDH
0,542,781,0,593,WDH
0,561,954,308,593,WDH
0,542,591,308,593,WDH
0,545,591,581,593,WDH
0,591,969,581,593,WDH
0,545,331,289,593,DWH
0,144,352,129,593,WDH
0,618,0,591,593,WDH
0,12,591,27,598,DWH
0,120,346,0,621,WDH
0,122,606,0,723,DWH
0,13,346,125,791,WDH
0,531,781,0,791,WDH
0,531,781,526,791,WDH
0,531,781,263,791,WDH
0,416,388,289,791,WDH
0,383,320,591,791,WDH
0,416,0,289,791,WDH
0,654,0,599,793,WDH
0,626,0,1,793,WDH
0,66,592,15,802,DWH
0,3,391,5,798,WDH
0,228,1004,212,969,DWH
0,423,679,139,969,WDH
0,341,325,162,969,WDH
0,228,1004,526,969,DWH
0,341,650,416,969,WDH
0,341,650,628,969,WDH
0,240,0,374,969,WDH
0,240,0,141,969,WDH
0,54,1004,20,969,WDH
0,240,325,374,969,WDH
0,240,0,607,969,WDH
0,240,325,607,969,WDH
0,61,590,5,969,WDH
0,99,0,0,969,WDH
0,181,765,1,969,WDH
0,24,379,5,985,WDH
0,4,325,10,1100,WDH
0,132,86,12,1164,WDH
0,530,1,177,1235,WDH
0,524,403,522,1235,WDH
0,524,403,204,1235,WDH
0,89,840,30,1235,WDH
0,524,85,429,1235,DWH
0,378,814,532,1235,WDH
0,378,814,224,1235,WDH
0,122,403,29,1243,WDH
0,78,86,12,1309,WDH
0,68,403,4,1322,WDH
0,422,17,488,1384,WDH
0,651,403,206,1384,WDH
0,552,813,504,1384,WDH
0,158,888,7,1384,WDH
0,406,818,173,1384,WDH
0,406,391,509,1384,WDH
0,555,17,176,1388,WDH
0,93,152,4,1396,WDH
0,169,403,15,1405,WDH
0,4,690,33,1512,WDH
0,155,944,0,1512,WDH
