bin,item,x,y,z,orientation
0,161,349,665,0,WDH
0,481,940,0,0,WDH
0,721,0,450,0,WDH
0,721,318,225,0,WDH
0,678,0,0,0,WDH
0,678,318,0,0,WDH
0,678,0,225,0,WDH
0,648,640,225,0,WDH
0,648,636,0,0,WDH
0,876,931,450,0,WDH
0,876,643,450,0,WDH
0,481,944,225,0,WDH
0,690,0,665,0,WDH
0,337,322,450,0,WDH
0,96,772,685,0,WDH
0,40,569,699,0,WDH
0,96,1006,685,0,WDH
0,173,557,685,123,WDH
0,95,772,685,124,WDH
0,41,1052,685,124,WDH
0,477,339,240,290,WDH
0,477,0,240,290,WDH
0,814,678,275,290,WDH
0,84,372,558,290,DWH
0,12,504,2,290,DWH
0,386,0,58,290,WDH
0,243,1056,289,290,DWH
0,142,557,566,290,WDH
0,243,1069,12,290,DWH
0,437,678,22,290,WDH
0,359,0,552,290,WDH
0,437,772,574,290,WDH
0,27,538,689,293,WDH
0,241,855,0,477,DWH
0,339,420,608,477,WDH
0,303,414,0,477,WDH
0,303,0,317,477,WDH
0,339,0,608,477,WDH
0,379,0,0,477,WDH
0,539,840,608,477,WDH
0,303,441,317,477,WDH
0,9,1055,0,480,DWH
0,435,882,289,480,WDH
0,421,481,360,628,WDH
0,763,1007,360,628,DWH
0,393,414,0,628,WDH
0,73,0,665,628,WDH
0,222,770,636,628,WDH
0,185,481,636,628,WDH
0,134,248,665,628,WDH
0,427,0,360,628,WDH
0,459,0,0,628,WDH
0,188,1055,0,628,DWH
0,136,845,6,631,DWH
0,603,517,263,762,WDH
0,814,862,286,762,WDH
0,603,159,258,762,WDH
0,814,862,563,762,WDH
0,603,159,549,762,WDH
0,72,14,273,762,DWH
0,645,124,2,762,WDH
0,873,879,16,762,WDH
0,274,504,554,762,WDH
0,707,509,13,762,WDH
0,27,8,436,762,DWH
0,27,8,638,762,DWH
0,236,0,0,762,DWH
0,236,8,2,878,DWH
0,181,964,14,952,WDH
0,575,964,132,952,DWH
0,486,159,2,952,WDH
0,95,0,272,952,DWH
0,495,0,552,952,WDH
0,912,630,6,952,WDH
0,844,159,239,952,WDH
0,674,433,550,952,WDH
0,766,554,258,952,WDH
0,646,853,555,952,WDH
0,73,14,2,994,DWH
0,203,3,254,1116,WDH
0,432,190,502,1116,WDH
0,432,715,502,1116,WDH
0,432,715,164,1116,WDH
0,211,9,552,1116,DWH
0,45,276,263,1116,WDH
0,28,965,8,1116,WDH
0,28,690,8,1116,WDH
0,45,251,8,1118,WDH
0,247,0,0,1120,WDH
0,226,39,8,1226,DWH
0,486,298,582,1226,WDH
0,181,720,0,1226,DWH
0,486,769,582,1226,WDH
0,794,34,291,1226,WDH
0,794,436,291,1226,WDH
0,794,838,291,1226,WDH
0,794,838,0,1226,WDH
0,537,2,582,1226,WDH
0,153,251,24,1228,WDH
0,181,602,0,1228,DWH
0,98,311,0,1322,WDH
0,791,0,531,1392,WDH
0,717,302,251,1392,WDH
0,236,1098,581,1392,DWH
0,36,602,48,1392,WDH
0,791,549,531,1392,WDH
0,281,0,68,1392,DWH
0,68,1007,5,1392,DWH
0,717,764,251,1392,WDH
0,203,302,3,1399,WDH
0,239,981,678,1512,WDH
0,14,5,338,1512,DWH
0,758,719,338,1512,WDH
0,20,3,0,1512,DWH
0,155,327,621,1512,WDH
0,318,197,338,1512,WDH
0,254,267,0,1512,WDH
0,432,715,0,1512,WDH
0,148,76,665,1512,WDH
0,73,719,678,1512,WDH
0,354,776,320,1624,WDH
0,380,318,3,1624,WDH
0,380,782,20,1624,WDH
0,279,3,326,1624,DWH
0,115,0,37,1624,WDH
0,469,334,303,1624,WDH
0,103,488,712,1624,WDH
0,103,1009,715,1625,WDH
0,219,771,690,1638,WDH
0,857,318,3,1745,WDH
0,313,0,596,1745,WDH
0,857,0,303,1745,WDH
0,740,446,303,1745,WDH
0,9,725,638,1745,WDH
0,9,446,638,1745,WDH
0,890,764,3,1745,WDH
0,299,831,303,1745,WDH
0,216,0,0,1748,WDH
0,222,1004,643,1748,WDH
0,148,989,9,1890,WDH
0,148,487,9,1890,WDH
0,148,738,9,1890,WDH
0,20,367,576,1890,WDH
0,410,704,568,1890,WDH
0,425,871,181,1890,WDH
0,112,5,608,1890,WDH
0,169,236,10,1890,WDH
0,425,133,181,1890,WDH
0,425,502,181,1890,WDH
0,103,5,377,1890,DWH
0,103,5,21,1890,WDH
0,103,5,146,1890,DWH
0,716,432,578,1999,WDH
0,422,381,329,1999,WDH
0,232,144,329,1999,DWH
0,299,868,329,1999,WDH
0,69,945,658,1999,WDH
0,216,238,0,1999,DWH
0,299,868,0,1999,WDH
0,299,496,0,1999,WDH
0,250,0,620,2003,WDH
0,62,0,0,2011,DWH
0,74,7,329,2011,DWH
