bin,item,x,y,z,orientation
0,27,1101,264,0,DWH
0,226,764,264,0,WDH
0,332,0,0,0,WDH
0,356,0,528,0,WDH
0,226,427,264,0,WDH
0,332,0,264,0,WDH
0,332,427,0,0,WDH
0,412,427,597,0,WDH
0,270,854,0,0,WDH
0,367,863,597,0,WDH
0,22,5,634,172,DWH
0,22,1119,255,172,DWH
0,33,126,634,172,WDH
0,320,739,597,172,WDH
0,60,456,597,172,WDH
0,275,438,0,172,WDH
0,435,824,0,172,WDH
0,145,22,0,172,WDH
0,145,22,317,172,WDH
0,152,485,255,173,DWH
0,427,728,255,173,WDH
0,10,453,595,330,WDH
0,32,1000,16,330,DWH
0,286,0,550,330,WDH
0,402,1000,351,330,DWH
0,131,261,275,330,DWH
0,223,0,47,330,DWH
0,223,739,309,330,DWH
0,378,438,8,330,WDH
0,49,261,21,330,DWH
0,410,470,275,332,DWH
0,454,761,546,479,WDH
0,16,957,373,479,WDH
0,170,49,293,479,DWH
0,2,503,6,479,WDH
0,100,40,0,479,WDH
0,16,784,263,479,DWH
0,16,478,667,479,WDH
0,120,978,2,480,DWH
0,100,468,254,480,DWH
0,237,826,593,575,WDH
0,391,826,297,575,WDH
0,381,826,0,575,WDH
0,62,0,650,575,WDH
0,427,0,0,575,WDH
0,427,0,325,575,WDH
0,156,391,0,575,WDH
0,389,391,566,575,WDH
0,156,391,283,575,WDH
0,405,809,0,735,WDH
0,252,395,0,735,WDH
0,86,0,630,735,WDH
0,402,395,598,735,WDH
0,252,395,299,735,WDH
0,112,856,598,735,WDH
0,358,0,315,735,WDH
0,358,0,0,735,WDH
0,133,809,308,737,WDH
0,45,809,294,835,WDH
0,191,403,290,884,WDH
0,302,0,588,884,WDH
0,191,0,290,884,WDH
0,291,866,14,884,WDH
0,430,903,584,884,WDH
0,207,433,22,884,WDH
0,207,0,22,884,WDH
0,299,486,594,884,WDH
0,30,853,290,906,WDH
0,66,868,365,981,WDH
0,183,868,584,1035,WDH
0,400,966,0,1035,DWH
0,21,317,627,1035,DWH
0,371,0,0,1035,WDH
0,97,0,627,1035,WDH
0,218,492,323,1035,DWH
0,218,474,0,1035,WDH
0,218,0,323,1035,WDH
0,74,895,351,1039,WDH
0,70,2,0,1167,DWH
0,422,113,304,1167,WDH
0,226,903,0,1167,WDH
0,296,62,584,1167,WDH
0,296,465,584,1167,WDH
0,387,521,285,1167,WDH
0,387,521,0,1167,WDH
0,169,163,0,1167,WDH
0,347,921,333,1167,WDH
0,270,878,570,1172,WDH
0,334,0,466,1336,WDH
0,334,445,466,1336,WDH
0,334,445,92,1336,WDH
0,334,0,92,1336,WDH
0,268,890,358,1336,DWH
0,428,890,5,1340,DWH
0,116,818,365,1459,DWH
0,453,352,585,1459,WDH
0,380,9,591,1459,WDH
0,161,61,294,1459,WDH
0,350,436,290,1459,WDH
0,131,965,363,1459,WDH
0,265,56,9,1459,WDH
0,207,807,572,1459,WDH
0,225,451,8,1459,WDH
0,301,823,0,1465,WDH
0,229,0,0,1610,WDH
0,229,0,237,1610,WDH
0,413,345,199,1610,WDH
0,413,0,474,1610,WDH
0,288,347,474,1610,WDH
0,288,692,199,1610,WDH
0,288,692,437,1610,WDH
0,355,1018,561,1610,DWH
0,293,1018,199,1610,DWH
0,372,742,0,1610,WDH
0,386,345,0,1610,WDH
0,113,692,675,1610,WDH
0,28,347,712,1610,WDH
0,28,0,701,1610,WDH
0,102,1076,0,1610,DWH
0,247,482,494,1848,WDH
0,107,1012,223,1848,DWH
0,85,298,9,1848,WDH
0,51,0,9,1848,WDH
0,134,939,500,1848,DWH
0,247,0,165,1848,WDH
0,268,0,511,1848,WDH
0,257,482,213,1848,WDH
0,21,593,0,1851,DWH
0,97,759,0,1851,WDH
0,118,1097,0,1848,DWH
0,431,0,486,1971,WDH
0,30,0,225,1971,WDH
0,30,451,579,1971,WDH
0,79,836,631,1971,WDH
0,79,0,16,1971,WDH
0,130,451,226,1972,WDH
0,13,298,9,1974,WDH
0,149,905,219,1974,DWH
0,99,560,9,1983,WDH
0,12,905,18,1992,WDH
0,254,218,245,2049,WDH
0,79,551,631,2046,WDH
0,88,0,557,2049,DWH
0,132,0,0,2049,WDH
0,110,836,631,2049,WDH
0,110,218,618,2049,WDH
0,110,0,241,2049,DWH
0,195,905,219,2068,DWH
0,83,569,7,2088,WDH
0,12,918,0,2092,WDH
0,254,218,245,2114,WDH
1,23,222,644,0,WDH
1,23,1013,614,0,WDH
1,23,0,644,0,WDH
1,463,483,592,0,WDH
1,50,1013,311,0,DWH
1,404,483,0,0,WDH
1,69,962,0,0,DWH
1,224,0,322,0,WDH
1,257,483,311,0,WDH
1,224,0,0,0,WDH
1,201,8,236,127,WDH
1,201,20,0,127,WDH
1,472,588,648,127,WDH
1,472,914,648,127,WDH
1,230,576,230,127,WDH
1,230,908,230,127,WDH
1,230,908,0,127,WDH
1,230,576,0,127,WDH
1,215,266,236,127,WDH
1,215,130,460,127,WDH
1,363,278,0,127,WDH
1,292,66,681,127,WDH
1,165,440,460,127,WDH
1,165,840,460,127,WDH
1,65,8,440,127,DWH
1,102,462,648,127,DWH
1,42,931,0,387,WDH
1,7,576,0,387,WDH
1,284,0,0,387,DWH
1,284,752,582,387,WDH
1,448,266,236,387,WDH
1,448,752,236,387,WDH
1,121,386,582,388,WDH
1,90,0,683,388,WDH
1,129,266,38,389,WDH
1,3,0,437,403,DWH
1,90,0,680,461,WDH
1,80,275,22,498,WDH
1,91,948,11,498,WDH
1,452,340,589,498,WDH
1,183,8,74,498,DWH
1,452,790,589,498,WDH
1,373,703,236,503,WDH
1,373,266,236,503,WDH
1,19,528,13,503,WDH
1,75,0,437,519,WDH
1,12,0,639,534,WDH
1,257,266,236,635,WDH
1,321,796,236,635,WDH
1,321,266,517,635,WDH
1,401,0,0,635,DWH
1,341,796,553,635,WDH
1,41,0,467,635,DWH
1,7,885,0,635,WDH
1,74,543,0,640,WDH
1,80,262,0,637,WDH
1,128,745,630,761,WDH
1,128,515,630,761,WDH
1,21,309,630,761,WDH
1,71,975,630,761,WDH
1,96,4,0,761,DWH
1,460,799,0,761,WDH
1,274,774,325,761,WDH
1,44,533,0,761,DWH
1,274,308,325,761,WDH
1,327,14,325,761,DWH
1,48,270,0,776,WDH
1,72,687,292,900,WDH
1,72,687,18,900,WDH
1,72,687,566,900,WDH
1,254,0,94,900,WDH
1,254,0,467,900,WDH
1,354,0,319,967,WDH
1,354,445,0,967,WDH
1,87,697,644,967,WDH
1,87,471,644,967,WDH
1,87,309,599,967,DWH
1,19,0,599,967,WDH
