bin,item,x,y,z,orientation
0,36,462,0,0,WDH
0,36,0,0,0,WDH
0,36,0,275,0,WDH
0,33,462,275,0,WDH
0,33,0,550,0,WDH
0,63,784,550,0,WDH
0,20,924,0,0,DWH
0,53,431,550,0,WDH
0,8,924,328,0,WDH
0,13,629,28,158,WDH
0,13,350,183,158,WDH
0,26,0,352,158,WDH
0,13,629,493,158,WDH
0,13,671,685,158,WDH
0,13,350,338,158,WDH
0,43,0,588,158,WDH
0,13,629,338,158,WDH
0,13,0,42,158,WDH
0,13,350,28,158,WDH
0,13,0,197,158,WDH
0,29,350,648,158,WDH
0,13,629,183,158,WDH
0,13,350,493,158,WDH
0,34,950,0,158,DWH
0,42,962,398,158,DWH
0,1,950,477,288,DWH
0,3,908,28,292,DWH
0,3,919,0,352,DWH
0,52,0,78,378,WDH
0,52,452,586,378,WDH
0,52,0,586,378,WDH
0,52,0,332,378,WDH
0,55,904,437,378,DWH
0,52,452,332,378,WDH
0,55,452,61,378,WDH
0,65,855,20,412,WDH
0,1,0,495,552,WDH
0,47,452,332,552,DWH
0,47,0,0,552,DWH
0,1,367,0,557,WDH
0,47,819,332,557,DWH
0,7,962,0,559,WDH
0,17,747,0,559,WDH
0,17,747,165,559,WDH
0,25,273,0,643,WDH
0,25,345,332,643,WDH
0,14,23,0,643,DWH
0,25,43,332,643,DWH
0,4,512,634,643,WDH
0,19,853,539,648,WDH
0,5,924,327,657,WDH
0,5,747,0,657,DWH
0,12,1018,12,662,DWH
0,61,24,556,779,WDH
0,31,39,332,779,WDH
0,31,442,603,779,WDH
0,55,416,332,779,WDH
0,55,344,0,779,WDH
0,22,2,30,788,WDH
0,22,898,17,788,WDH
0,59,865,258,788,WDH
0,9,747,0,788,DWH
0,57,819,546,789,WDH
0,1,877,554,934,WDH
0,12,432,0,963,WDH
0,12,550,569,963,WDH
0,32,353,258,963,WDH
0,32,33,271,963,DWH
0,9,764,17,945,DWH
0,1,877,268,973,WDH
0,6,346,569,963,DWH
0,1,877,554,1016,WDH
0,51,0,0,976,WDH
0,12,925,0,976,WDH
0,1,877,268,1055,WDH
0,32,346,258,1085,WDH
0,32,0,328,1085,DWH
0,57,860,559,1102,WDH
0,51,366,0,1084,WDH
0,3,0,7,1141,WDH
0,39,732,5,1102,WDH
0,57,860,278,1141,WDH
0,23,560,581,1084,WDH
0,39,0,323,1207,WDH
0,39,369,323,1207,WDH
0,60,0,575,1207,WDH
0,15,16,0,1207,WDH
0,39,860,559,1247,WDH
0,11,369,32,1249,DWH
0,10,432,581,1117,DWH
0,39,732,5,1268,WDH
0,39,871,307,1286,WDH
0,10,169,191,1207,WDH
0,41,555,30,1249,DWH
0,2,304,323,1373,WDH
0,2,0,323,1373,WDH
0,2,0,534,1375,WDH
0,27,560,581,1335,WDH
0,16,0,0,1387,WDH
0,27,304,534,1376,DWH
0,21,886,622,1413,WDH
0,61,720,30,1434,WDH
0,39,871,370,1452,WDH
0,49,372,14,1413,DWH
0,38,0,262,1509,WDH
0,28,336,324,1509,WDH
0,38,0,504,1509,DWH
0,58,520,534,1530,WDH
0,41,555,14,1509,DWH
0,44,0,0,1560,WDH
0,50,304,534,1571,DWH
0,21,720,14,1614,WDH
0,21,871,622,1614,WDH
0,40,879,232,1618,DWH
0,41,1074,320,1618,DWH
0,35,336,38,1688,DWH
0,38,0,504,1755,DWH
0,38,0,262,1755,WDH
0,56,336,324,1758,WDH
0,58,536,593,1766,WDH
0,58,289,505,1777,DWH
0,40,693,37,1815,WDH
0,18,877,613,1815,WDH
0,30,840,232,1825,DWH
0,24,44,3,1791,WDH
0,41,1074,320,1878,DWH
1,64,292,0,0,WDH
1,64,0,0,0,WDH
1,45,292,217,0,WDH
1,64,0,217,0,WDH
1,46,604,444,0,WDH
1,45,0,434,0,WDH
1,46,312,434,0,WDH
1,46,604,217,0,WDH
1,37,849,233,0,WDH
1,37,849,14,0,WDH
1,37,849,452,0,WDH
1,56,145,661,0,WDH
1,48,901,671,0,WDH
1,48,562,671,0,WDH
1,54,613,23,0,WDH
1,62,201,665,227,WDH
1,56,1064,0,266,DWH
1,18,878,451,266,WDH
1,62,889,0,266,DWH
1,48,901,671,271,WDH
1,48,562,671,271,WDH
1,30,362,0,292,DWH
1,18,0,0,292,WDH
1,18,0,220,292,DWH
