bin,item,x,y,z,orientation
0,477,0,0,0,WDH
0,477,0,216,0,WDH
0,663,0,432,0,WDH
0,630,1008,332,0,DWH
0,474,0,665,0,WDH
0,630,1008,0,0,DWH
0,630,632,216,0,WDH
0,663,338,216,0,WDH
0,630,676,0,0,WDH
0,630,338,449,0,WDH
0,630,338,642,0,WDH
0,630,670,642,0,WDH
0,630,670,449,0,WDH
0,477,338,0,0,WDH
0,177,1008,664,0,WDH
0,80,30,506,258,WDH
0,194,12,692,258,WDH
0,473,898,406,258,WDH
0,673,562,420,258,WDH
0,473,898,623,258,WDH
0,673,226,630,258,WDH
0,673,904,196,258,WDH
0,673,562,630,258,WDH
0,673,562,210,258,WDH
0,561,627,11,258,WDH
0,584,902,4,258,WDH
0,611,295,16,258,WDH
0,561,24,239,258,WDH
0,584,224,438,258,WDH
0,611,295,227,258,WDH
0,561,24,40,258,WDH
0,280,0,0,533,WDH
0,237,903,1,533,WDH
0,173,13,527,533,DWH
0,598,860,501,533,WDH
0,484,207,282,533,WDH
0,652,580,170,533,WDH
0,484,207,561,533,WDH
0,652,557,509,533,WDH
0,684,883,220,533,WDH
0,120,343,2,533,DWH
0,173,13,214,533,DWH
0,101,560,2,533,WDH
0,118,29,2,596,WDH
0,420,1048,57,691,DWH
0,588,714,356,691,WDH
0,294,1110,612,691,DWH
0,513,0,278,691,WDH
0,525,346,318,691,WDH
0,623,714,75,691,WDH
0,525,346,579,691,WDH
0,513,0,559,691,WDH
0,294,1110,384,691,DWH
0,588,714,598,691,WDH
0,525,346,57,691,WDH
0,515,0,16,698,WDH
0,671,0,582,852,WDH
0,671,479,582,852,WDH
0,70,768,16,852,WDH
0,496,292,16,852,WDH
0,537,474,278,852,WDH
0,47,948,278,852,DWH
0,115,958,582,852,WDH
0,537,0,278,852,WDH
0,115,0,0,861,WDH
0,539,468,326,980,WDH
0,539,82,326,980,WDH
0,281,569,652,980,WDH
0,53,69,652,980,WDH
0,230,314,652,980,WDH
0,230,286,0,980,DWH
0,539,854,326,980,WDH
0,539,468,0,980,WDH
0,425,885,652,980,WDH
0,539,854,0,980,WDH
0,287,1,0,981,DWH
0,310,293,652,1103,WDH
0,310,17,652,1103,WDH
0,71,447,360,1103,WDH
0,416,802,360,1103,WDH
0,152,92,360,1103,WDH
0,507,837,0,1103,WDH
0,507,434,0,1103,WDH
0,85,907,681,1108,WDH
0,620,5,9,1108,WDH
0,310,569,652,1108,WDH
0,676,0,570,1196,WDH
0,493,741,35,1196,WDH
0,493,382,35,1196,WDH
0,362,362,585,1196,DWH
0,493,724,305,1196,WDH
0,632,0,48,1196,WDH
0,41,1100,70,1196,DWH
0,676,0,300,1196,WDH
0,676,362,300,1196,WDH
0,315,1083,308,1196,DWH
0,627,845,584,1196,WDH
0,468,566,592,1199,WDH
0,415,573,584,1316,WDH
0,334,875,598,1402,WDH
0,497,773,0,1402,WDH
0,497,773,299,1402,WDH
0,670,351,307,1402,WDH
0,543,341,0,1402,WDH
0,270,423,618,1402,WDH
0,625,33,431,1402,DWH
0,636,56,0,1402,DWH
0,672,334,634,1542,WDH
0,672,752,250,1542,WDH
0,662,0,250,1542,WDH
0,662,376,442,1542,WDH
0,672,682,0,1542,WDH
0,662,306,0,1542,WDH
0,672,0,634,1542,WDH
0,662,0,442,1542,WDH
0,662,376,250,1542,WDH
0,285,1086,250,1542,DWH
0,566,752,452,1542,WDH
0,338,1059,452,1542,DWH
0,113,752,660,1542,WDH
0,505,0,0,1542,WDH
0,176,1016,0,1542,DWH
0,136,1092,736,1542,WDH
0,193,735,9,1786,WDH
0,432,846,513,1786,DWH
0,279,0,158,1786,WDH
0,193,855,275,1786,DWH
0,74,423,200,1786,WDH
0,447,423,8,1786,WDH
0,279,0,499,1786,WDH
0,279,423,499,1786,WDH
0,193,1046,275,1789,DWH
0,9,959,9,1789,WDH
0,258,1055,513,1789,DWH
0,106,129,1,1786,WDH
0,680,0,158,1867,WDH
0,164,455,604,1867,WDH
0,557,455,158,1867,DWH
0,535,0,559,1867,WDH
0,667,846,513,1867,WDH
0,112,423,1,1867,WDH
0,468,959,9,1867,WDH
0,265,735,336,1868,WDH
0,414,735,9,1868,DWH
0,103,1040,258,1871,DWH
0,106,129,1,1884,WDH
0,103,1040,258,1941,DWH
0,485,0,382,1984,WDH
0,485,469,0,1984,WDH
0,541,469,309,1984,WDH
0,491,0,0,1984,WDH
0,458,846,513,1984,WDH
0,218,921,0,1984,WDH
0,339,846,309,1984,WDH
0,234,628,691,1984,WDH
0,37,314,691,1984,WDH
0,37,0,691,1984,WDH
0,39,1041,250,2011,DWH
0,225,439,159,2102,WDH
0,225,808,519,2102,WDH
0,507,0,480,2102,WDH
0,330,0,4,2102,WDH
0,350,921,27,2102,WDH
0,388,0,171,2102,WDH
0,225,403,519,2102,WDH
0,193,850,280,2102,DWH
0,39,1044,250,2104,DWH
0,106,627,0,2102,WDH
1,488,471,593,0,WDH
1,518,817,0,0,WDH
1,25,871,593,0,WDH
1,677,0,593,0,WDH
1,625,431,0,0,WDH
1,636,0,0,0,WDH
1,625,0,285,0,WDH
1,518,827,308,0,WDH
1,518,431,308,0,WDH
1,586,192,64,138,WDH
1,423,51,0,138,DWH
1,586,192,325,138,WDH
1,530,166,586,138,WDH
1,530,521,83,138,WDH
1,530,893,100,138,WDH
1,553,8,211,138,DWH
1,530,521,337,138,WDH
1,610,885,591,138,WDH
1,504,513,603,138,WDH
1,504,868,354,138,WDH
1,268,14,587,138,DWH
1,321,0,222,365,WDH
1,445,0,14,365,WDH
1,321,0,531,365,WDH
1,51,410,267,365,WDH
1,219,765,585,365,WDH
1,152,410,552,365,WDH
1,219,765,330,365,WDH
1,219,410,12,365,WDH
1,445,798,59,365,WDH
1,493,522,575,461,WDH
1,493,881,310,461,WDH
1,687,472,36,461,WDH
1,493,881,575,461,WDH
1,674,178,27,461,WDH
1,522,764,38,461,WDH
1,411,3,2,461,DWH
1,10,13,236,461,DWH
1,674,178,301,461,WDH
1,522,471,346,461,WDH
1,217,6,592,461,DWH
1,627,201,592,461,WDH
1,669,478,0,667,WDH
1,648,140,0,667,WDH
1,628,822,226,667,WDH
1,628,822,0,667,WDH
1,105,943,692,667,WDH
1,105,646,692,667,WDH
1,331,14,0,667,DWH
