bin,item,x,y,z,orientation
0,36,948,566,0,WDH
0,84,762,0,0,WDH
0,84,762,283,0,WDH
0,84,0,283,0,WDH
0,84,381,283,0,WDH
0,84,0,0,0,WDH
0,45,0,566,0,WDH
0,84,381,0,0,WDH
0,45,316,566,0,WDH
0,45,632,566,0,WDH
0,81,870,0,164,WDH
0,33,559,580,164,WDH
0,33,189,313,164,WDH
0,33,197,0,164,WDH
0,12,916,585,164,WDH
0,33,256,580,164,WDH
0,85,500,0,164,WDH
0,86,862,313,164,WDH
0,85,492,313,164,WDH
0,56,3,313,164,DWH
0,56,11,0,164,DWH
0,22,0,656,164,WDH
0,35,588,636,331,WDH
0,62,197,554,331,WDH
0,62,197,0,331,WDH
0,62,197,277,331,WDH
0,69,588,0,331,DWH
0,69,588,318,331,DWH
0,20,862,26,332,WDH
0,35,0,273,335,DWH
0,35,0,0,335,DWH
0,35,0,546,335,DWH
0,10,862,313,335,WDH
0,69,862,563,337,WDH
0,26,571,197,417,WDH
0,63,571,476,417,DWH
0,63,194,24,417,WDH
0,43,194,297,417,WDH
0,43,194,558,417,WDH
0,68,893,36,417,WDH
0,68,893,256,417,WDH
0,47,571,9,417,WDH
0,30,0,88,420,DWH
0,47,0,591,420,DWH
0,47,0,342,420,DWH
0,20,891,553,423,WDH
0,1,893,476,498,DWH
0,13,876,0,534,WDH
0,5,226,450,534,WDH
0,5,226,225,534,WDH
0,5,903,241,534,WDH
0,66,563,0,534,WDH
0,5,226,0,534,WDH
0,66,563,550,534,WDH
0,66,563,275,534,WDH
0,38,343,675,534,WDH
0,68,0,502,537,DWH
0,40,0,0,538,DWH
0,54,0,323,538,WDH
0,69,876,507,567,DWH
0,2,280,473,660,WDH
0,72,858,312,660,WDH
0,72,594,458,660,DWH
0,72,858,576,660,WDH
0,41,310,7,660,WDH
0,53,564,17,660,WDH
0,76,244,161,660,WDH
0,76,551,161,660,WDH
0,17,28,502,660,WDH
0,24,858,84,665,WDH
0,73,0,178,665,DWH
0,42,28,675,660,WDH
0,48,291,675,661,WDH
0,71,22,10,665,WDH
0,4,0,0,798,WDH
0,1,879,92,835,WDH
0,35,50,161,841,DWH
0,55,244,229,853,WDH
0,54,594,209,853,WDH
0,55,594,382,853,WDH
0,55,594,611,853,WDH
0,46,917,334,853,WDH
0,58,244,23,853,WDH
0,46,917,587,853,WDH
0,44,40,475,861,WDH
0,44,571,9,861,WDH
0,69,321,522,869,DWH
0,69,869,61,904,WDH
0,19,0,705,866,WDH
0,4,25,2,898,WDH
0,44,40,235,926,DWH
0,15,22,502,955,WDH
0,15,553,36,955,WDH
0,3,285,466,955,DWH
0,15,295,36,972,WDH
0,16,869,334,981,WDH
0,39,946,611,981,WDH
0,50,244,229,981,WDH
0,11,594,611,981,WDH
0,50,613,229,981,DWH
0,77,869,28,990,WDH
0,71,0,0,1002,WDH
0,15,22,244,1020,DWH
0,3,285,466,1055,DWH
0,52,22,675,1002,WDH
0,58,553,3,1056,WDH
0,38,60,514,1056,WDH
0,39,274,3,1073,WDH
0,88,742,334,1123,WDH
0,23,8,264,1123,WDH
0,90,285,466,1155,WDH
0,38,578,246,1116,DWH
0,34,285,228,1116,WDH
0,22,0,0,1137,WDH
0,84,857,3,1137,WDH
0,38,60,675,1155,WDH
0,88,745,440,1221,WDH
0,38,637,48,1175,WDH
0,18,8,514,1183,WDH
0,40,0,184,1203,DWH
0,40,285,18,1215,WDH
0,82,479,355,1256,DWH
0,38,259,459,1256,WDH
0,38,259,298,1256,WDH
0,38,318,620,1256,DWH
0,40,917,0,1300,WDH
0,8,637,48,1302,WDH
0,8,745,440,1319,WDH
0,21,750,299,1221,WDH
0,21,995,299,1221,WDH
0,64,1011,440,1319,DWH
0,18,33,675,1282,WDH
0,22,0,0,1300,WDH
0,18,745,681,1319,WDH
0,24,27,217,1328,DWH
0,70,65,514,1348,WDH
0,89,303,48,1348,WDH
0,70,280,702,1383,WDH
0,89,255,312,1383,DWH
0,24,517,543,1400,DWH
0,25,467,318,1400,WDH
0,60,1017,2,1425,DWH
0,78,637,19,1425,WDH
0,28,745,440,1437,WDH
0,28,27,19,1465,WDH
0,60,1017,289,1466,DWH
0,28,1017,576,1466,DWH
0,28,757,638,1484,WDH
0,32,0,649,1447,WDH
0,29,745,289,1465,WDH
0,49,287,19,1526,WDH
0,77,287,214,1570,DWH
0,79,27,217,1498,DWH
0,91,266,596,1570,WDH
0,78,612,19,1606,WDH
0,48,610,289,1570,DWH
0,21,10,505,1526,WDH
0,67,1030,0,1606,DWH
0,9,749,428,1623,WDH
0,51,1017,289,1651,DWH
0,51,0,0,1651,WDH
0,65,1023,591,1652,DWH
0,49,698,645,1670,WDH
0,87,258,0,1717,DWH
0,31,10,646,1674,WDH
0,29,745,289,1688,WDH
0,24,258,362,1717,WDH
0,87,668,0,1787,WDH
0,79,0,213,1734,DWH
0,21,278,595,1756,DWH
0,79,419,621,1756,WDH
0,27,575,289,1787,DWH
0,37,0,492,1770,WDH
0,61,745,428,1791,WDH
0,83,1017,289,1865,DWH
0,14,750,615,1860,WDH
0,61,1045,39,1815,DWH
0,21,13,72,1860,WDH
0,21,995,699,1865,WDH
0,14,330,371,1887,WDH
0,27,275,201,1904,WDH
0,80,275,31,1904,WDH
0,21,0,631,1919,WDH
0,83,684,74,1974,WDH
1,59,0,446,0,WDH
1,59,290,166,0,WDH
1,59,499,166,0,WDH
1,6,0,166,0,WDH
1,6,245,0,0,WDH
1,7,0,0,0,WDH
1,59,0,303,0,WDH
1,59,290,309,0,WDH
1,83,290,452,0,WDH
1,83,708,166,0,WDH
1,74,535,0,0,WDH
1,75,651,452,0,WDH
1,80,290,667,0,WDH
1,80,592,667,0,WDH
1,79,0,589,0,WDH
1,57,1044,452,0,DWH
