bin,item,x,y,z,orientation
0,41,427,276,0,WDH
0,41,427,0,0,WDH
0,41,0,0,0,WDH
0,7,854,263,0,WDH
0,41,0,276,0,WDH
0,7,854,0,0,WDH
0,45,0,552,0,WDH
0,7,834,552,0,WDH
0,45,417,552,0,WDH
0,34,854,558,136,WDH
0,43,854,279,136,WDH
0,43,854,0,136,WDH
0,7,559,289,140,WDH
0,30,6,72,140,WDH
0,7,1,257,140,DWH
0,7,264,26,140,WDH
0,7,264,289,140,WDH
0,7,559,26,140,WDH
0,6,648,559,142,DWH
0,42,0,561,142,WDH
0,42,324,561,142,WDH
0,16,933,396,256,DWH
0,33,885,88,256,WDH
0,23,425,1,276,WDH
0,23,648,271,276,DWH
0,47,0,83,276,WDH
0,18,425,232,276,DWH
0,47,0,322,276,WDH
0,7,58,561,313,WDH
0,7,353,561,313,WDH
0,10,673,559,313,DWH
0,1,929,0,343,DWH
0,28,994,364,343,WDH
0,8,713,1,276,DWH
0,7,879,559,343,WDH
0,33,355,0,435,WDH
0,33,0,0,435,WDH
0,29,0,308,435,WDH
0,9,280,308,435,WDH
0,37,621,308,435,WDH
0,3,881,1,444,WDH
0,37,909,308,444,WDH
0,11,0,616,449,WDH
0,11,338,616,449,WDH
0,30,676,582,444,DWH
0,43,866,561,479,WDH
0,21,749,91,490,DWH
0,26,6,20,522,DWH
0,25,174,77,522,WDH
0,10,1,341,522,WDH
0,32,459,42,522,WDH
0,25,280,308,539,WDH
0,10,565,308,539,WDH
0,17,879,375,548,WDH
0,17,1054,14,548,DWH
0,14,1,547,561,DWH
0,22,413,547,561,DWH
0,22,220,547,561,DWH
0,26,886,96,548,DWH
0,10,660,561,580,DWH
0,42,866,561,599,WDH
0,30,879,375,662,WDH
0,19,0,0,662,WDH
0,19,0,205,662,WDH
0,19,268,0,662,DWH
0,19,473,0,662,WDH
0,4,1066,0,662,DWH
0,4,565,214,670,DWH
0,22,268,268,674,WDH
0,44,83,481,681,DWH
0,44,301,622,681,WDH
0,13,834,88,686,DWH
0,31,660,561,711,DWH
0,20,301,461,681,WDH
0,39,891,621,770,WDH
0,39,198,23,798,WDH
0,39,198,242,798,WDH
0,31,0,0,798,DWH
0,31,834,375,798,WDH
0,38,547,23,798,WDH
0,38,1054,100,817,DWH
0,35,547,197,825,DWH
0,38,779,201,852,WDH
0,15,36,276,798,DWH
0,27,0,674,867,WDH
0,27,0,508,867,WDH
0,35,278,651,867,WDH
0,2,822,52,852,WDH
0,8,655,672,898,WDH
0,5,891,608,946,WDH
0,12,278,465,916,WDH
0,40,184,0,974,WDH
0,46,184,260,974,WDH
0,20,534,0,975,WDH
0,24,779,375,985,WDH
0,24,997,375,985,DWH
0,24,0,0,985,DWH
0,46,574,163,1024,DWH
0,36,1054,120,994,DWH
0,22,85,465,1050,DWH
