bin,item,x,y,z,orientation
0,26,843,0,0,WDH
0,26,570,0,0,WDH
0,60,772,223,0,WDH
0,60,0,223,0,WDH
0,73,0,534,0,WDH
0,60,386,223,0,WDH
0,75,0,0,0,WDH
0,97,866,534,0,WDH
0,56,490,534,0,WDH
0,96,426,567,146,WDH
0,42,852,48,146,DWH
0,42,426,4,146,WDH
0,100,0,1,146,WDH
0,96,0,567,146,WDH
0,96,0,294,146,WDH
0,100,852,445,146,DWH
0,100,426,274,146,WDH
0,80,30,96,306,WDH
0,80,30,592,306,WDH
0,31,424,334,306,WDH
0,80,30,344,306,WDH
0,31,832,587,306,WDH
0,31,424,587,306,WDH
0,34,846,371,309,WDH
0,64,426,4,309,WDH
0,86,846,4,309,DWH
0,38,0,565,486,WDH
0,35,402,584,486,WDH
0,90,0,59,486,WDH
0,35,402,328,486,WDH
0,68,833,563,486,WDH
0,38,0,290,486,WDH
0,63,890,22,509,DWH
0,40,451,22,512,WDH
0,47,880,0,619,DWH
0,16,76,558,644,WDH
0,72,439,0,644,WDH
0,94,485,604,644,WDH
0,97,77,290,644,WDH
0,48,897,502,644,DWH
0,48,554,261,644,WDH
0,24,101,0,647,WDH
0,55,880,20,688,DWH
0,5,22,0,750,WDH
0,91,817,247,783,WDH
0,91,439,247,783,WDH
0,2,439,647,783,WDH
0,61,439,0,783,WDH
0,50,817,650,783,WDH
0,91,439,447,783,WDH
0,52,817,447,783,WDH
0,91,833,0,783,WDH
0,83,22,272,783,WDH
0,98,22,540,783,WDH
0,51,0,0,816,WDH
0,79,429,0,975,WDH
0,81,825,338,975,WDH
0,81,825,0,975,WDH
0,20,102,524,975,WDH
0,79,429,262,975,WDH
0,79,33,0,975,WDH
0,18,973,676,975,WDH
0,79,33,262,975,WDH
0,79,429,524,975,WDH
0,39,412,304,1107,WDH
0,39,412,0,1107,WDH
0,1,889,382,1107,WDH
0,4,412,608,1107,WDH
0,40,889,0,1107,DWH
0,66,0,380,1107,WDH
0,66,0,0,1107,WDH
0,3,885,638,1112,WDH
0,27,246,547,1231,DWH
0,92,412,356,1231,WDH
0,25,803,161,1231,WDH
0,33,412,151,1231,WDH
0,95,0,486,1231,DWH
0,33,0,29,1231,WDH
0,92,0,234,1231,WDH
0,99,737,370,1231,WDH
0,7,412,5,1231,WDH
0,7,648,5,1231,WDH
0,87,885,616,1231,WDH
0,15,1089,363,1231,DWH
0,15,1089,148,1231,DWH
0,23,952,0,1231,WDH
0,9,423,673,1232,WDH
0,26,612,648,1232,WDH
0,6,412,608,1377,WDH
0,6,884,621,1441,WDH
0,71,626,0,1449,DWH
0,45,0,294,1449,WDH
0,45,0,0,1449,WDH
0,13,947,0,1461,DWH
0,24,0,588,1449,WDH
0,9,876,422,1449,WDH
0,19,626,422,1449,WDH
0,9,1065,422,1461,DWH
0,4,338,610,1474,WDH
0,45,0,294,1544,WDH
0,45,0,0,1544,WDH
0,40,934,0,1544,DWH
0,4,811,611,1544,WDH
0,17,656,0,1547,WDH
0,8,0,610,1552,WDH
0,4,646,391,1599,WDH
0,4,392,611,1599,WDH
0,1,314,355,1639,WDH
0,1,314,99,1639,WDH
0,1,43,278,1639,DWH
0,9,1075,382,1605,DWH
0,10,881,61,1668,WDH
0,22,43,31,1639,WDH
0,26,691,61,1651,DWH
0,41,646,391,1724,DWH
0,26,0,610,1675,WDH
0,2,1069,571,1669,DWH
0,55,0,281,1762,WDH
0,54,882,0,1768,DWH
0,11,314,611,1724,WDH
0,41,620,453,1805,WDH
0,17,0,0,1784,WDH
0,67,308,31,1762,WDH
0,55,138,282,1857,WDH
0,62,632,46,1805,DWH
0,63,927,0,1886,DWH
0,26,0,650,1820,WDH
