bin,item,x,y,z,orientation
0,53,462,541,0,WDH
0,53,462,262,0,WDH
0,55,0,571,0,WDH
0,68,0,309,0,WDH
0,68,462,0,0,WDH
0,47,0,0,0,WDH
0,59,910,0,0,DWH
0,17,910,573,0,WDH
0,17,910,342,0,WDH
0,38,0,0,133,WDH
0,24,357,0,133,WDH
0,24,664,0,133,WDH
0,51,872,478,133,WDH
0,51,872,649,133,WDH
0,49,872,262,133,WDH
0,38,0,243,133,WDH
0,14,715,236,139,DWH
0,14,715,507,139,DWH
0,45,0,486,139,WDH
0,56,357,521,139,WDH
0,56,357,236,139,WDH
0,12,971,0,133,WDH
0,12,971,0,235,WDH
0,40,387,8,333,WDH
0,40,387,281,333,WDH
0,43,803,268,333,WDH
0,43,803,554,333,WDH
0,8,1,504,333,WDH
0,43,366,554,333,WDH
0,40,114,8,335,DWH
0,36,803,31,337,WDH
0,61,861,263,481,WDH
0,61,861,0,481,WDH
0,29,89,245,481,WDH
0,29,475,0,481,WDH
0,29,854,526,481,WDH
0,29,468,526,481,WDH
0,29,475,245,481,WDH
0,29,89,0,481,WDH
0,22,1,504,482,WDH
0,22,0,549,579,WDH
0,36,75,75,657,WDH
0,36,75,312,657,WDH
0,35,606,398,657,DWH
0,21,491,4,657,WDH
0,40,824,567,657,WDH
0,54,869,288,657,WDH
0,36,873,51,657,WDH
0,36,457,161,657,WDH
0,64,0,549,676,WDH
0,11,457,603,657,DWH
0,11,457,398,657,DWH
0,60,836,0,802,WDH
0,60,836,567,802,WDH
0,41,87,312,802,WDH
0,41,65,4,802,WDH
0,44,58,617,802,WDH
0,58,420,4,802,WDH
0,36,836,247,808,WDH
0,36,592,398,808,DWH
0,2,442,604,819,DWH
0,2,442,371,819,DWH
0,13,354,377,958,WDH
0,13,663,138,958,WDH
0,13,22,377,958,WDH
0,13,331,138,958,WDH
0,10,775,13,958,WDH
0,10,1020,84,958,WDH
0,10,555,13,958,WDH
0,29,995,209,958,DWH
0,29,854,595,958,WDH
0,42,686,356,958,WDH
0,13,522,622,958,WDH
0,39,0,0,958,DWH
0,11,289,0,958,WDH
0,17,201,609,962,WDH
0,20,6,628,962,DWH
0,20,6,609,1071,DWH
0,23,372,311,1123,DWH
0,23,372,0,1123,WDH
0,6,0,0,1123,WDH
0,6,0,303,1123,WDH
0,30,814,0,1133,WDH
0,9,916,315,1133,WDH
0,4,683,365,1133,DWH
0,21,521,683,1123,WDH
0,8,916,608,1133,WDH
0,15,213,606,1091,DWH
0,27,358,0,1235,WDH
0,9,359,311,1235,WDH
0,27,55,0,1235,DWH
0,48,821,22,1249,WDH
0,3,915,319,1254,WDH
0,37,488,609,1268,WDH
0,37,854,609,1282,WDH
0,18,7,456,1235,WDH
0,5,43,614,1180,DWH
0,14,767,319,1268,DWH
0,23,409,279,1362,WDH
0,1,407,21,1362,WDH
0,62,0,237,1362,WDH
0,36,0,0,1362,WDH
0,27,784,0,1375,WDH
0,8,917,303,1377,WDH
0,60,409,590,1415,WDH
0,36,813,590,1429,WDH
0,15,250,609,1326,DWH
0,39,407,21,1475,WDH
0,60,407,310,1475,WDH
0,60,784,56,1506,WDH
0,15,22,609,1435,WDH
0,33,78,21,1506,WDH
0,16,104,223,1514,WDH
0,7,250,562,1571,WDH
0,69,904,303,1526,WDH
0,15,22,450,1455,WDH
0,32,950,602,1573,WDH
0,31,649,562,1573,WDH
0,67,407,290,1638,WDH
0,67,407,21,1638,WDH
0,34,22,266,1662,WDH
0,50,972,94,1662,WDH
0,66,715,84,1662,WDH
0,31,348,562,1670,WDH
0,28,22,609,1670,WDH
0,19,715,356,1638,DWH
0,52,125,11,1693,WDH
0,57,1038,327,1739,DWH
0,57,675,638,1762,WDH
0,50,950,602,1783,WDH
0,56,407,11,1874,DWH
0,50,407,644,1859,WDH
0,50,407,369,1874,WDH
0,50,972,131,1899,WDH
0,50,704,131,1899,WDH
0,50,125,223,1900,WDH
1,63,315,434,0,WDH
1,63,630,0,0,WDH
1,63,630,202,0,WDH
1,28,0,217,0,WDH
1,63,315,636,0,WDH
1,28,315,0,0,WDH
1,28,0,0,0,WDH
1,28,315,217,0,WDH
1,28,0,434,0,WDH
1,25,593,434,0,WDH
1,65,593,633,0,WDH
1,65,0,651,0,WDH
1,46,908,0,0,WDH
1,26,908,192,0,WDH
