bin,item,x,y,z,orientation
0,292,616,402,0,WDH
0,292,616,0,0,WDH
0,292,0,0,0,WDH
0,292,0,402,0,WDH
0,218,528,436,79,WDH
0,218,172,436,79,WDH
0,218,884,32,79,WDH
0,218,884,436,79,WDH
0,218,528,32,79,WDH
0,218,884,234,79,WDH
0,218,172,638,79,WDH
0,218,528,638,79,WDH
0,218,528,234,79,WDH
0,218,884,638,79,WDH
0,373,246,202,79,WDH
0,373,12,154,79,DWH
0,177,21,482,79,DWH
0,233,285,13,79,WDH
0,108,0,0,79,WDH
0,102,6,13,243,WDH
0,443,772,297,358,WDH
0,15,316,0,358,WDH
0,443,772,0,358,WDH
0,275,783,594,358,WDH
0,275,538,0,358,DWH
0,174,183,436,358,DWH
0,246,534,457,358,DWH
0,224,132,147,359,WDH
0,102,8,147,359,DWH
0,66,4,436,365,DWH
0,112,83,8,373,WDH
0,19,0,663,365,WDH
0,193,804,0,493,WDH
0,116,5,436,493,DWH
0,353,818,311,493,WDH
0,297,48,147,493,WDH
0,262,848,630,493,WDH
0,365,546,0,493,DWH
0,430,183,436,496,DWH
0,430,463,436,497,DWH
0,62,9,720,474,WDH
0,112,48,8,512,WDH
0,96,353,12,496,WDH
0,26,38,147,642,WDH
0,13,7,421,642,WDH
0,220,254,421,642,WDH
0,220,841,0,642,DWH
0,101,538,12,645,DWH
0,101,841,550,645,WDH
0,13,0,631,645,WDH
0,112,0,0,651,WDH
0,300,625,0,731,WDH
0,411,789,301,731,WDH
0,82,549,641,731,WDH
0,65,854,639,731,WDH
0,148,541,301,731,DWH
0,49,268,403,731,DWH
0,137,3,403,731,WDH
0,49,268,53,732,DWH
0,91,3,191,732,WDH
0,137,0,622,732,WDH
0,80,0,0,790,WDH
0,465,518,293,835,WDH
0,117,294,586,835,DWH
0,465,518,0,835,WDH
0,465,879,293,835,WDH
0,312,251,0,835,DWH
0,350,434,586,835,WDH
0,319,833,586,835,WDH
0,6,272,386,835,WDH
0,465,879,0,835,WDH
0,13,0,413,860,WDH
0,72,0,622,861,WDH
0,100,65,160,861,DWH
0,12,13,622,947,WDH
0,141,7,413,947,WDH
0,466,480,0,1030,WDH
0,356,960,422,1030,DWH
0,466,480,402,1030,WDH
0,118,247,413,1030,WDH
0,46,294,586,1030,DWH
0,466,0,0,1030,WDH
0,359,960,0,1030,DWH
0,75,23,446,1042,WDH
0,54,15,630,1042,WDH
0,332,420,224,1193,WDH
0,332,420,532,1193,WDH
0,88,420,7,1193,WDH
0,385,0,260,1193,WDH
0,385,0,550,1193,WDH
0,359,805,276,1193,WDH
0,377,805,545,1193,WDH
0,359,805,7,1193,WDH
0,368,0,14,1193,WDH
0,211,0,527,1349,WDH
0,463,830,560,1349,WDH
0,240,413,545,1349,WDH
