bin,item,x,y,z,orientation
0,50,341,615,0,WDH
0,63,318,205,0,WDH
0,50,579,615,0,WDH
0,50,659,410,0,WDH
0,63,0,410,0,WDH
0,63,0,0,0,WDH
0,86,0,615,0,WDH
0,63,0,205,0,WDH
0,56,927,302,0,WDH
0,86,318,410,0,WDH
0,63,318,0,0,WDH
0,56,927,0,0,WDH
0,56,927,151,0,WDH
0,58,636,197,0,WDH
0,58,636,0,0,WDH
0,10,927,679,0,WDH
0,65,927,453,0,WDH
0,81,0,283,227,WDH
0,70,762,0,227,WDH
0,70,762,198,227,WDH
0,81,0,0,227,WDH
0,77,401,512,227,WDH
0,77,0,566,227,WDH
0,77,401,256,227,WDH
0,77,401,0,227,WDH
0,68,846,396,237,WDH
0,20,852,655,238,WDH
0,85,39,30,399,DWH
0,5,50,400,399,WDH
0,5,250,400,399,WDH
0,66,450,408,399,DWH
0,85,84,549,399,WDH
0,66,808,482,399,WDH
0,66,330,38,399,WDH
0,83,849,207,402,WDH
0,8,767,5,402,DWH
0,37,930,28,402,WDH
0,85,0,0,516,DWH
0,85,50,549,516,WDH
0,3,291,306,519,WDH
0,3,416,549,519,WDH
0,47,762,549,519,WDH
0,38,291,0,519,WDH
0,21,912,323,538,WDH
0,47,983,0,538,DWH
0,43,637,306,519,DWH
0,43,0,366,519,WDH
0,45,694,0,539,WDH
0,9,1085,549,519,DWH
0,33,416,579,608,WDH
0,33,291,27,608,WDH
0,33,291,288,608,WDH
0,33,727,579,609,WDH
0,11,65,594,633,WDH
0,41,988,19,633,WDH
0,67,866,228,633,WDH
0,28,39,24,633,DWH
0,36,0,366,649,WDH
0,36,602,288,649,DWH
0,54,602,27,649,WDH
0,1,426,534,701,WDH
0,35,317,236,701,WDH
0,45,313,24,701,WDH
0,29,1039,551,658,DWH
0,52,765,551,702,WDH
0,16,7,24,767,WDH
0,83,849,0,767,WDH
0,83,849,275,767,WDH
0,8,609,288,767,DWH
0,9,272,534,767,DWH
0,9,118,534,767,DWH
0,9,695,0,767,DWH
0,37,3,296,767,WDH
0,16,733,551,767,WDH
0,33,466,529,804,DWH
0,21,313,24,808,WDH
0,35,313,246,808,WDH
0,36,1070,613,808,DWH
0,25,336,68,906,WDH
0,25,8,347,906,WDH
0,25,323,662,906,WDH
0,31,969,324,906,WDH
0,31,969,98,906,WDH
0,31,698,324,906,WDH
0,87,628,562,906,WDH
0,25,145,535,906,DWH
0,25,664,146,906,WDH
0,25,8,169,906,WDH
0,2,695,0,906,WDH
0,9,0,0,906,WDH
0,68,323,328,915,DWH
0,42,1086,550,925,DWH
0,23,87,506,1062,WDH
0,23,326,662,1062,WDH
0,23,581,658,1062,WDH
0,23,87,328,1062,WDH
0,23,817,658,1062,WDH
0,82,245,68,1062,WDH
0,78,866,0,1062,DWH
0,78,1053,0,1062,DWH
0,78,582,471,1062,WDH
0,70,668,53,1062,DWH
0,73,329,328,1072,DWH
0,5,8,20,1045,WDH
0,25,1053,531,1101,DWH
0,36,0,0,1163,WDH
0,7,0,170,1062,WDH
0,7,87,684,1062,WDH
0,49,642,0,1237,DWH
0,39,709,392,1262,DWH
0,39,1059,588,1262,DWH
0,32,326,68,1262,WDH
0,32,456,253,1262,DWH
0,44,890,196,1262,WDH
0,44,890,0,1262,WDH
0,44,890,392,1262,WDH
0,24,242,253,1266,DWH
0,8,896,588,1266,DWH
0,8,478,568,1266,DWH
0,8,688,639,1266,WDH
0,39,61,350,1266,DWH
0,36,299,613,1266,DWH
0,2,0,25,1280,WDH
0,36,15,180,1348,WDH
0,36,72,670,1348,WDH
0,62,698,15,1355,DWH
0,21,326,68,1429,WDH
0,79,698,392,1429,WDH
0,49,890,168,1429,WDH
0,15,456,293,1429,DWH
0,12,280,293,1403,DWH
0,15,15,350,1433,DWH
0,53,15,9,1429,WDH
0,39,456,568,1403,DWH
0,22,890,18,1429,WDH
0,24,335,79,1528,WDH
0,84,983,419,1528,DWH
0,84,726,419,1528,DWH
0,32,679,79,1528,DWH
0,32,238,350,1528,DWH
0,71,0,669,1465,WDH
0,49,917,195,1547,WDH
0,29,425,368,1551,WDH
0,34,15,192,1465,WDH
0,26,0,358,1555,DWH
0,6,471,568,1577,DWH
0,12,885,19,1598,WDH
0,48,0,0,1577,WDH
0,80,335,45,1662,WDH
0,51,960,551,1662,DWH
0,51,679,617,1662,WDH
0,48,679,427,1662,WDH
0,12,885,195,1665,WDH
0,40,960,372,1665,WDH
0,15,651,45,1691,DWH
0,4,217,423,1691,DWH
0,71,0,669,1699,WDH
0,64,428,336,1699,WDH
0,4,21,423,1733,DWH
0,71,928,0,1717,WDH
0,14,0,190,1674,WDH
0,32,0,0,1761,WDH
0,74,418,568,1750,WDH
0,40,960,193,1784,WDH
0,18,651,45,1813,WDH
0,74,335,25,1853,WDH
0,76,679,618,1853,WDH
0,74,679,350,1853,WDH
0,55,1032,596,1853,DWH
