bin,item,x,y,z,orientation
0,7,0,0,0,WDH
0,38,347,215,0,WDH
0,40,925,286,0,WDH
0,40,925,9,0,WDH
0,40,925,563,0,WDH
0,40,610,563,0,WDH
0,40,610,9,0,WDH
0,8,45,691,0,WDH
0,40,295,563,0,WDH
0,8,97,242,0,WDH
0,40,610,286,0,WDH
0,46,223,391,0,WDH
0,38,347,39,0,WDH
0,39,45,453,0,DWH
0,27,48,0,66,WDH
0,12,13,412,89,DWH
0,25,660,285,199,DWH
0,24,298,563,199,WDH
0,1,880,548,199,WDH
0,23,635,678,199,WDH
0,23,635,519,199,WDH
0,9,842,274,199,WDH
0,9,842,0,199,WDH
0,28,638,0,199,DWH
0,23,140,215,202,WDH
0,15,356,330,204,WDH
0,18,397,0,204,DWH
0,23,31,0,211,DWH
0,23,190,0,211,WDH
0,23,140,374,211,WDH
0,6,13,412,211,DWH
0,6,140,533,211,DWH
0,5,347,391,292,WDH
0,26,414,22,306,DWH
0,36,618,496,306,DWH
0,21,874,311,306,WDH
0,21,874,74,306,WDH
0,5,596,354,306,WDH
0,5,140,232,309,WDH
0,29,264,600,309,WDH
0,29,842,604,309,WDH
0,37,6,478,331,DWH
0,35,638,36,311,DWH
0,17,7,61,318,WDH
0,26,624,406,443,WDH
0,30,884,0,443,DWH
0,30,1062,0,443,DWH
0,30,706,0,443,DWH
0,26,932,406,443,WDH
0,33,335,391,420,WDH
0,33,291,582,443,DWH
0,17,482,669,443,WDH
0,17,861,669,443,WDH
0,3,432,0,444,DWH
0,44,38,453,445,DWH
0,8,140,232,443,WDH
0,32,142,41,479,WDH
0,48,390,55,560,DWH
0,32,718,173,581,DWH
0,20,687,7,581,WDH
0,31,945,13,581,WDH
0,41,909,173,581,WDH
0,41,578,421,581,WDH
0,41,909,421,581,WDH
0,12,291,384,581,WDH
0,22,35,384,604,DWH
0,22,299,582,604,WDH
0,11,570,670,604,WDH
0,11,842,670,604,WDH
0,31,0,680,604,WDH
0,4,2,40,479,DWH
0,16,142,40,658,WDH
0,35,424,190,712,WDH
0,35,295,546,727,DWH
0,35,0,449,727,WDH
0,4,140,241,645,WDH
0,13,1114,670,604,DWH
0,14,720,0,761,DWH
0,14,720,265,761,DWH
0,42,911,0,761,WDH
0,42,911,426,761,WDH
0,42,911,213,761,WDH
0,11,415,7,712,WDH
0,11,842,670,789,WDH
0,4,2,40,727,DWH
0,19,558,421,761,DWH
0,4,719,530,761,WDH
0,4,103,680,784,WDH
0,13,295,423,699,WDH
0,45,415,175,837,WDH
0,45,35,423,852,WDH
0,2,295,546,852,WDH
0,2,182,7,867,WDH
0,47,599,673,789,WDH
0,47,477,0,897,WDH
0,43,842,696,982,WDH
0,43,911,528,982,WDH
0,10,324,750,852,WDH
0,34,911,319,982,WDH
0,19,558,421,982,DWH
