bin,item,x,y,z,orientation
0,173,0,0,0,WDH
0,4,381,550,0,WDH
0,4,806,290,0,WDH
0,4,806,0,0,WDH
0,173,0,275,0,WDH
0,173,403,275,0,WDH
0,205,0,550,0,WDH
0,173,403,0,0,WDH
0,359,806,580,0,WDH
0,432,39,245,95,WDH
0,396,454,3,95,WDH
0,137,873,5,95,WDH
0,406,5,543,95,WDH
0,367,841,200,95,WDH
0,406,423,246,95,WDH
0,449,30,23,95,WDH
0,367,841,520,95,WDH
0,406,423,543,95,WDH
0,310,343,742,256,WDH
0,106,900,446,256,DWH
0,310,0,742,256,WDH
0,424,0,0,256,WDH
0,424,450,0,256,WDH
0,424,450,371,256,WDH
0,426,900,0,256,DWH
0,424,0,371,256,WDH
0,368,819,553,372,WDH
0,433,426,254,372,WDH
0,433,426,547,372,WDH
0,411,24,296,372,WDH
0,380,872,9,372,WDH
0,411,24,24,372,WDH
0,141,499,30,372,WDH
0,411,24,568,372,WDH
0,368,819,266,372,WDH
0,369,0,0,542,WDH
0,369,0,268,542,WDH
0,369,413,268,542,WDH
0,369,413,0,542,WDH
0,128,1085,536,542,DWH
0,392,373,536,542,WDH
0,441,0,536,542,WDH
0,392,826,240,542,WDH
0,392,826,0,542,WDH
0,392,729,536,542,WDH
0,442,356,608,701,WDH
0,442,0,608,701,WDH
0,390,712,608,701,WDH
0,82,998,304,701,DWH
0,397,0,304,701,WDH
0,131,1030,0,701,DWH
0,409,680,304,701,WDH
0,397,350,0,701,WDH
0,418,700,0,701,WDH
0,397,0,0,701,WDH
0,418,350,304,701,WDH
0,358,1031,608,701,DWH
0,302,54,304,885,WDH
0,312,242,588,885,WDH
0,439,793,0,885,WDH
0,395,283,0,885,WDH
0,273,0,0,885,WDH
0,44,277,304,885,WDH
0,395,730,382,885,WDH
0,244,991,671,885,WDH
0,302,19,588,885,WDH
0,244,742,671,885,WDH
0,379,0,164,992,WDH
0,456,423,567,992,WDH
0,355,0,22,992,WDH
0,52,913,571,992,WDH
0,89,423,7,992,WDH
0,387,423,225,992,WDH
0,387,814,225,992,WDH
0,89,807,7,992,WDH
0,379,0,502,992,WDH
0,423,867,0,1130,WDH
0,63,8,342,1130,DWH
0,429,556,470,1130,WDH
0,429,260,0,1130,DWH
0,429,525,235,1130,WDH
0,423,867,235,1130,WDH
0,446,175,592,1130,WDH
0,423,494,0,1130,WDH
0,257,1023,704,1130,WDH
0,322,22,592,1130,DWH
0,429,898,470,1130,WDH
0,374,10,0,1130,DWH
0,374,187,342,1130,WDH
0,288,785,704,1130,WDH
0,288,547,704,1130,WDH
0,203,1042,367,1336,DWH
0,457,0,0,1336,WDH
0,457,0,237,1336,WDH
0,375,701,458,1336,WDH
0,375,360,0,1336,WDH
0,137,1042,0,1336,DWH
0,13,220,703,1336,WDH
0,13,0,703,1336,WDH
