bin,item,x,y,z,orientation
0,22,0,396,0,WDH
0,22,260,204,0,WDH
0,41,0,0,0,WDH
0,7,303,0,0,WDH
0,7,0,204,0,WDH
0,36,719,222,0,WDH
0,36,719,16,0,WDH
0,70,975,378,0,WDH
0,36,719,634,0,WDH
0,35,975,207,0,WDH
0,34,975,45,0,WDH
0,74,350,614,0,WDH
0,93,0,601,0,WDH
0,74,350,388,0,WDH
0,36,719,428,0,WDH
0,38,975,570,0,DWH
0,11,521,214,0,WDH
0,11,602,16,0,DWH
0,13,2,532,181,DWH
0,12,194,578,181,WDH
0,10,478,349,181,WDH
0,86,860,577,181,WDH
0,42,261,243,181,DWH
0,86,480,577,181,WDH
0,86,860,314,181,WDH
0,86,860,51,181,WDH
0,16,0,0,191,WDH
0,24,0,237,191,DWH
0,14,478,8,194,DWH
0,46,723,8,181,DWH
0,90,537,319,308,WDH
0,90,885,51,308,WDH
0,1,0,603,308,DWH
0,94,892,294,308,WDH
0,94,892,567,308,WDH
0,73,421,29,308,WDH
0,77,552,562,308,WDH
0,18,38,261,308,DWH
0,29,207,610,308,WDH
0,58,38,10,312,WDH
0,49,263,319,312,WDH
0,43,35,10,361,WDH
0,15,723,8,328,DWH
0,26,213,562,459,WDH
0,72,36,271,459,WDH
0,72,885,0,459,WDH
0,88,391,271,459,WDH
0,91,787,569,461,WDH
0,92,881,278,461,WDH
0,91,270,0,461,WDH
0,2,24,89,461,WDH
0,45,23,548,461,DWH
0,66,576,570,461,DWH
0,15,741,0,473,DWH
0,4,526,317,553,WDH
0,4,885,26,553,WDH
0,65,216,305,553,WDH
0,4,221,588,553,WDH
0,68,64,327,553,DWH
0,62,277,0,620,DWH
0,6,16,548,620,DWH
0,69,873,569,620,WDH
0,16,474,0,620,WDH
0,24,593,569,627,WDH
0,51,919,312,628,WDH
0,31,44,103,628,WDH
0,13,684,240,693,DWH
0,42,350,331,693,WDH
0,42,885,61,693,WDH
0,42,213,611,693,WDH
0,42,16,331,693,WDH
0,80,16,20,738,WDH
0,53,876,340,738,WDH
0,6,0,560,738,DWH
0,48,684,16,738,DWH
0,69,873,596,738,WDH
0,50,499,1,738,DWH
0,30,588,554,743,WDH
0,31,588,360,824,WDH
0,51,876,83,824,WDH
0,43,197,605,824,WDH
0,43,197,370,824,WDH
0,43,875,605,854,WDH
0,43,875,370,854,WDH
0,48,0,336,824,DWH
0,80,0,0,858,WDH
0,6,0,560,858,DWH
0,62,487,34,877,DWH
0,55,562,623,879,WDH
0,59,684,1,854,DWH
0,50,197,634,927,WDH
0,65,197,370,927,WDH
0,28,865,1,927,DWH
0,28,507,370,927,WDH
