bin,item,x,y,z,orientation
0,26,391,271,0,WDH
0,49,0,271,0,WDH
0,26,0,542,0,WDH
0,49,0,0,0,WDH
0,21,1041,542,0,DWH
0,56,397,542,0,WDH
0,56,719,542,0,WDH
0,56,782,0,0,WDH
0,56,788,271,0,WDH
0,49,391,0,0,WDH
0,33,846,62,167,WDH
0,55,0,328,167,WDH
0,55,0,72,167,WDH
0,55,423,584,167,WDH
0,55,0,584,167,WDH
0,55,423,72,167,WDH
0,55,423,328,167,WDH
0,3,846,505,167,DWH
0,3,846,328,167,WDH
0,5,1023,520,174,DWH
0,32,428,0,329,WDH
0,22,80,540,329,WDH
0,32,834,0,329,WDH
0,32,428,270,329,WDH
0,53,417,540,329,WDH
0,53,11,0,329,WDH
0,53,11,258,329,WDH
0,18,868,270,329,WDH
0,7,834,515,329,DWH
0,19,1013,472,340,DWH
0,7,854,472,429,DWH
0,16,987,0,473,DWH
0,14,1013,472,473,DWH
0,30,329,0,473,WDH
0,30,329,266,473,WDH
0,60,658,266,473,WDH
0,30,0,266,473,WDH
0,51,409,540,473,WDH
0,30,658,0,473,WDH
0,30,0,0,473,WDH
0,30,80,540,473,WDH
0,9,999,266,473,WDH
0,11,850,567,529,DWH
0,25,596,0,653,WDH
0,50,163,0,653,WDH
0,50,121,307,653,WDH
0,50,554,307,653,WDH
0,17,261,578,653,WDH
0,17,624,578,653,WDH
0,17,987,0,656,DWH
0,17,987,363,656,DWH
0,7,0,0,653,DWH
0,19,9,584,653,WDH
0,61,569,0,760,WDH
0,61,566,273,760,WDH
0,61,566,516,760,WDH
0,31,906,0,760,WDH
0,61,903,516,760,WDH
0,61,903,273,760,WDH
0,44,309,516,760,DWH
0,61,229,273,760,WDH
0,61,232,0,760,WDH
0,20,0,0,760,DWH
0,6,33,580,784,WDH
0,23,84,336,760,DWH
0,36,229,270,912,WDH
0,1,906,526,912,DWH
0,5,965,315,912,WDH
0,42,566,558,912,WDH
0,6,643,2,912,WDH
0,42,229,2,912,WDH
0,56,643,248,912,WDH
0,2,919,2,912,WDH
0,20,5,2,916,DWH
0,44,309,516,916,DWH
0,24,33,363,891,DWH
0,13,0,631,953,WDH
0,27,716,598,1075,WDH
0,63,45,611,1075,WDH
0,63,14,8,1075,DWH
0,54,302,267,1075,WDH
0,54,302,18,1075,WDH
0,54,375,577,1075,WDH
0,46,977,57,1075,WDH
0,46,977,315,1078,WDH
0,41,676,296,1079,WDH
0,14,650,57,1081,WDH
0,9,60,338,1090,DWH
0,58,270,207,1269,WDH
0,58,492,613,1269,WDH
0,58,540,0,1269,WDH
0,58,714,613,1269,WDH
0,58,45,611,1269,WDH
0,58,492,410,1269,WDH
0,58,714,207,1269,WDH
0,43,0,207,1269,WDH
0,43,0,0,1269,WDH
0,43,270,0,1269,WDH
0,58,492,207,1269,WDH
0,58,714,410,1269,WDH
0,58,267,611,1269,WDH
0,28,1008,0,1275,DWH
0,62,952,376,1278,WDH
0,62,952,573,1269,DWH
0,10,313,410,1269,WDH
0,10,798,57,1269,WDH
0,23,762,63,1400,WDH
0,4,1008,0,1532,DWH
0,50,947,322,1534,DWH
0,13,0,194,1563,DWH
0,12,0,0,1563,WDH
0,52,575,403,1568,WDH
0,29,209,403,1568,WDH
0,29,575,194,1568,WDH
0,29,209,612,1568,WDH
0,29,209,194,1568,WDH
0,20,575,599,1568,WDH
0,2,941,531,1643,DWH
0,61,941,194,1643,DWH
0,57,350,11,1568,WDH
0,15,54,542,1568,DWH
0,8,941,21,1643,WDH
0,18,7,170,1689,DWH
0,47,209,194,1783,DWH
0,47,533,194,1788,DWH
0,45,673,620,1721,WDH
0,34,962,467,1801,DWH
0,18,301,629,1783,WDH
0,39,70,0,1689,WDH
0,35,857,194,1801,WDH
0,62,7,542,1818,DWH
0,57,350,0,1818,WDH
0,57,26,203,1828,DWH
0,61,209,273,1906,DWH
0,35,535,369,1911,WDH
0,45,968,435,1922,DWH
0,57,857,11,1879,WDH
0,59,351,620,1922,WDH
1,37,0,0,0,WDH
1,37,0,194,0,WDH
1,38,330,194,0,WDH
1,37,330,0,0,WDH
1,35,0,388,0,WDH
1,40,330,379,0,WDH
1,48,0,629,0,WDH
1,39,609,568,0,WDH
1,48,660,0,0,WDH
1,39,660,400,0,WDH
1,48,660,200,0,WDH
1,48,330,568,0,WDH
