bin,item,x,y,z,orientation
0,454,0,0,0,WDH
0,664,0,268,0,WDH
0,676,763,268,0,WDH
0,372,0,563,0,WDH
0,372,362,268,0,WDH
0,676,802,563,0,WDH
0,372,401,563,0,WDH
0,372,801,0,0,WDH
0,372,400,0,0,WDH
0,587,118,412,195,DWH
0,587,118,2,195,DWH
0,757,401,5,195,WDH
0,713,752,23,195,WDH
0,284,409,554,195,WDH
0,264,405,273,195,WDH
0,29,2,376,195,DWH
0,29,2,599,195,DWH
0,608,820,280,195,WDH
0,29,2,153,195,DWH
0,608,820,560,195,WDH
0,323,828,623,369,WDH
0,323,372,634,369,WDH
0,312,350,317,369,WDH
0,312,350,0,369,WDH
0,852,37,434,369,DWH
0,312,33,0,369,DWH
0,425,784,0,369,WDH
0,312,806,306,369,WDH
0,780,721,156,517,WDH
0,780,721,498,517,WDH
0,265,353,380,517,DWH
0,397,273,5,517,WDH
0,204,9,18,517,DWH
0,661,0,403,520,DWH
0,36,721,3,517,WDH
0,36,941,3,517,WDH
0,70,337,4,633,WDH
0,476,646,187,633,WDH
0,724,646,602,633,WDH
0,70,0,4,633,WDH
0,643,938,607,633,WDH
0,457,964,413,633,WDH
0,457,967,204,633,WDH
0,860,323,132,633,WDH
0,860,323,604,633,WDH
0,860,0,604,633,WDH
0,480,646,393,633,WDH
0,860,0,368,633,WDH
0,860,0,132,633,WDH
0,860,323,368,633,WDH
0,2,698,5,650,WDH
0,159,967,29,650,WDH
0,212,1000,32,779,WDH
0,216,674,4,823,WDH
0,550,967,140,896,DWH
0,108,652,411,896,WDH
0,342,194,485,896,WDH
0,656,99,202,896,WDH
0,247,1,497,896,DWH
0,167,966,6,896,WDH
0,81,13,4,901,WDH
0,11,340,4,901,WDH
0,87,679,187,901,WDH
0,47,658,602,901,DWH
0,198,818,602,901,WDH
0,96,695,2,903,WDH
0,90,420,608,1025,WDH
0,90,836,0,1025,WDH
0,90,438,0,1025,WDH
0,90,22,608,1025,WDH
0,742,28,195,1025,DWH
0,378,781,222,1025,WDH
0,378,328,222,1025,WDH
0,7,56,0,1031,WDH
0,231,871,602,1031,WDH
0,879,742,22,1144,WDH
0,391,737,252,1144,WDH
0,341,1,432,1144,DWH
0,391,231,547,1144,WDH
0,743,734,545,1144,WDH
0,391,234,252,1144,WDH
0,232,34,259,1144,WDH
0,101,438,5,1144,WDH
0,374,0,0,1146,WDH
0,313,768,13,1284,WDH
0,229,0,1,1284,WDH
0,391,234,547,1284,WDH
0,391,234,254,1284,WDH
0,391,737,254,1284,WDH
0,524,2,401,1284,DWH
0,391,737,547,1284,WDH
0,313,296,13,1284,WDH
0,177,0,254,1284,WDH
0,749,304,0,1421,DWH
0,697,417,572,1421,WDH
0,560,1,401,1421,DWH
0,428,462,302,1421,WDH
0,428,526,0,1421,WDH
0,209,237,572,1421,DWH
0,209,282,302,1421,DWH
0,508,837,302,1421,WDH
0,479,875,555,1421,WDH
0,316,901,0,1421,WDH
0,829,3,0,1425,WDH
0,67,80,275,1426,WDH
0,813,439,9,1615,WDH
0,746,426,540,1615,WDH
0,746,0,540,1615,WDH
0,32,1088,519,1615,DWH
0,796,439,230,1615,WDH
0,69,304,53,1615,DWH
0,325,852,313,1615,DWH
0,539,0,251,1615,WDH
0,69,1088,321,1615,DWH
0,870,885,23,1616,WDH
0,75,0,20,1617,WDH
0,470,0,274,1769,WDH
0,854,885,7,1769,WDH
0,470,547,305,1769,DWH
0,56,0,1,1769,WDH
0,656,0,557,1769,WDH
0,211,368,2,1774,DWH
0,6,544,24,1774,WDH
0,24,1093,308,1772,DWH
0,240,1092,554,1772,DWH
0,48,830,305,1775,DWH
0,47,830,676,1775,WDH
0,246,830,305,1859,DWH
0,246,579,85,1874,WDH
0,216,369,24,1873,DWH
0,246,922,85,1895,WDH
0,94,0,56,1898,DWH
0,327,0,498,1898,WDH
0,48,579,302,1898,DWH
0,88,1047,309,1902,DWH
0,124,830,630,1902,WDH
0,65,830,338,1927,DWH
0,135,579,673,1898,WDH
0,192,353,302,1898,WDH
0,6,544,24,1942,WDH
0,65,885,98,1963,WDH
0,88,351,0,1953,DWH
0,48,208,593,1967,WDH
0,65,4,543,1967,DWH
0,500,0,0,1972,DWH
0,48,585,302,1982,DWH
0,65,1036,309,1996,DWH
0,96,78,402,1972,WDH
0,124,830,630,1996,WDH
0,129,351,302,2003,DWH
0,124,827,302,2003,DWH
0,24,584,689,2010,WDH
0,477,544,1,2042,WDH
0,218,976,70,2042,WDH
0,124,0,544,2047,DWH
0,48,206,598,2051,WDH
0,92,349,0,2047,DWH
0,500,0,0,2061,DWH
0,126,584,326,2066,DWH
0,124,1033,302,2072,DWH
0,143,830,602,2092,WDH
0,91,818,302,2096,DWH
0,218,352,326,2096,DWH
1,320,527,294,0,WDH
1,320,941,0,0,DWH
1,543,527,588,0,WDH
1,320,527,0,0,WDH
1,741,0,472,0,WDH
1,798,941,414,0,DWH
1,163,383,472,0,DWH
1,325,0,236,0,WDH
1,325,0,0,0,WDH
1,378,787,0,160,WDH
1,378,334,0,160,WDH
1,793,10,0,160,DWH
1,430,935,380,160,DWH
1,7,553,380,160,WDH
1,734,0,479,162,WDH
1,141,528,587,162,WDH
1,181,81,253,274,WDH
1,575,51,380,274,DWH
1,762,565,573,274,WDH
1,752,809,0,274,WDH
1,120,672,227,274,WDH
1,752,378,0,274,WDH
1,153,922,227,274,WDH
1,503,300,380,274,DWH
1,503,1,0,274,WDH
1,120,422,227,274,WDH
1,118,634,380,275,WDH
1,801,937,387,276,DWH
1,754,935,378,422,DWH
1,48,935,7,478,DWH
1,48,534,66,478,WDH
1,866,0,13,478,WDH
1,866,534,308,478,DWH
1,299,0,409,478,WDH
1,48,935,378,527,DWH
1,815,2,164,563,DWH
1,815,2,502,563,DWH
1,128,4,45,563,WDH
1,381,944,9,563,DWH
1,479,200,567,563,WDH
1,479,565,567,563,WDH
1,479,565,294,563,WDH
1,479,565,21,563,WDH
1,479,200,21,563,WDH
1,479,200,294,563,WDH
1,739,933,378,611,DWH
1,378,0,0,757,WDH
1,655,448,380,757,WDH
1,397,0,380,757,WDH
1,659,901,0,757,DWH
1,397,453,0,757,WDH
1,134,448,670,757,WDH
1,742,933,394,762,DWH
1,800,5,531,873,WDH
1,798,831,544,873,WDH
1,644,7,2,873,WDH
1,777,846,0,873,WDH
1,807,4,293,873,WDH
1,798,831,248,873,WDH
1,769,355,33,873,WDH
1,315,395,563,873,WDH
1,315,395,286,873,WDH
1,564,459,248,1035,WDH
1,713,790,12,1035,WDH
1,593,423,3,1035,WDH
1,450,47,535,1035,WDH
1,666,46,242,1035,WDH
1,587,830,557,1035,WDH
1,587,830,274,1035,WDH
1,407,40,1,1035,WDH
1,587,420,557,1035,WDH
1,321,0,305,1207,WDH
1,355,914,312,1207,WDH
1,321,476,558,1207,WDH
1,566,899,574,1207,WDH
1,620,0,49,1207,WDH
1,517,459,304,1207,WDH
1,769,0,587,1207,WDH
1,436,459,26,1207,WDH
1,795,826,7,1209,WDH
1,497,18,578,1370,WDH
1,318,460,0,1370,WDH
1,318,850,0,1370,WDH
1,720,806,578,1370,WDH
1,318,850,289,1370,WDH
1,720,372,578,1370,WDH
1,318,70,289,1370,WDH
1,318,460,289,1370,WDH
1,318,70,0,1370,WDH
1,650,0,328,1525,WDH
1,650,483,328,1525,WDH
1,283,487,0,1525,WDH
1,833,974,0,1525,DWH
1,283,0,0,1525,WDH
1,168,0,568,1526,WDH
1,641,502,568,1527,WDH
1,235,971,471,1527,DWH
1,71,341,580,1527,DWH
1,16,0,618,1641,WDH
1,833,487,293,1641,WDH
1,655,0,328,1641,WDH
1,776,487,0,1641,WDH
1,283,0,0,1641,WDH
1,134,1028,0,1641,DWH
1,655,487,539,1642,WDH
1,235,971,471,1642,DWH
1,139,12,582,1757,DWH
1,720,160,582,1757,WDH
1,318,248,293,1757,WDH
1,318,638,293,1757,WDH
1,720,594,582,1757,WDH
1,53,35,293,1757,DWH
1,591,89,0,1757,WDH
1,137,1085,406,1757,DWH
1,448,1029,0,1757,DWH
1,190,500,30,1758,DWH
1,446,660,1,1758,WDH
1,237,268,529,1915,DWH
1,237,2,566,1915,DWH
1,713,418,293,1915,WDH
1,593,873,586,1915,WDH
1,392,107,0,1915,WDH
1,679,514,529,1915,WDH
1,121,252,293,1915,DWH
1,666,866,0,1915,WDH
1,648,868,293,1915,WDH
1,648,494,0,1915,WDH
1,218,2,314,1919,DWH
1,218,0,293,2014,WDH
1,734,879,0,2087,DWH
1,756,7,529,2087,WDH
1,411,351,0,2087,WDH
1,6,10,0,2087,WDH
1,104,871,528,2087,WDH
1,738,515,309,2089,DWH
1,218,252,293,2089,WDH
2,499,798,587,0,WDH
2,499,414,587,0,WDH
2,795,0,587,0,WDH
2,163,1082,295,0,DWH
2,163,1094,0,0,DWH
2,557,0,0,0,WDH
2,446,0,295,0,WDH
2,255,737,0,0,WDH
2,255,368,295,0,WDH
2,255,380,0,0,WDH
2,255,725,295,0,WDH
2,781,0,297,159,WDH
2,781,0,0,159,WDH
2,705,791,0,159,DWH
2,827,385,0,159,WDH
2,823,0,594,159,WDH
2,45,791,401,159,WDH
2,827,385,273,159,WDH
2,791,791,573,161,WDH
2,705,385,546,161,WDH
2,207,1096,332,162,DWH
2,234,1069,9,162,DWH
2,833,0,586,339,WDH
2,170,471,586,339,WDH
2,833,541,290,339,WDH
