bin,item,x,y,z,orientation
0,23,354,462,0,WDH
0,23,660,0,0,WDH
0,31,0,462,0,WDH
0,46,0,0,0,WDH
0,46,0,231,0,WDH
0,46,330,231,0,WDH
0,46,330,0,0,WDH
0,27,1008,563,0,DWH
0,30,660,653,0,WDH
0,28,660,215,0,WDH
0,28,660,434,0,WDH
0,28,1008,215,0,DWH
0,27,966,0,0,WDH
0,19,441,677,0,WDH
0,19,222,677,0,WDH
0,19,3,677,0,WDH
0,19,219,692,139,WDH
0,19,0,692,139,WDH
0,19,438,692,139,WDH
0,4,460,185,244,DWH
0,4,460,0,244,WDH
0,43,0,0,244,WDH
0,43,0,265,244,WDH
0,18,0,530,244,WDH
0,36,866,0,257,DWH
0,12,938,509,257,WDH
0,7,645,185,257,DWH
0,5,657,517,257,DWH
0,16,267,630,278,WDH
0,1,70,686,278,WDH
0,11,859,27,354,WDH
0,6,901,252,354,WDH
0,6,887,517,357,WDH
0,3,657,271,363,DWH
0,24,402,228,404,DWH
0,24,402,0,404,WDH
0,2,0,490,404,WDH
0,44,0,0,404,WDH
0,44,0,245,404,WDH
0,24,267,612,419,WDH
0,17,645,549,419,DWH
0,32,901,252,477,WDH
0,20,780,0,477,WDH
0,38,854,524,478,WDH
0,15,32,675,428,WDH
0,9,633,266,489,DWH
0,26,0,0,602,WDH
0,26,388,0,602,WDH
0,33,0,257,602,WDH
0,45,392,257,602,DWH
0,47,268,588,610,WDH
0,47,863,588,610,WDH
0,16,653,450,615,DWH
0,38,924,212,639,DWH
0,10,623,257,610,WDH
0,15,32,510,604,WDH
0,34,827,26,639,WDH
0,15,0,675,645,WDH
0,8,799,235,777,WDH
0,14,347,167,782,DWH
0,6,0,0,777,WDH
0,37,268,588,783,WDH
0,40,799,588,783,WDH
0,5,16,257,782,WDH
0,40,799,9,840,WDH
0,29,799,235,851,WDH
0,3,0,631,862,WDH
0,20,347,346,866,WDH
0,4,347,161,866,WDH
0,10,526,588,898,WDH
0,6,0,0,898,WDH
0,41,347,8,777,WDH
0,26,852,583,933,WDH
0,42,246,619,898,WDH
0,13,0,549,821,WDH
0,47,863,252,990,WDH
0,47,863,0,990,WDH
0,22,0,312,944,WDH
0,32,0,54,1026,WDH
0,25,567,411,1028,DWH
0,39,461,182,1028,WDH
0,35,17,631,990,WDH
0,32,863,504,1108,DWH
0,32,0,312,1152,WDH
0,35,338,411,1028,WDH
0,39,902,46,1163,WDH
0,39,902,275,1163,WDH
0,30,256,598,1108,WDH
0,41,398,29,1078,WDH
0,15,0,0,1184,DWH
0,30,165,0,1184,DWH
0,28,567,433,1211,DWH
0,28,398,182,1228,WDH
0,27,847,504,1266,WDH
0,28,0,312,1310,DWH
0,28,892,0,1363,WDH
0,39,847,275,1363,WDH
0,21,256,412,1320,WDH
0,39,229,598,1364,WDH
0,32,567,495,1468,DWH
