bin,item,x,y,z,orientation
0,2,0,632,0,WDH
0,84,754,0,0,WDH
0,84,377,576,0,WDH
0,88,0,0,0,WDH
0,88,0,316,0,WDH
0,44,818,546,0,WDH
0,84,377,316,0,WDH
0,44,818,316,0,WDH
0,88,377,0,0,WDH
0,70,93,274,135,WDH
0,70,38,557,135,WDH
0,70,851,37,135,WDH
0,60,48,26,135,WDH
0,94,402,553,135,WDH
0,19,473,36,135,WDH
0,38,457,239,135,WDH
0,92,905,537,137,WDH
0,78,914,318,137,WDH
0,83,1000,0,307,DWH
0,41,0,0,307,WDH
0,56,337,0,307,WDH
0,56,0,297,307,WDH
0,46,0,593,307,WDH
0,69,652,232,307,DWH
0,56,315,297,307,WDH
0,46,652,0,307,WDH
0,69,348,593,307,WDH
0,82,891,322,340,WDH
0,93,857,581,340,WDH
0,4,695,569,307,DWH
0,93,857,581,499,WDH
0,93,0,297,499,WDH
0,93,720,0,499,WDH
0,31,383,556,499,WDH
0,93,0,556,499,WDH
0,93,383,297,499,WDH
0,93,337,0,499,WDH
0,14,766,297,502,WDH
0,10,0,0,502,WDH
0,23,667,556,502,DWH
0,35,1108,190,502,DWH
0,35,1108,380,502,DWH
0,35,1108,0,502,DWH
0,16,0,62,599,WDH
0,15,766,280,599,WDH
0,21,497,610,657,WDH
0,86,0,218,657,WDH
0,86,0,493,657,WDH
0,9,884,610,657,WDH
0,9,337,0,657,WDH
0,9,670,0,657,WDH
0,17,497,218,657,DWH
0,16,1061,287,682,DWH
0,24,830,245,682,DWH
0,37,1062,0,682,DWH
0,10,0,0,688,WDH
0,80,520,171,780,WDH
0,91,0,258,780,DWH
0,27,853,6,780,DWH
0,80,520,617,780,WDH
0,91,0,549,780,DWH
0,80,221,394,780,WDH
0,34,576,26,780,WDH
0,80,221,617,780,WDH
0,40,1074,300,780,DWH
0,80,297,95,780,DWH
0,80,520,394,780,WDH
0,66,819,651,780,WDH
0,64,0,51,782,WDH
0,81,824,305,794,DWH
0,54,1055,11,799,DWH
0,71,349,75,1026,WDH
0,71,669,75,1026,WDH
0,71,383,587,1026,WDH
0,71,703,587,1026,WDH
0,82,0,322,1026,WDH
0,71,669,328,1026,WDH
