bin,item,x,y,z,orientation
0,12,910,0,0,WDH
0,71,455,0,0,WDH
0,12,671,546,0,WDH
0,71,0,273,0,WDH
0,3,985,546,0,DWH
0,71,0,0,0,WDH
0,53,878,273,0,WDH
0,86,455,273,0,WDH
0,66,0,546,0,WDH
0,9,347,546,0,WDH
0,90,0,270,151,WDH
0,90,414,270,151,WDH
0,34,985,511,151,DWH
0,41,689,596,151,WDH
0,30,347,559,151,WDH
0,67,0,8,151,WDH
0,67,364,8,151,WDH
0,49,728,7,151,WDH
0,52,1047,7,151,DWH
0,33,32,577,152,WDH
0,56,902,297,152,WDH
0,80,369,333,288,WDH
0,24,781,593,288,DWH
0,1,661,273,288,DWH
0,83,412,606,288,WDH
0,11,1047,6,288,DWH
0,83,0,357,288,WDH
0,68,0,591,288,WDH
0,58,902,315,288,WDH
0,88,985,511,295,DWH
0,78,444,0,295,WDH
0,78,0,0,295,WDH
0,6,902,95,295,DWH
0,92,0,284,467,WDH
0,63,412,291,467,WDH
0,73,412,486,467,WDH
0,73,784,486,467,WDH
0,52,1036,50,467,DWH
0,17,987,326,467,WDH
0,17,760,326,467,WDH
0,13,0,23,468,WDH
0,96,412,5,468,WDH
0,10,0,606,468,WDH
0,57,892,50,482,DWH
0,39,671,3,592,DWH
0,85,367,49,592,WDH
0,31,985,318,592,DWH
0,75,0,601,592,WDH
0,75,394,601,592,WDH
0,54,788,605,592,WDH
0,88,671,338,592,WDH
0,85,367,320,592,WDH
0,85,0,13,592,WDH
0,50,0,344,595,WDH
0,24,1067,0,595,DWH
0,44,875,3,599,DWH
0,26,0,284,717,WDH
0,45,0,0,755,DWH
0,45,320,0,755,DWH
0,45,338,284,755,DWH
0,37,788,601,755,WDH
0,23,0,584,762,WDH
0,32,412,591,762,WDH
0,69,671,32,762,DWH
0,32,991,247,764,DWH
0,20,0,376,818,WDH
0,57,976,0,770,WDH
0,33,792,601,852,WDH
0,50,304,289,852,WDH
0,50,304,32,852,WDH
0,19,60,32,852,DWH
0,23,0,584,870,WDH
0,38,676,0,870,DWH
0,14,676,382,870,WDH
0,19,412,591,871,WDH
0,19,991,247,873,DWH
0,42,980,0,890,WDH
0,29,18,369,890,WDH
0,16,483,0,980,WDH
0,20,18,567,980,WDH
0,20,304,289,980,WDH
0,16,0,0,980,WDH
0,62,749,604,983,WDH
0,28,691,337,990,WDH
0,37,430,591,999,WDH
0,37,1026,194,1001,DWH
0,24,980,21,1059,WDH
0,80,0,582,1059,WDH
0,1,351,26,1059,WDH
0,1,691,19,1059,DWH
0,4,196,6,1059,DWH
0,77,351,231,1059,DWH
0,77,0,373,1059,WDH
0,58,0,36,1059,DWH
0,10,749,591,1084,WDH
0,10,648,350,1091,WDH
0,51,396,640,1095,WDH
0,28,993,194,1097,DWH
0,76,749,529,1209,WDH
0,76,20,233,1243,WDH
0,76,20,529,1243,WDH
0,69,460,266,1243,DWH
0,34,993,194,1202,DWH
0,5,763,358,1209,WDH
0,27,0,0,1234,WDH
0,40,896,19,1234,WDH
0,51,298,0,1236,WDH
0,59,651,0,1236,DWH
0,76,800,544,1313,WDH
0,20,0,206,1351,WDH
0,24,0,414,1351,WDH
0,39,314,636,1351,WDH
0,31,314,188,1351,WDH
0,31,314,412,1351,WDH
0,31,993,244,1351,DWH
0,4,587,269,1351,DWH
0,88,0,587,1351,WDH
0,76,777,517,1417,WDH
0,59,730,299,1360,WDH
0,51,0,0,1390,WDH
0,43,869,0,1390,WDH
0,47,353,25,1390,WDH
0,64,651,0,1402,DWH
0,27,16,188,1423,WDH
