bin,item,x,y,z,orientation
0,189,786,278,0,WDH
0,174,393,514,0,WDH
0,189,786,556,0,WDH
0,174,0,257,0,WDH
0,189,786,0,0,WDH
0,174,0,514,0,WDH
0,174,393,257,0,WDH
0,174,393,0,0,WDH
0,174,0,0,0,WDH
0,202,0,554,193,WDH
0,194,410,537,193,WDH
0,194,410,234,193,WDH
0,95,410,9,193,WDH
0,161,795,6,193,WDH
0,43,0,6,193,WDH
0,194,758,234,193,WDH
0,194,758,537,193,WDH
0,194,0,251,193,WDH
0,213,0,295,317,WDH
0,213,0,0,317,WDH
0,201,410,542,317,WDH
0,183,410,0,317,WDH
0,183,410,271,317,WDH
0,211,0,590,317,WDH
0,208,755,542,317,WDH
0,208,780,271,317,WDH
0,195,780,0,320,WDH
0,210,821,388,479,WDH
0,14,0,617,479,WDH
0,172,0,0,479,WDH
0,210,0,329,479,WDH
0,210,433,0,479,DWH
0,210,433,388,479,WDH
0,130,764,676,479,WDH
0,130,433,676,479,WDH
0,194,892,0,500,WDH
0,78,741,0,500,DWH
0,91,236,322,618,WDH
0,91,553,322,618,WDH
0,50,569,2,618,DWH
0,6,15,9,618,DWH
0,100,918,342,618,WDH
0,163,5,620,618,DWH
0,136,20,253,618,DWH
0,147,870,582,618,WDH
0,112,238,62,618,WDH
0,100,178,600,618,WDH
0,147,500,582,618,WDH
0,79,914,78,619,WDH
0,160,741,0,638,DWH
0,136,992,511,747,DWH
0,128,670,347,747,WDH
0,151,335,256,747,WDH
0,151,0,256,747,WDH
0,151,335,548,747,WDH
0,151,0,548,747,WDH
0,100,322,16,747,WDH
0,136,670,18,747,DWH
0,104,992,350,747,WDH
0,100,0,16,747,WDH
0,100,670,600,747,WDH
0,135,898,0,752,WDH
0,119,626,423,870,WDH
0,184,0,552,870,WDH
0,190,626,0,870,WDH
0,209,313,0,870,WDH
0,209,0,276,870,WDH
0,209,313,276,870,WDH
0,209,0,0,870,WDH
0,111,1002,552,870,DWH
0,204,626,207,870,WDH
0,204,1000,0,870,DWH
0,204,302,552,870,WDH
0,204,652,552,870,WDH
0,83,992,350,874,WDH
0,81,327,276,1061,DWH
0,192,745,0,1061,WDH
0,32,641,552,1061,WDH
0,160,7,327,1061,WDH
0,109,313,603,1061,WDH
0,81,2,0,1061,DWH
0,32,879,273,1061,WDH
0,38,301,0,1061,WDH
0,39,688,280,1067,DWH
0,39,1049,574,1067,DWH
0,137,5,532,1067,WDH
0,137,7,482,1158,DWH
0,137,0,0,1158,DWH
0,159,301,257,1158,WDH
0,33,1075,280,1158,DWH
0,87,626,603,1158,WDH
0,159,688,280,1158,WDH
0,58,968,603,1158,WDH
0,87,284,603,1166,WDH
0,133,336,12,1166,WDH
0,133,805,35,1166,WDH
0,160,0,308,1166,WDH
0,136,329,0,1252,WDH
0,136,0,0,1252,WDH
0,50,1024,0,1252,WDH
0,132,676,404,1252,WDH
0,132,658,0,1252,WDH
0,163,992,603,1252,WDH
0,132,0,463,1252,DWH
0,132,626,603,1252,WDH
0,101,329,216,1252,WDH
0,132,1042,216,1252,DWH
0,114,329,419,1252,WDH
0,132,676,216,1252,WDH
0,51,284,603,1259,WDH
0,77,6,265,1265,WDH
0,210,952,452,1375,DWH
0,149,10,19,1375,WDH
0,24,209,607,1375,WDH
0,35,999,97,1375,DWH
0,24,597,14,1375,WDH
0,35,711,247,1375,DWH
0,8,2,536,1375,DWH
0,78,461,268,1375,WDH
0,158,564,602,1375,WDH
0,157,255,7,1375,WDH
0,116,386,428,1376,WDH
0,59,10,247,1379,WDH
0,93,2,269,1439,WDH
0,118,597,31,1514,WDH
0,118,2,12,1514,DWH
0,20,955,615,1514,WDH
0,5,857,33,1514,WDH
0,166,386,269,1514,WDH
0,179,857,291,1514,WDH
0,123,659,621,1514,WDH
0,123,363,621,1514,WDH
0,19,0,595,1514,WDH
0,123,218,50,1515,WDH
0,179,28,269,1522,WDH
0,13,28,580,1631,WDH
0,13,0,0,1631,WDH
0,82,389,580,1631,WDH
0,40,1022,598,1631,DWH
0,81,386,269,1631,WDH
0,120,361,0,1631,DWH
0,67,713,539,1631,WDH
0,152,1022,269,1631,DWH
0,124,900,31,1631,WDH
0,67,713,269,1631,WDH
