bin,item,x,y,z,orientation
0,213,797,286,0,WDH
0,213,0,572,0,WDH
0,81,821,0,0,WDH
0,81,399,559,0,WDH
0,143,0,0,0,WDH
0,133,399,286,0,WDH
0,114,422,0,0,WDH
0,114,0,286,0,WDH
0,213,754,559,0,WDH
0,211,821,0,163,WDH
0,14,0,654,163,WDH
0,201,826,559,163,WDH
0,211,0,0,163,WDH
0,211,0,327,163,WDH
0,125,391,0,163,WDH
0,125,399,559,163,WDH
0,176,821,327,163,WDH
0,79,442,264,170,WDH
0,193,5,264,318,WDH
0,15,416,0,318,WDH
0,182,777,559,318,WDH
0,15,8,0,318,WDH
0,88,824,0,318,WDH
0,57,472,559,318,WDH
0,15,34,590,318,WDH
0,49,895,280,319,WDH
0,26,460,197,321,WDH
0,118,639,38,426,WDH
0,32,474,37,426,DWH
0,218,104,601,426,WDH
0,146,451,588,426,WDH
0,175,849,571,426,WDH
0,146,988,173,426,DWH
0,18,1003,0,426,WDH
0,103,74,4,426,WDH
0,146,590,319,426,WDH
0,115,74,309,427,WDH
0,200,66,334,615,WDH
0,200,7,0,615,WDH
0,71,807,0,615,WDH
0,60,502,664,615,WDH
0,198,492,334,615,WDH
0,154,79,613,615,WDH
0,43,974,664,615,WDH
0,43,708,664,615,WDH
0,198,866,334,615,WDH
0,198,433,0,615,WDH
0,23,931,25,756,WDH
0,10,926,608,756,WDH
0,130,470,588,756,WDH
0,178,931,227,756,DWH
0,144,470,350,756,WDH
0,130,0,340,756,WDH
0,130,0,88,756,WDH
0,136,0,592,756,WDH
0,206,456,87,756,WDH
0,180,0,0,899,DWH
0,180,0,559,899,WDH
0,180,0,326,899,WDH
0,180,652,326,899,WDH
0,151,652,559,899,WDH
0,180,326,326,899,WDH
0,151,931,25,899,WDH
0,151,978,326,899,DWH
0,180,466,0,899,DWH
0,180,233,0,899,DWH
0,180,326,559,899,WDH
0,215,699,0,899,DWH
0,21,1001,685,899,WDH
0,54,972,669,993,WDH
0,210,446,70,1157,WDH
0,119,412,322,1157,WDH
0,210,32,58,1157,WDH
0,210,32,310,1157,WDH
0,119,826,82,1157,WDH
0,210,73,588,1157,WDH
0,119,826,322,1157,WDH
0,119,453,600,1157,WDH
0,126,867,562,1157,WDH
0,117,260,0,1353,DWH
0,181,219,631,1353,WDH
0,181,3,374,1353,DWH
0,149,762,0,1353,DWH
0,117,536,374,1353,WDH
0,149,1001,0,1353,DWH
0,117,888,374,1353,WDH
0,117,511,0,1353,DWH
0,147,210,374,1353,WDH
0,124,905,625,1353,WDH
0,147,3,0,1353,DWH
0,124,570,625,1353,WDH
0,48,20,695,1353,WDH
0,129,260,7,1573,DWH
0,115,863,256,1573,WDH
0,115,863,548,1573,WDH
0,190,258,635,1573,WDH
0,190,5,347,1573,DWH
0,122,602,4,1573,DWH
0,186,867,7,1573,WDH
0,122,602,422,1573,DWH
0,186,229,386,1574,WDH
0,224,1,9,1574,DWH
0,37,0,697,1582,WDH
0,24,0,326,1751,DWH
0,193,0,0,1751,WDH
0,88,437,0,1751,WDH
0,8,258,635,1751,WDH
0,8,0,670,1751,WDH
0,26,853,0,1754,WDH
0,168,202,326,1754,WDH
0,168,696,326,1754,WDH
0,9,503,635,1754,WDH
0,9,851,635,1754,WDH
0,94,202,272,1860,WDH
0,85,202,10,1860,WDH
0,94,625,272,1860,WDH
0,5,0,126,1860,DWH
0,42,0,364,1860,DWH
0,7,1048,419,1860,DWH
0,104,750,4,1860,WDH
0,3,202,634,1861,WDH
0,21,1001,685,1889,WDH
0,3,467,634,1889,WDH
0,55,0,671,1861,WDH
0,34,775,685,1889,WDH
0,63,467,27,1987,DWH
0,207,0,348,1987,WDH
0,87,912,285,1987,DWH
0,207,0,25,1987,WDH
0,207,467,311,1987,WDH
0,26,876,0,1988,WDH
0,22,244,681,1987,WDH
0,7,1025,673,1987,WDH
0,43,727,0,1988,DWH
0,14,0,689,1992,WDH
0,64,516,653,2010,WDH
0,55,823,671,2019,WDH
0,26,876,0,2091,WDH
0,168,0,363,2102,WDH
0,53,0,0,2102,WDH
0,35,494,363,2102,WDH
0,17,423,0,2105,WDH
0,17,936,281,2105,WDH
1,128,358,266,0,WDH
1,128,0,532,0,WDH
1,30,1042,552,0,DWH
1,30,1064,0,0,DWH
1,76,0,0,0,WDH
1,76,0,266,0,WDH
1,76,358,0,0,WDH
1,134,358,552,0,WDH
1,46,1035,266,0,DWH
1,134,687,266,0,WDH
1,167,706,552,0,WDH
1,134,716,0,0,WDH
1,202,0,269,196,WDH
1,16,684,407,196,WDH
1,202,342,269,196,WDH
1,31,760,538,196,DWH
1,189,0,538,196,WDH
1,189,380,538,196,WDH
1,54,1035,266,196,DWH
1,197,684,0,196,DWH
1,202,342,0,196,WDH
1,202,0,0,196,WDH
1,56,1009,534,200,DWH
1,224,923,0,200,WDH
1,129,0,0,365,WDH
1,70,367,0,365,WDH
1,70,373,558,365,WDH
1,98,696,276,365,WDH
1,217,0,525,365,WDH
1,217,373,276,365,WDH
1,216,760,538,365,DWH
1,28,728,0,365,DWH
1,186,0,276,365,WDH
1,28,1045,276,365,DWH
1,235,1000,523,374,DWH
1,69,942,18,376,WDH
1,201,373,558,543,WDH
1,191,0,258,543,WDH
1,152,856,0,543,WDH
1,157,428,0,543,WDH
1,157,0,0,543,WDH
1,36,1000,314,545,WDH
1,20,0,599,545,WDH
1,157,373,300,545,WDH
1,68,801,296,545,DWH
1,19,760,569,545,DWH
1,66,1062,529,560,DWH
1,1,323,323,694,WDH
1,207,0,323,694,DWH
1,87,890,0,694,WDH
1,207,0,0,694,WDH
1,207,445,0,694,WDH
1,52,323,551,698,WDH
1,59,1000,314,698,DWH
1,194,683,440,699,DWH
1,116,0,563,809,WDH
1,104,0,295,809,WDH
1,73,0,0,809,WDH
1,231,429,0,809,WDH
1,55,455,633,809,WDH
1,55,455,464,809,WDH
1,55,455,295,809,WDH
1,105,872,9,812,WDH
1,150,660,440,812,DWH
1,154,1000,314,813,DWH
1,118,633,558,940,WDH
1,13,35,616,940,WDH
1,13,33,9,940,WDH
1,40,1034,2,940,DWH
1,83,30,232,940,DWH
1,163,280,300,940,WDH
1,163,631,300,940,WDH
1,163,282,581,940,WDH
1,163,631,42,940,WDH
1,218,284,61,940,WDH
1,170,1002,314,951,DWH
1,137,0,0,1131,WDH
1,137,0,328,1131,WDH
1,194,866,433,1131,DWH
1,137,433,328,1131,WDH
1,137,433,0,1131,WDH
1,137,866,0,1131,DWH
1,66,311,662,1131,WDH
1,66,0,662,1131,WDH
1,55,622,671,1131,WDH
1,172,280,465,1247,WDH
1,183,29,300,1247,DWH
1,183,29,0,1247,DWH
1,184,251,0,1247,WDH
1,99,899,0,1247,WDH
1,99,558,0,1247,WDH
1,183,258,243,1247,WDH
1,123,863,472,1247,WDH
1,29,561,472,1247,WDH
1,99,899,236,1247,WDH
1,99,558,236,1247,WDH
1,43,974,684,1247,WDH
1,39,498,660,1267,WDH
1,39,172,660,1267,WDH
1,67,5,629,1267,DWH
1,43,974,691,1386,WDH
1,105,876,0,1479,WDH
1,105,571,364,1479,DWH
1,105,876,305,1479,WDH
1,105,571,0,1479,DWH
1,219,0,291,1481,WDH
1,68,376,0,1481,DWH
1,79,0,0,1481,WDH
1,68,0,540,1481,DWH
1,54,280,658,1464,WDH
1,43,415,291,1481,DWH
1,66,929,662,1525,WDH
1,139,613,396,1600,DWH
1,178,879,0,1600,WDH
1,220,616,0,1600,DWH
1,178,879,300,1600,WDH
1,166,0,292,1632,WDH
1,231,0,0,1632,WDH
1,166,0,530,1632,WDH
1,44,904,609,1661,WDH
1,55,415,96,1629,DWH
1,64,415,298,1629,DWH
1,36,1031,0,1743,DWH
1,33,1005,249,1743,DWH
1,50,616,500,1743,DWH
1,219,616,0,1743,WDH
1,236,616,249,1743,WDH
1,84,0,132,1761,DWH
1,84,0,562,1761,WDH
1,205,278,0,1761,WDH
1,44,278,331,1765,WDH
1,208,847,593,1783,WDH
1,224,0,503,1894,DWH
1,190,278,569,1894,WDH
1,142,616,0,1894,WDH
1,89,616,285,1894,WDH
1,142,278,284,1894,WDH
1,216,930,0,1894,WDH
1,28,622,569,1894,DWH
1,169,0,132,1894,DWH
1,44,1005,249,1897,DWH
1,174,235,0,1901,WDH
1,236,851,589,1922,WDH
1,131,954,238,2019,DWH
