bin,item,x,y,z,orientation
0,770,0,299,0,WDH
0,770,358,0,0,WDH
0,652,702,0,0,WDH
0,542,761,576,0,WDH
0,494,0,608,0,WDH
0,7,1042,0,0,DWH
0,740,358,576,0,WDH
0,295,0,0,0,WDH
0,769,358,309,0,WDH
0,69,1108,309,0,DWH
0,719,744,309,0,WDH
0,540,764,576,188,WDH
0,581,591,0,188,WDH
0,581,140,0,188,WDH
0,178,1108,309,188,DWH
0,178,9,0,188,DWH
0,273,6,299,188,WDH
0,82,1045,13,189,DWH
0,865,349,297,189,WDH
0,540,363,576,189,WDH
0,336,0,604,190,WDH
0,376,744,309,191,WDH
0,423,129,315,340,WDH
0,867,782,576,340,WDH
0,85,1,0,340,DWH
0,744,148,0,340,WDH
0,56,592,0,340,DWH
0,204,1119,290,340,DWH
0,718,759,0,340,WDH
0,204,8,315,340,DWH
0,177,598,297,340,DWH
0,20,476,612,341,WDH
0,635,0,571,341,WDH
0,799,744,290,342,WDH
0,587,0,556,486,WDH
0,340,452,595,486,WDH
0,6,411,15,486,WDH
0,776,744,0,486,WDH
0,502,0,4,486,WDH
0,397,896,578,486,WDH
0,637,0,249,486,WDH
0,829,411,182,486,DWH
0,465,787,302,495,WDH
0,441,358,36,644,WDH
0,576,15,6,644,WDH
0,312,379,300,644,WDH
0,700,1,591,644,WDH
0,353,13,301,644,WDH
0,441,792,38,644,WDH
0,403,424,580,644,WDH
0,403,832,580,644,WDH
0,585,807,311,649,WDH
0,753,757,580,818,WDH
0,268,1023,291,818,DWH
0,356,0,416,818,WDH
0,345,686,0,818,WDH
0,859,680,416,818,WDH
0,356,340,416,818,WDH
0,345,349,207,818,WDH
0,792,1023,0,818,DWH
0,831,686,207,818,WDH
0,831,424,580,818,WDH
0,197,1048,580,818,DWH
0,366,0,208,818,WDH
0,366,0,0,818,WDH
0,345,349,0,818,WDH
0,700,0,580,820,WDH
0,37,0,613,996,WDH
0,399,840,320,1097,WDH
0,271,465,50,1097,WDH
0,271,54,570,1097,WDH
0,271,54,30,1097,WDH
0,271,54,300,1097,WDH
0,399,440,320,1097,WDH
0,648,829,577,1097,WDH
0,399,840,63,1097,WDH
0,399,429,583,1097,WDH
0,756,197,440,1280,WDH
0,756,757,0,1280,WDH
0,756,757,220,1280,WDH
0,746,744,660,1280,WDH
0,756,477,220,1280,WDH
0,746,451,660,1280,WDH
0,640,1064,586,1280,DWH
0,756,477,0,1280,WDH
0,640,209,660,1280,WDH
0,756,757,440,1280,WDH
0,417,1037,0,1280,DWH
0,759,3,220,1280,DWH
0,756,197,0,1280,WDH
0,759,3,493,1280,DWH
0,756,197,220,1280,WDH
0,759,1046,313,1280,DWH
0,756,477,440,1280,WDH
0,192,65,0,1280,DWH
0,84,17,28,1440,DWH
0,540,0,6,1581,WDH
0,260,914,27,1581,DWH
0,285,457,260,1581,WDH
0,285,0,260,1581,WDH
0,741,401,39,1581,WDH
0,537,914,388,1581,DWH
