bin,item,x,y,z,orientation
0,39,354,578,0,WDH
0,46,0,0,0,WDH
0,39,715,578,0,WDH
0,46,365,289,0,WDH
0,44,0,578,0,WDH
0,46,730,289,0,WDH
0,46,730,0,0,WDH
0,46,0,289,0,WDH
0,46,365,0,0,WDH
0,26,1100,301,0,DWH
0,26,1100,56,0,DWH
0,4,1111,546,0,DWH
0,13,726,456,176,WDH
0,13,214,55,176,WDH
0,13,0,55,176,WDH
0,13,428,55,176,WDH
0,71,397,438,176,WDH
0,33,0,644,176,WDH
0,71,397,639,176,WDH
0,33,0,448,176,WDH
0,71,0,247,176,WDH
0,77,397,249,176,WDH
0,13,726,648,176,WDH
0,73,679,24,176,WDH
0,73,679,231,176,WDH
0,41,940,446,176,DWH
0,15,1088,446,223,DWH
0,15,1067,24,223,DWH
0,45,679,438,414,DWH
0,56,0,267,414,WDH
0,56,370,0,414,DWH
0,56,0,0,414,WDH
0,56,0,534,414,WDH
0,56,370,370,414,DWH
0,19,637,0,419,WDH
0,6,1017,0,419,DWH
0,20,1000,288,419,WDH
0,17,928,483,424,DWH
0,3,637,269,419,WDH
0,6,1000,0,504,DWH
0,48,399,44,541,DWH
0,72,928,417,541,DWH
0,72,0,278,541,WDH
0,72,0,559,541,WDH
0,48,399,442,541,DWH
0,48,0,44,541,WDH
0,9,637,284,516,WDH
0,58,633,457,547,DWH
0,31,663,0,550,WDH
0,30,1012,0,589,DWH
0,49,773,610,697,WDH
0,25,426,6,697,DWH
0,35,426,564,697,WDH
0,35,426,288,697,WDH
0,55,0,332,697,WDH
0,68,0,92,697,WDH
0,59,0,590,697,WDH
0,49,773,380,697,WDH
0,70,615,2,699,WDH
0,78,982,2,739,DWH
0,57,383,300,881,WDH
0,14,760,75,881,DWH
0,14,760,366,881,WDH
0,57,0,16,881,WDH
0,57,383,30,881,WDH
0,58,0,286,881,WDH
0,57,760,570,881,WDH
0,58,0,563,881,WDH
0,57,383,570,881,WDH
0,17,964,33,920,DWH
0,14,760,366,1025,WDH
0,57,0,16,1025,WDH
0,57,383,30,1025,WDH
0,57,760,570,1025,WDH
0,57,383,570,1025,WDH
0,57,383,300,1025,WDH
0,14,760,75,1025,DWH
0,57,0,286,1027,WDH
0,57,0,556,1027,WDH
0,37,974,0,1029,DWH
0,51,504,613,1169,WDH
0,27,12,415,1169,WDH
0,34,520,379,1169,WDH
0,1,445,2,1169,WDH
0,34,678,108,1169,WDH
0,1,59,607,1169,DWH
0,34,208,606,1169,WDH
0,66,816,601,1169,WDH
0,66,816,362,1169,WDH
0,27,432,151,1169,WDH
0,26,200,11,1169,WDH
0,27,258,415,1169,WDH
0,26,46,97,1169,DWH
0,27,186,151,1169,WDH
0,53,974,0,1188,DWH
0,31,547,290,1393,WDH
0,31,547,21,1393,WDH
0,31,167,571,1393,WDH
0,31,210,290,1393,WDH
0,31,210,21,1393,WDH
0,31,504,571,1393,WDH
0,5,12,278,1393,DWH
0,30,904,28,1393,WDH
0,64,884,256,1393,WDH
0,72,841,559,1393,WDH
0,9,13,641,1393,DWH
0,21,12,73,1393,DWH
0,31,587,222,1542,DWH
0,16,587,27,1542,WDH
0,57,210,19,1542,WDH
0,57,0,570,1542,WDH
0,57,377,570,1542,WDH
0,57,210,289,1542,WDH
0,76,897,400,1549,DWH
0,76,897,0,1549,DWH
0,7,0,321,1549,DWH
0,25,21,19,1556,DWH
0,10,892,3,1640,WDH
0,8,889,623,1640,WDH
0,8,889,189,1640,WDH
0,8,889,406,1640,WDH
0,11,13,301,1642,DWH
0,29,754,570,1549,DWH
0,31,250,288,1684,WDH
0,31,417,570,1684,WDH
0,31,80,570,1684,WDH
0,31,250,19,1684,WDH
0,28,614,189,1691,DWH
0,22,618,2,1691,WDH
0,2,0,0,1734,DWH
0,11,53,297,1751,DWH
0,8,889,623,1751,WDH
0,8,889,189,1751,WDH
0,8,889,406,1751,WDH
0,8,666,219,1794,DWH
0,24,927,0,1755,WDH
0,8,267,2,1833,WDH
0,43,254,219,1833,WDH
0,23,969,172,1862,DWH
0,40,0,614,1833,WDH
0,40,335,614,1833,WDH
0,12,651,26,1858,WDH
0,2,7,297,1862,DWH
0,52,891,595,1862,WDH
0,2,7,3,1895,DWH
0,52,666,219,1905,DWH
0,31,314,295,1949,WDH
0,31,314,26,1949,WDH
0,52,910,219,1962,DWH
0,23,817,569,2024,WDH
0,78,7,591,2011,WDH
0,78,367,591,2011,WDH
0,63,32,304,2024,WDH
0,12,678,26,2024,WDH
1,60,582,211,0,WDH
1,32,582,0,0,WDH
1,50,0,0,0,WDH
1,60,582,382,0,WDH
1,32,0,490,0,WDH
1,50,0,245,0,WDH
1,32,281,490,0,WDH
1,50,291,245,0,WDH
1,50,291,0,0,WDH
1,36,607,553,0,WDH
1,67,972,379,0,DWH
1,67,972,0,0,DWH
1,65,974,535,192,DWH
1,65,669,574,192,WDH
1,65,935,269,192,WDH
1,65,935,3,192,WDH
1,18,22,186,260,DWH
1,78,222,12,260,WDH
