bin,item,x,y,z,orientation
0,119,0,0,0,WDH
0,24,618,608,0,WDH
0,24,316,608,0,WDH
0,7,0,608,0,WDH
0,197,0,323,0,WDH
0,69,920,0,0,WDH
0,168,936,323,0,DWH
0,197,452,0,0,WDH
0,197,468,323,0,WDH
0,214,936,310,125,DWH
0,227,768,11,125,WDH
0,227,387,11,125,WDH
0,195,0,10,125,WDH
0,242,0,519,125,WDH
0,214,452,259,125,WDH
0,214,411,580,125,WDH
0,214,0,259,125,WDH
0,71,50,278,290,WDH
0,98,281,278,290,WDH
0,240,817,0,290,WDH
0,98,957,278,290,DWH
0,87,1019,616,290,WDH
0,98,619,278,290,WDH
0,222,173,561,290,WDH
0,222,565,561,290,WDH
0,222,425,0,290,WDH
0,222,33,0,290,WDH
0,77,0,504,290,DWH
0,137,733,278,481,WDH
0,107,733,560,481,WDH
0,214,281,278,481,WDH
0,214,0,0,481,WDH
0,214,452,0,481,WDH
0,158,0,504,481,DWH
0,137,281,538,481,WDH
0,158,904,0,481,WDH
0,16,0,260,482,WDH
0,171,760,0,647,WDH
0,171,3,31,647,DWH
0,148,1,413,647,DWH
0,8,358,12,647,WDH
0,148,833,560,647,WDH
0,169,288,210,647,WDH
0,231,733,283,650,WDH
0,231,281,543,650,WDH
0,29,654,573,650,DWH
0,39,970,0,783,DWH
0,86,270,330,783,WDH
0,186,455,0,783,WDH
0,198,0,330,783,DWH
0,17,833,560,783,WDH
0,124,0,0,783,WDH
0,10,270,553,803,WDH
0,19,637,295,803,WDH
0,39,643,553,807,DWH
0,107,409,0,895,WDH
0,149,270,536,895,WDH
0,137,0,0,895,WDH
0,227,637,295,895,WDH
0,107,821,553,895,WDH
0,107,819,0,895,WDH
0,43,0,641,895,WDH
0,225,0,282,895,DWH
0,139,267,282,896,WDH
0,41,623,544,919,DWH
0,139,409,598,1060,WDH
0,90,0,581,1060,WDH
0,95,786,299,1060,DWH
0,63,786,659,1060,WDH
0,219,409,0,1060,WDH
0,219,409,299,1060,WDH
0,219,0,282,1060,WDH
0,219,786,0,1060,WDH
0,64,1075,554,1060,DWH
0,170,72,10,1064,WDH
0,212,13,590,1225,WDH
0,229,354,318,1225,WDH
0,152,752,36,1225,WDH
0,220,369,570,1225,WDH
0,97,12,317,1225,WDH
0,152,341,36,1225,WDH
0,131,11,43,1225,WDH
0,59,1071,559,1225,DWH
0,212,786,299,1227,WDH
0,81,809,559,1229,WDH
0,55,786,610,1330,WDH
0,49,369,339,1403,WDH
0,239,369,510,1403,WDH
0,25,863,610,1403,DWH
0,61,953,365,1403,WDH
0,73,0,593,1403,WDH
0,9,12,46,1403,WDH
0,49,661,339,1403,WDH
0,62,360,4,1405,DWH
0,61,953,220,1405,WDH
0,6,1110,532,1405,DWH
