bin,item,x,y,z,orientation
0,844,810,321,0,WDH
0,202,810,642,0,WDH
0,676,0,0,0,WDH
0,844,810,0,0,WDH
0,500,408,628,0,WDH
0,662,0,613,0,WDH
0,844,408,307,0,WDH
0,529,0,306,0,WDH
0,529,408,0,0,WDH
0,85,592,12,164,WDH
0,447,336,513,164,WDH
0,447,336,186,164,WDH
0,85,916,12,164,WDH
0,768,12,26,164,DWH
0,253,372,10,164,WDH
0,447,9,388,164,DWH
0,447,788,186,164,WDH
0,447,788,513,164,WDH
0,911,709,522,297,WDH
0,911,709,204,297,WDH
0,911,178,522,297,WDH
0,6,4,498,297,DWH
0,314,338,229,297,WDH
0,169,879,9,297,WDH
0,157,608,5,297,WDH
0,462,8,26,306,DWH
0,297,372,5,306,WDH
0,35,994,335,424,DWH
0,630,0,0,424,WDH
0,797,465,0,424,WDH
0,41,962,0,424,DWH
0,797,497,335,424,WDH
0,286,0,645,424,WDH
0,797,0,335,424,WDH
0,286,317,645,424,WDH
0,286,634,645,424,WDH
0,540,962,331,551,DWH
0,447,452,327,551,WDH
0,447,452,0,551,WDH
0,85,0,654,551,WDH
0,43,648,654,551,WDH
0,447,0,0,551,WDH
0,447,0,327,551,WDH
0,85,324,654,551,WDH
0,618,908,0,552,WDH
0,323,10,14,688,DWH
0,910,736,286,688,WDH
0,910,736,563,688,WDH
0,587,286,226,688,WDH
0,587,286,533,688,WDH
0,702,22,412,688,DWH
0,870,304,3,688,WDH
0,366,762,22,688,WDH
0,466,450,12,838,WDH
0,548,900,24,838,DWH
0,870,0,3,838,WDH
0,779,900,413,838,DWH
0,587,0,226,838,WDH
0,779,450,218,838,WDH
0,587,450,533,838,WDH
0,587,0,533,838,WDH
0,340,150,232,986,WDH
0,262,8,253,986,DWH
0,908,493,93,986,DWH
0,77,908,3,986,WDH
0,908,832,501,986,WDH
0,908,832,162,986,WDH
0,908,424,501,986,WDH
0,908,16,501,986,WDH
0,787,0,0,988,WDH
0,149,8,57,1108,WDH
0,278,219,12,1108,WDH
0,710,789,291,1204,WDH
0,710,0,548,1204,WDH
0,710,413,291,1204,WDH
0,710,789,0,1204,WDH
0,710,413,0,1204,WDH
0,480,0,0,1204,WDH
0,480,0,274,1204,WDH
0,545,834,582,1204,WDH
0,326,413,582,1204,WDH
0,509,844,0,1389,WDH
0,532,378,542,1389,WDH
0,532,809,542,1389,WDH
0,470,62,80,1389,DWH
0,470,62,460,1389,DWH
0,532,809,244,1389,WDH
0,657,399,1,1389,WDH
0,548,420,232,1389,WDH
0,705,383,4,1541,WDH
0,914,766,557,1541,WDH
0,915,0,535,1541,WDH
0,914,383,252,1541,WDH
0,915,0,230,1541,WDH
0,914,766,274,1541,WDH
0,915,383,535,1541,WDH
0,185,0,84,1541,WDH
0,425,766,13,1541,WDH
0,489,660,408,1733,WDH
0,643,0,45,1733,WDH
0,643,680,16,1733,WDH
0,489,980,232,1733,DWH
0,489,980,536,1733,DWH
0,332,0,622,1733,WDH
0,332,320,622,1733,WDH
0,332,0,404,1733,WDH
0,777,680,177,1733,WDH
0,729,0,206,1733,WDH
0,729,320,424,1733,WDH
0,729,640,642,1733,WDH
0,890,340,18,1733,WDH
0,729,340,206,1733,WDH
0,518,980,31,1733,WDH
0,196,0,0,2010,WDH
0,80,383,0,2010,DWH
0,731,81,358,2012,WDH
0,80,677,0,2012,DWH
0,80,640,358,2017,WDH
0,228,640,661,2012,WDH
0,218,980,20,2012,WDH
0,111,1023,254,2017,DWH
0,186,1021,532,2017,DWH
0,80,383,0,2053,DWH
0,80,677,0,2055,DWH
0,80,640,358,2060,WDH
0,163,0,34,2074,WDH
0,731,0,353,2077,WDH
0,186,1021,532,2084,DWH
0,196,474,0,2099,WDH
0,196,857,0,2099,WDH
0,242,707,682,2097,WDH
0,45,1000,368,2097,WDH
0,73,640,362,2103,WDH
0,80,287,358,2143,WDH
0,80,121,51,2143,WDH
1,672,441,218,0,WDH
1,672,0,443,0,WDH
1,672,882,218,0,DWH
1,50,898,668,0,WDH
1,672,441,443,0,WDH
1,912,0,0,0,WDH
1,672,0,218,0,WDH
1,371,0,668,0,WDH
1,287,1019,0,0,WDH
1,820,519,668,0,WDH
1,371,500,0,0,WDH
1,44,1107,218,0,DWH
1,44,1107,390,0,DWH
1,651,0,290,201,WDH
1,651,453,290,201,WDH
1,811,906,212,201,DWH
1,159,898,677,201,WDH
1,660,0,0,208,WDH
1,11,514,0,208,WDH
1,142,595,668,208,WDH
1,242,0,668,208,WDH
1,142,314,668,208,WDH
1,69,873,0,208,WDH
1,171,279,675,304,WDH
1,171,0,675,304,WDH
1,605,474,13,304,WDH
1,291,906,7,304,WDH
1,491,906,153,304,DWH
1,221,793,670,304,WDH
1,221,558,670,304,WDH
1,629,0,0,304,WDH
1,878,376,290,309,WDH
1,627,15,290,309,DWH
1,99,1028,670,304,WDH
1,815,363,372,424,WDH
1,815,363,0,424,WDH
1,686,796,344,424,WDH
1,755,3,0,424,DWH
1,461,22,414,424,DWH
1,517,771,0,424,WDH
1,4,786,669,424,WDH
1,149,1029,665,435,WDH
1,91,1080,150,531,DWH
1,478,720,190,531,WDH
1,208,1028,553,531,DWH
1,478,0,515,531,WDH
1,478,360,190,531,WDH
1,478,360,515,531,WDH
1,103,0,2,531,WDH
1,478,0,190,531,WDH
1,103,361,2,531,WDH
1,305,722,4,531,WDH
1,98,728,553,533,WDH
1,301,1061,0,531,WDH
1,310,0,274,689,WDH
1,310,0,548,689,WDH
1,310,425,274,689,WDH
1,310,0,0,689,WDH
1,184,850,460,689,DWH
1,613,425,548,689,WDH
1,310,425,0,689,WDH
1,306,850,0,689,DWH
1,247,1011,559,692,DWH
1,49,1072,147,692,DWH
1,301,1054,0,701,WDH
1,725,766,560,857,DWH
1,914,0,274,857,WDH
1,914,383,274,857,WDH
1,914,383,557,857,WDH
1,409,412,23,857,WDH
1,175,766,0,857,WDH
1,914,766,174,857,DWH
1,417,0,21,857,WDH
1,914,0,557,857,WDH
1,183,1049,295,858,DWH
1,278,1002,566,858,DWH
1,118,1053,0,871,DWH
1,183,1049,295,948,DWH
1,281,1002,560,949,WDH
1,781,825,6,1048,WDH
1,526,408,284,1048,WDH
1,273,817,570,1048,DWH
1,841,0,556,1048,WDH
1,750,417,4,1048,WDH
1,387,825,257,1048,WDH
1,648,0,273,1048,WDH
1,648,409,557,1048,WDH
1,526,0,1,1048,WDH
1,111,1002,560,1069,DWH
1,111,1023,562,1144,DWH
1,878,0,0,1212,WDH
1,724,1037,0,1212,DWH
1,530,515,343,1212,WDH
1,166,739,666,1212,WDH
1,491,0,343,1212,WDH
1,402,530,0,1212,WDH
1,166,224,665,1212,WDH
1,166,0,665,1212,WDH
1,166,515,666,1212,WDH
1,18,1014,535,1219,DWH
1,702,515,0,1329,WDH
1,877,515,552,1329,WDH
1,877,927,428,1329,DWH
1,95,927,273,1329,WDH
1,877,0,55,1329,WDH
1,877,515,264,1329,WDH
1,54,943,13,1329,WDH
1,97,412,103,1329,DWH
1,244,0,667,1329,WDH
1,17,298,692,1329,WDH
1,660,0,388,1330,WDH
1,216,28,343,1424,WDH
1,105,950,652,1478,WDH
1,92,86,652,1478,WDH
1,105,660,652,1478,WDH
1,353,134,0,1478,WDH
1,361,548,326,1478,WDH
1,361,548,0,1478,WDH
1,92,373,652,1478,WDH
1,361,894,326,1478,WDH
1,361,894,0,1478,WDH
1,97,32,0,1478,DWH
1,713,94,271,1503,WDH
1,908,424,0,1625,WDH
1,908,16,0,1625,WDH
1,908,832,339,1625,WDH
1,908,832,0,1625,WDH
1,2,981,678,1625,WDH
1,32,718,678,1625,WDH
1,916,390,339,1625,WDH
1,894,25,339,1625,WDH
1,533,392,634,1627,WDH
1,424,0,652,1627,WDH
1,577,37,41,1838,DWH
1,140,414,14,1838,WDH
1,275,707,635,1838,DWH
1,577,887,253,1838,DWH
1,135,896,8,1838,WDH
1,69,93,641,1838,WDH
1,216,392,361,1840,WDH
1,183,445,635,1844,WDH
1,182,0,369,1927,WDH
1,816,403,341,1927,WDH
1,461,403,0,1927,WDH
1,762,0,0,1927,WDH
1,82,887,635,1927,WDH
1,561,829,322,1927,WDH
1,328,829,0,1927,WDH
1,123,0,640,1930,WDH
1,199,382,643,1934,WDH
1,166,639,643,1934,WDH
1,713,0,0,2036,WDH
1,656,0,344,2036,WDH
1,656,935,0,2036,DWH
1,656,454,0,2036,WDH
1,378,935,481,2036,DWH
1,608,481,344,2036,WDH
1,286,0,650,2036,WDH
1,286,317,650,2036,WDH
1,15,637,634,2050,WDH
2,790,0,620,0,WDH
2,771,628,0,0,WDH
2,771,628,274,0,WDH
2,904,628,548,0,WDH
2,436,0,310,0,WDH
2,904,973,0,0,DWH
2,276,973,408,0,WDH
2,79,358,620,0,WDH
2,436,314,310,0,WDH
2,436,314,0,0,WDH
2,436,0,0,0,WDH
2,124,1036,548,0,DWH
2,27,1036,160,206,DWH
2,323,0,564,206,WDH
2,455,398,2,206,WDH
2,799,398,555,206,WDH
2,55,783,564,206,DWH
2,539,751,158,206,DWH
2,819,398,248,206,WDH
2,17,751,10,206,WDH
2,323,0,288,206,WDH
2,539,0,16,206,WDH
