bin,item,x,y,z,orientation
0,335,904,418,0,DWH
0,433,904,0,0,DWH
0,598,0,314,0,WDH
0,598,0,0,0,WDH
0,581,0,628,0,WDH
0,272,441,0,0,WDH
0,272,441,287,0,WDH
0,185,539,628,0,WDH
0,443,941,14,148,WDH
0,652,904,207,148,WDH
0,652,568,423,148,WDH
0,392,255,204,148,WDH
0,652,568,222,148,WDH
0,392,591,10,148,WDH
0,619,211,25,148,WDH
0,582,568,624,148,WDH
0,582,904,624,148,WDH
0,582,904,408,148,WDH
0,392,43,527,148,DWH
0,392,255,628,148,WDH
0,392,43,214,148,DWH
0,392,255,416,148,WDH
0,187,0,0,148,WDH
0,142,32,25,270,WDH
0,690,543,0,426,WDH
0,11,1086,0,426,DWH
0,373,453,460,426,WDH
0,690,0,0,426,WDH
0,659,0,460,426,WDH
0,418,891,460,426,DWH
0,236,550,286,549,WDH
0,11,286,457,549,DWH
0,11,814,286,549,WDH
0,371,547,0,549,WDH
0,371,0,286,549,DWH
0,155,1094,0,549,DWH
0,371,0,0,549,WDH
0,418,891,460,549,DWH
0,236,286,286,549,WDH
0,512,469,466,552,WDH
0,430,814,286,672,WDH
0,430,471,317,672,WDH
0,308,789,0,672,WDH
0,699,0,0,672,WDH
0,141,524,640,672,WDH
0,699,0,320,672,WDH
0,387,814,584,672,WDH
0,244,0,640,672,WDH
0,257,471,0,672,WDH
0,78,1082,0,673,DWH
0,674,357,148,875,WDH
0,512,396,477,875,WDH
0,132,834,70,875,WDH
0,44,599,9,875,WDH
0,44,380,9,875,WDH
0,512,818,477,875,WDH
0,458,10,56,875,DWH
0,136,850,284,875,WDH
0,417,39,504,875,WDH
0,39,1091,67,876,DWH
0,162,454,704,990,WDH
0,620,700,237,990,WDH
0,620,700,0,990,WDH
0,429,712,476,990,WDH
0,408,1034,359,990,DWH
0,408,1034,0,990,DWH
0,468,0,238,990,WDH
0,468,0,0,990,WDH
0,530,0,476,990,WDH
0,530,356,476,990,WDH
0,530,344,0,990,WDH
0,530,344,228,990,WDH
0,162,227,704,990,WDH
0,162,0,704,990,WDH
0,131,814,722,990,WDH
0,131,1027,722,990,WDH
0,692,641,0,1236,WDH
0,612,695,414,1236,WDH
0,64,3,306,1236,DWH
0,208,15,680,1236,WDH
0,208,328,680,1236,WDH
0,245,191,0,1236,WDH
0,169,6,0,1236,DWH
0,245,191,340,1236,WDH
0,100,781,706,1248,WDH
0,223,1000,680,1248,WDH
0,290,2,0,1368,WDH
0,173,35,604,1368,DWH
0,500,376,0,1368,WDH
0,307,756,604,1368,WDH
0,500,376,302,1368,WDH
0,307,272,604,1368,WDH
0,500,808,302,1368,WDH
0,500,808,0,1368,WDH
0,158,202,289,1368,DWH
0,32,2,289,1372,DWH
0,641,2,289,1510,WDH
0,21,2,561,1510,DWH
0,542,454,289,1510,WDH
0,641,376,0,1510,WDH
0,655,828,0,1510,WDH
0,157,924,289,1510,WDH
0,357,0,0,1515,WDH
0,21,220,561,1515,DWH
0,655,454,544,1515,WDH
0,157,924,559,1515,WDH
0,431,868,25,1656,WDH
0,693,751,266,1656,WDH
0,431,379,312,1656,WDH
0,213,397,59,1656,DWH
0,693,262,553,1656,WDH
0,431,496,25,1656,WDH
0,431,7,312,1656,WDH
0,693,751,553,1656,WDH
0,426,20,566,1656,DWH
0,246,8,59,1659,WDH
0,202,888,461,1874,DWH
0,408,1037,461,1874,DWH
0,601,1,0,1874,DWH
0,601,271,486,1874,WDH
0,654,575,243,1874,WDH
0,429,921,0,1874,WDH
0,677,6,288,1874,DWH
0,590,567,0,1874,WDH
0,590,886,243,1874,WDH
0,378,240,0,1874,WDH
0,278,257,243,1874,WDH
0,378,559,486,1874,WDH
0,87,350,725,1874,WDH
0,87,677,708,1874,WDH
0,103,0,640,1875,WDH
0,201,6,565,2047,DWH
0,201,625,28,2114,WDH
0,440,904,371,2114,DWH
