bin,item,x,y,z,orientation
0,452,390,0,0,WDH
0,452,390,234,0,WDH
0,452,0,0,0,WDH
0,452,0,468,0,WDH
0,452,0,234,0,WDH
0,460,780,654,0,WDH
0,452,390,468,0,WDH
0,224,0,702,0,WDH
0,417,780,422,0,WDH
0,122,575,702,0,WDH
0,122,273,702,0,WDH
0,122,424,702,0,WDH
0,377,780,211,0,WDH
0,377,780,0,0,WDH
0,362,746,545,219,WDH
0,362,746,250,219,WDH
0,439,346,156,219,WDH
0,439,346,498,219,WDH
0,439,4,440,219,DWH
0,274,876,1,219,WDH
0,448,22,45,219,DWH
0,35,750,10,219,DWH
0,64,547,2,219,WDH
0,64,348,2,219,WDH
0,332,826,502,325,WDH
0,332,0,502,325,WDH
0,332,0,164,325,WDH
0,355,876,239,325,WDH
0,332,413,502,325,WDH
0,230,0,8,325,WDH
0,409,413,264,325,WDH
0,59,876,8,325,WDH
0,119,314,8,333,WDH
0,148,547,2,333,DWH
0,91,727,2,335,DWH
0,423,871,303,466,WDH
0,381,874,606,466,WDH
0,325,23,0,466,WDH
0,325,23,522,466,WDH
0,423,871,0,466,WDH
0,325,447,522,466,WDH
0,325,447,261,466,WDH
0,325,447,0,466,WDH
0,325,23,261,466,WDH
0,431,0,5,644,WDH
0,334,444,551,644,WDH
0,369,0,555,644,WDH
0,213,871,6,644,WDH
0,334,444,262,644,WDH
0,369,0,270,644,WDH
0,243,444,2,644,WDH
0,447,871,193,644,DWH
0,79,863,615,651,WDH
0,14,0,550,772,WDH
0,422,446,291,772,WDH
0,139,446,596,772,WDH
0,422,849,0,772,WDH
0,315,0,275,772,WDH
0,422,849,305,772,WDH
0,185,446,0,772,WDH
0,315,0,0,772,WDH
0,139,872,610,773,WDH
0,331,424,258,879,WDH
0,71,468,14,879,WDH
0,331,424,549,879,WDH
0,382,24,6,879,WDH
0,348,853,24,879,WDH
0,348,37,276,879,WDH
0,425,803,306,879,WDH
0,348,37,558,879,WDH
0,425,803,573,879,WDH
0,200,1032,0,1029,DWH
0,414,0,234,1029,WDH
0,414,516,0,1029,WDH
0,414,0,468,1029,WDH
0,386,885,234,1029,WDH
0,386,912,547,1029,WDH
0,327,516,547,1029,WDH
0,168,217,702,1029,WDH
0,168,0,702,1029,WDH
0,459,516,234,1029,WDH
0,414,0,0,1029,WDH
0,433,165,0,1189,WDH
0,433,808,547,1189,WDH
0,440,589,0,1189,WDH
0,440,589,264,1189,WDH
0,404,10,547,1189,WDH
0,77,5,0,1189,DWH
0,77,5,273,1189,DWH
0,433,165,267,1189,WDH
0,433,384,547,1189,WDH
0,198,1044,218,1189,DWH
0,200,1055,0,1191,DWH
0,454,80,14,1361,WDH
0,360,926,386,1361,WDH
0,299,973,26,1361,WDH
0,360,926,613,1361,WDH
0,394,357,214,1361,WDH
0,394,87,198,1361,WDH
0,394,357,0,1361,WDH
0,338,343,634,1361,WDH
0,396,613,635,1361,WDH
0,394,670,10,1361,WDH
0,338,970,180,1361,WDH
0,396,613,430,1361,WDH
0,394,87,626,1361,WDH
0,338,343,428,1361,WDH
0,394,87,412,1361,WDH
0,338,656,224,1361,WDH
0,428,636,222,1645,WDH
0,207,8,649,1645,WDH
0,457,1039,247,1645,DWH
0,346,308,428,1645,WDH
0,320,40,222,1645,WDH
0,341,349,0,1645,WDH
0,341,653,0,1645,WDH
0,341,936,587,1645,WDH
0,320,338,222,1645,WDH
0,361,957,0,1645,WDH
0,398,291,649,1645,WDH
0,346,44,0,1645,WDH
0,346,3,428,1645,WDH
0,13,613,433,1649,DWH
0,69,906,424,1649,DWH
0,129,621,589,1738,WDH
0,190,687,587,1803,WDH
0,214,691,424,1738,WDH
0,194,687,317,1872,WDH
0,211,957,14,1872,WDH
0,33,3,233,1872,WDH
0,33,335,233,1872,WDH
0,216,243,658,1872,WDH
0,216,0,658,1872,WDH
0,150,3,428,1875,WDH
0,190,403,428,1875,WDH
0,145,384,0,1875,WDH
0,145,0,0,1875,WDH
0,138,936,616,1875,WDH
0,234,768,0,1875,DWH
0,109,670,587,1893,WDH
0,179,486,635,1875,DWH
0,298,0,643,1957,WDH
0,100,936,594,1957,WDH
0,295,957,16,1957,WDH
0,255,1052,339,1957,DWH
0,255,422,257,1957,WDH
0,422,670,282,1957,WDH
0,298,3,231,1957,WDH
0,88,0,444,1962,WDH
0,267,391,428,1965,WDH
0,150,368,16,1971,WDH
0,66,7,10,1971,WDH
0,143,419,627,1976,WDH
0,255,750,592,1971,DWH
0,136,775,14,1975,DWH
0,213,377,231,2064,WDH
0,321,3,533,2064,WDH
0,65,957,14,2064,WDH
0,99,368,10,2064,WDH
0,19,1062,282,2064,DWH
0,359,3,231,2064,WDH
0,167,921,592,2064,WDH
0,316,670,282,2064,WDH
0,79,0,0,2065,WDH
0,246,377,418,2065,WDH
0,169,377,621,2068,WDH
0,255,750,592,2077,DWH
0,136,771,10,2082,DWH
1,170,1047,0,0,DWH
1,345,0,0,0,WDH
1,432,580,0,0,WDH
1,35,970,693,0,WDH
1,240,349,606,0,DWH
1,384,0,299,0,WDH
1,29,560,616,0,WDH
1,47,970,299,0,DWH
1,339,560,299,0,WDH
1,29,0,606,0,WDH
1,212,245,615,114,WDH
1,212,632,25,114,WDH
1,201,979,13,114,DWH
1,221,4,29,114,DWH
1,349,583,229,114,WDH
1,349,583,524,114,WDH
1,112,1,627,114,WDH
1,47,186,40,114,WDH
1,35,1000,714,116,WDH
1,354,226,312,116,WDH
1,251,27,327,116,DWH
1,237,983,322,118,DWH
1,420,424,267,233,WDH
1,404,0,534,233,WDH
1,433,0,267,233,WDH
1,433,0,0,233,WDH
1,426,848,316,233,WDH
1,389,848,590,233,WDH
1,336,848,0,233,WDH
1,404,424,547,233,WDH
1,433,424,0,233,WDH
1,426,199,292,407,WDH
1,426,546,18,407,WDH
1,426,893,566,407,WDH
1,426,546,292,407,WDH
1,426,199,566,407,WDH
1,284,2,505,407,DWH
1,426,893,292,407,WDH
1,426,893,18,407,WDH
1,436,120,70,407,WDH
