bin,item,x,y,z,orientation
0,214,847,346,0,WDH
0,195,436,0,0,WDH
0,82,0,688,0,WDH
0,40,231,688,0,WDH
0,232,0,0,0,WDH
0,232,0,344,0,WDH
0,195,436,292,0,WDH
0,29,847,692,0,WDH
0,214,847,0,0,WDH
0,146,436,584,0,WDH
0,106,23,409,136,DWH
0,228,857,548,136,WDH
0,146,454,77,136,WDH
0,228,857,256,136,WDH
0,82,2,113,136,DWH
0,146,847,41,136,WDH
0,175,468,573,136,WDH
0,146,75,625,136,WDH
0,114,153,70,136,WDH
0,175,468,306,136,WDH
0,114,185,351,136,WDH
0,227,508,592,272,WDH
0,15,1023,293,272,DWH
0,194,391,274,272,WDH
0,194,707,274,272,WDH
0,161,0,29,272,WDH
0,85,1062,7,272,DWH
0,161,391,11,272,WDH
0,166,0,292,272,WDH
0,209,0,585,272,WDH
0,98,901,592,272,WDH
0,199,743,1,272,WDH
0,210,276,0,417,WDH
0,149,836,572,417,WDH
0,210,276,286,417,WDH
0,149,432,572,417,WDH
0,210,758,0,417,WDH
0,210,758,286,417,WDH
0,32,30,406,417,WDH
0,152,52,0,417,DWH
0,152,26,572,417,WDH
0,193,358,574,532,WDH
0,203,0,308,532,WDH
0,229,312,43,532,WDH
0,229,688,575,532,WDH
0,23,1000,568,532,DWH
0,229,0,43,532,WDH
0,73,1059,29,532,DWH
0,229,747,300,532,WDH
0,73,1059,297,532,DWH
0,180,373,340,532,WDH
0,229,747,35,532,WDH
0,167,0,565,532,WDH
0,25,631,165,532,DWH
0,181,331,259,736,DWH
0,162,1029,516,736,DWH
0,20,0,5,736,WDH
0,20,747,7,736,WDH
0,177,0,589,736,WDH
0,177,331,589,736,WDH
0,78,331,67,736,WDH
0,162,0,135,736,WDH
0,142,1071,38,736,DWH
0,162,747,137,736,WDH
0,169,662,644,736,WDH
0,169,581,393,736,WDH
0,177,0,338,736,WDH
0,93,986,340,736,WDH
0,38,644,137,755,DWH
0,92,959,340,883,WDH
0,125,670,44,951,WDH
0,88,318,635,951,WDH
0,88,1031,24,951,DWH
0,125,40,642,951,WDH
0,148,950,616,951,WDH
0,125,392,44,951,WDH
0,235,33,21,951,DWH
0,88,634,635,951,WDH
0,235,380,242,951,WDH
0,96,955,340,960,WDH
0,234,642,637,1036,WDH
0,234,735,211,1036,WDH
0,234,1037,13,1036,DWH
0,216,944,617,1036,WDH
0,234,735,414,1036,WDH
0,234,1037,315,1036,DWH
0,39,176,236,1036,WDH
0,39,158,28,1036,WDH
0,39,63,653,1036,WDH
0,142,735,46,1036,WDH
0,54,465,215,1036,WDH
0,78,157,425,1036,WDH
0,136,16,39,1036,DWH
0,78,447,23,1036,WDH
0,58,445,423,1036,WDH
0,136,16,328,1036,DWH
0,58,352,646,1036,WDH
0,182,360,440,1249,WDH
0,182,0,0,1249,WDH
0,182,360,0,1249,WDH
0,224,0,660,1249,WDH
0,27,720,690,1249,WDH
0,97,438,660,1249,WDH
0,97,720,390,1249,WDH
0,97,861,0,1249,WDH
0,97,720,249,1249,WDH
0,182,0,220,1249,WDH
0,182,0,440,1249,WDH
0,182,360,220,1249,WDH
0,97,720,0,1249,DWH
0,135,720,531,1249,WDH
0,38,861,141,1249,WDH
0,38,1038,141,1249,WDH
0,165,969,249,1249,DWH
0,122,969,647,1249,WDH
0,138,986,501,1441,DWH
0,138,986,162,1441,DWH
0,210,0,286,1495,WDH
0,83,482,524,1495,WDH
0,99,482,296,1495,WDH
0,121,891,0,1495,WDH
0,168,482,0,1495,WDH
0,210,0,0,1495,WDH
0,99,0,572,1498,WDH
0,141,717,524,1498,DWH
0,49,891,160,1516,WDH
0,141,977,524,1516,DWH
0,49,906,163,1578,WDH
0,30,0,572,1607,WDH
0,155,734,272,1607,DWH
0,86,482,491,1607,DWH
0,57,482,0,1607,DWH
0,48,734,0,1607,DWH
0,155,905,0,1607,WDH
0,226,120,38,1608,DWH
0,147,707,524,1611,DWH
0,96,1024,559,1629,DWH
0,49,905,148,1640,WDH
0,238,421,177,1704,WDH
0,238,862,27,1704,DWH
0,21,977,482,1704,DWH
0,132,421,9,1704,WDH
0,178,0,468,1704,WDH
0,178,0,96,1704,WDH
0,9,421,468,1709,DWH
0,127,694,468,1712,DWH
0,145,662,29,1704,WDH
0,125,699,638,1805,WDH
0,69,703,483,1805,WDH
0,226,0,0,1822,DWH
0,113,0,534,1822,WDH
0,125,662,177,1825,DWH
0,43,862,27,1825,DWH
0,113,362,0,1825,DWH
0,113,986,458,1829,DWH
0,129,403,468,1834,DWH
0,113,732,458,1889,DWH
0,127,56,574,1909,WDH
0,31,845,150,1909,WDH
0,137,645,188,1909,DWH
0,127,0,308,1912,WDH
0,90,395,0,1912,DWH
0,31,0,0,1912,WDH
0,81,986,458,1916,WDH
0,13,425,458,1941,DWH
0,117,986,658,1916,WDH
0,109,845,0,1916,WDH
0,92,823,458,1976,DWH
0,213,0,554,2011,WDH
0,213,0,268,2011,WDH
0,118,425,5,2011,WDH
0,53,425,215,2011,WDH
0,132,986,490,2011,WDH
0,111,814,260,2011,WDH
0,111,0,70,2011,WDH
0,81,397,640,2019,WDH
0,117,397,459,2019,WDH
0,109,991,690,2020,WDH
0,137,786,458,2063,DWH
0,83,859,0,2063,WDH
0,38,809,737,1976,WDH
0,16,157,459,2130,WDH
