bin,item,x,y,z,orientation
0,49,0,208,0,WDH
0,49,0,0,0,WDH
0,49,360,208,0,WDH
0,21,528,416,0,WDH
0,21,264,416,0,WDH
0,21,0,416,0,WDH
0,19,0,655,0,WDH
0,49,360,0,0,WDH
0,36,820,552,0,WDH
0,36,820,276,0,WDH
0,36,820,0,0,WDH
0,32,409,655,0,WDH
0,11,587,655,0,WDH
0,32,231,655,0,WDH
0,4,12,0,180,DWH
0,42,827,0,180,WDH
0,42,827,292,180,WDH
0,46,491,0,180,WDH
0,46,904,584,180,WDH
0,29,203,0,180,WDH
0,14,491,232,180,WDH
0,3,560,655,180,WDH
0,3,231,655,180,WDH
0,29,203,256,189,WDH
0,33,0,537,189,DWH
0,8,528,419,189,WDH
0,23,12,285,189,DWH
0,2,303,551,189,WDH
0,33,14,528,288,DWH
0,8,528,419,288,WDH
0,5,514,232,307,WDH
0,3,231,655,310,WDH
0,3,560,655,310,WDH
0,16,536,0,342,WDH
0,39,871,0,342,DWH
0,31,914,468,342,WDH
0,33,0,0,343,WDH
0,12,138,232,352,WDH
0,23,323,36,343,WDH
0,31,545,227,387,WDH
0,30,0,481,387,DWH
0,44,928,369,440,DWH
0,8,612,595,440,WDH
0,23,421,595,440,DWH
0,1,239,595,440,DWH
0,9,876,0,440,WDH
0,13,547,7,441,WDH
0,14,36,49,442,WDH
0,1,324,7,454,WDH
0,44,400,227,482,WDH
0,34,74,227,480,WDH
0,44,876,289,539,DWH
0,22,35,491,519,DWH
0,44,400,7,575,WDH
0,14,693,539,539,DWH
0,18,944,41,555,WDH
0,18,316,560,555,WDH
0,6,400,319,575,WDH
0,22,73,7,575,WDH
0,12,24,211,626,WDH
0,17,871,518,631,WDH
0,17,400,7,667,WDH
0,12,24,451,662,DWH
0,26,822,319,631,WDH
0,12,400,315,701,WDH
0,26,673,556,667,DWH
0,15,1094,322,631,DWH
0,35,379,556,719,WDH
0,41,933,0,719,WDH
0,12,24,211,754,WDH
0,20,741,66,667,DWH
0,45,936,540,741,WDH
0,40,0,0,719,WDH
0,45,400,7,777,WDH
0,34,24,451,790,WDH
0,38,776,315,777,WDH
0,47,686,558,808,DWH
0,10,0,709,790,WDH
0,48,400,315,829,WDH
0,35,379,556,890,WDH
0,45,892,15,890,WDH
0,48,31,211,890,WDH
0,20,704,58,892,DWH
0,43,936,540,911,WDH
0,7,155,22,920,WDH
0,28,99,474,936,WDH
0,43,400,57,947,WDH
0,43,673,556,986,DWH
0,25,769,315,998,WDH
0,25,0,692,1002,WDH
0,25,444,399,1045,WDH
0,27,1017,0,1061,WDH
0,27,1017,154,1061,WDH
0,25,1079,510,1126,DWH
0,25,931,510,1126,DWH
0,24,857,95,1061,DWH
0,37,393,673,1061,WDH
0,43,121,211,1106,WDH
0,10,679,47,1117,DWH
0,10,132,22,1147,WDH
