bin,item,x,y,z,orientation
0,14,606,0,0,WDH
0,14,606,151,0,WDH
0,13,606,631,0,WDH
0,14,606,302,0,WDH
0,13,606,453,0,WDH
0,13,935,0,0,WDH
0,66,303,236,0,WDH
0,66,0,0,0,WDH
0,66,303,472,0,WDH
0,66,0,472,0,WDH
0,66,0,236,0,WDH
0,66,303,0,0,WDH
0,23,935,178,0,WDH
0,47,836,453,0,WDH
0,38,836,662,0,WDH
0,12,168,708,0,WDH
0,12,387,708,0,WDH
0,52,836,509,146,WDH
0,55,981,208,155,DWH
0,60,267,278,231,DWH
0,60,0,278,231,DWH
0,7,0,4,231,WDH
0,43,327,130,231,WDH
0,54,917,189,231,WDH
0,58,606,50,231,DWH
0,24,534,529,233,DWH
0,20,917,41,233,WDH
0,58,831,453,236,WDH
0,65,460,90,364,WDH
0,65,460,590,364,WDH
0,65,920,380,364,DWH
0,69,920,41,364,DWH
0,65,0,340,364,WDH
0,65,0,90,364,WDH
0,65,0,590,364,WDH
0,65,460,340,364,WDH
0,15,349,81,525,WDH
0,15,349,587,525,WDH
0,61,0,559,525,WDH
0,41,983,534,525,DWH
0,42,666,283,525,DWH
0,9,0,313,525,WDH
0,15,666,587,525,WDH
0,15,349,334,525,WDH
0,15,0,60,525,WDH
0,3,672,20,525,DWH
0,39,909,20,533,WDH
0,23,909,247,533,WDH
0,3,666,20,597,DWH
0,16,0,262,668,WDH
0,27,0,77,668,WDH
0,36,437,288,668,WDH
0,16,437,551,668,WDH
0,16,0,551,668,WDH
0,27,258,77,668,WDH
0,52,886,458,669,DWH
0,35,912,0,688,DWH
0,51,517,20,669,WDH
0,24,526,595,763,WDH
0,24,929,284,763,WDH
0,20,73,599,763,DWH
0,5,225,36,763,WDH
0,5,1,304,763,DWH
0,18,227,353,763,WDH
0,18,935,42,763,WDH
0,18,532,353,763,WDH
0,18,221,598,763,WDH
0,58,837,529,763,WDH
0,1,0,0,763,DWH
0,51,543,42,784,WDH
0,65,780,340,891,WDH
0,65,780,590,891,WDH
0,63,394,616,891,WDH
0,30,77,659,891,WDH
0,46,237,305,891,DWH
0,46,1008,29,891,DWH
0,19,35,29,891,DWH
0,46,469,384,891,WDH
0,30,56,299,892,DWH
0,46,232,20,892,WDH
0,23,797,49,899,DWH
0,29,553,197,899,WDH
0,29,553,10,899,WDH
0,52,806,314,1059,WDH
0,52,437,0,1059,WDH
0,52,437,314,1059,WDH
0,52,0,289,1059,WDH
0,52,806,0,1059,WDH
0,16,0,0,1059,WDH
0,30,0,659,1059,WDH
0,30,634,659,1059,WDH
0,30,317,659,1059,WDH
0,8,951,672,1059,WDH
0,35,436,331,1150,WDH
0,35,0,331,1150,WDH
0,35,0,3,1150,WDH
0,34,904,210,1150,WDH
0,33,444,0,1150,WDH
0,10,918,448,1150,WDH
0,51,848,0,1150,WDH
0,32,256,0,1225,DWH
0,4,317,659,1225,WDH
0,31,588,448,1225,WDH
0,4,625,659,1225,WDH
0,6,933,659,1225,WDH
0,44,0,448,1225,WDH
0,44,0,642,1225,WDH
0,44,294,448,1225,WDH
0,17,256,224,1225,WDH
0,17,0,224,1225,WDH
0,17,0,0,1225,WDH
0,4,512,287,1225,WDH
0,2,875,0,1270,WDH
0,53,859,181,1270,WDH
0,53,859,337,1270,WDH
0,53,859,493,1270,WDH
0,22,535,0,1272,WDH
0,41,535,0,1376,WDH
0,33,0,0,1432,WDH
0,33,0,192,1432,WDH
0,1,0,620,1432,WDH
0,45,0,384,1432,WDH
0,57,301,384,1432,DWH
0,11,563,216,1436,DWH
0,49,301,626,1436,WDH
0,56,867,686,1436,WDH
0,40,841,460,1447,WDH
0,59,841,0,1447,WDH
0,59,841,230,1447,WDH
0,28,637,628,1436,DWH
0,25,461,216,1551,WDH
0,26,461,19,1520,WDH
0,56,468,450,1551,WDH
0,48,21,606,1551,WDH
0,8,29,438,1551,WDH
0,50,190,19,1554,WDH
0,50,190,193,1554,WDH
0,21,21,101,1554,DWH
0,37,301,606,1557,WDH
0,37,841,681,1567,WDH
0,68,928,0,1639,WDH
0,68,928,402,1639,WDH
0,68,928,201,1639,WDH
0,64,190,19,1734,DWH
0,62,571,269,1662,WDH
0,62,571,450,1682,WDH
0,62,0,659,1684,WDH
0,67,461,19,1710,WDH
0,21,21,227,1721,DWH
0,21,301,606,1763,WDH
