bin,item,x,y,z,orientation
0,67,374,256,0,WDH
0,67,330,516,0,WDH
0,36,0,258,0,WDH
0,36,0,0,0,WDH
0,67,704,256,0,WDH
0,67,704,0,0,WDH
0,67,660,516,0,WDH
0,58,990,516,0,DWH
0,67,0,516,0,WDH
0,48,1034,0,0,DWH
0,67,374,0,0,WDH
0,25,250,256,206,WDH
0,16,9,256,206,WDH
0,25,102,0,206,WDH
0,25,456,0,206,WDH
0,51,604,256,206,WDH
0,51,810,0,206,WDH
0,6,23,516,206,DWH
0,6,229,516,206,WDH
0,56,893,516,206,WDH
0,56,552,516,206,WDH
0,21,0,507,378,WDH
0,21,572,507,378,WDH
0,21,0,174,378,WDH
0,21,572,174,378,WDH
0,7,572,43,378,WDH
0,7,893,43,378,WDH
0,5,349,6,378,WDH
0,5,126,6,378,WDH
0,49,830,440,486,WDH
0,5,607,40,486,WDH
0,66,14,208,486,WDH
0,66,422,208,486,WDH
0,66,14,524,486,WDH
0,66,422,524,486,WDH
0,49,830,40,486,WDH
0,8,269,28,498,WDH
0,14,636,1,606,DWH
0,14,196,623,606,WDH
0,22,853,276,606,WDH
0,22,501,592,606,WDH
0,3,197,424,606,WDH
0,3,197,225,606,WDH
0,45,888,524,606,WDH
0,46,898,58,606,WDH
0,46,511,306,606,WDH
0,11,378,1,638,WDH
0,48,0,166,606,DWH
0,48,0,503,606,DWH
0,9,335,51,737,WDH
0,15,241,392,780,DWH
0,17,640,48,780,WDH
0,20,537,283,789,WDH
0,37,759,523,789,WDH
0,37,923,42,789,DWH
0,17,501,523,789,WDH
0,13,9,464,803,DWH
0,8,9,126,803,DWH
0,17,382,48,827,WDH
0,15,241,392,856,DWH
0,15,980,0,881,DWH
0,21,668,507,881,WDH
0,16,682,71,856,WDH
0,37,241,359,929,DWH
0,2,599,283,881,WDH
0,40,0,468,912,DWH
0,18,382,32,912,WDH
0,50,923,11,954,DWH
0,21,558,507,986,WDH
0,34,6,82,943,DWH
0,24,215,308,1021,DWH
0,37,923,0,1050,DWH
0,34,537,283,1035,WDH
0,16,711,0,1021,DWH
0,29,302,9,1062,WDH
0,40,0,468,1068,DWH
0,18,586,596,1091,WDH
0,29,873,573,1091,WDH
0,40,0,96,1098,DWH
0,18,215,329,1127,WDH
0,29,215,573,1127,WDH
0,29,973,206,1138,DWH
0,44,537,283,1190,WDH
0,54,923,0,1138,WDH
0,28,302,9,1209,WDH
0,60,622,528,1241,WDH
0,40,0,468,1224,DWH
0,20,297,283,1277,DWH
0,2,0,0,1254,DWH
0,27,669,16,1190,DWH
0,60,948,283,1285,DWH
0,59,948,609,1238,WDH
0,12,215,694,1277,WDH
0,6,537,283,1333,WDH
0,67,910,0,1340,WDH
0,35,297,61,1354,WDH
0,63,555,595,1377,WDH
0,65,297,341,1377,DWH
0,48,27,503,1380,DWH
0,4,0,0,1408,WDH
0,4,0,148,1408,WDH
0,4,640,135,1420,WDH
0,4,987,256,1421,WDH
0,59,952,404,1421,WDH
0,65,889,607,1452,WDH
0,65,565,283,1509,WDH
0,6,917,50,1546,WDH
0,19,215,694,1509,WDH
0,43,297,40,1558,DWH
0,10,0,602,1577,DWH
0,41,435,611,1593,WDH
0,42,219,341,1593,WDH
0,32,0,0,1608,DWH
0,1,630,90,1620,WDH
0,19,952,261,1621,WDH
0,30,902,413,1635,WDH
0,42,830,607,1668,WDH
0,42,924,0,1725,WDH
0,42,577,283,1725,WDH
0,30,292,90,1780,WDH
0,26,22,518,1795,DWH
0,57,212,639,1780,WDH
0,26,508,607,1811,WDH
0,33,212,379,1849,DWH
0,33,0,161,1849,WDH
0,52,705,17,1858,DWH
0,26,1060,230,1892,DWH
0,26,830,607,1924,WDH
1,39,0,360,0,WDH
1,61,387,220,0,WDH
1,23,387,0,0,WDH
1,31,0,0,0,WDH
1,61,387,393,0,WDH
1,31,0,180,0,WDH
1,62,659,0,0,WDH
1,62,0,562,0,WDH
1,57,662,220,0,WDH
1,57,662,418,0,WDH
1,57,387,566,0,WDH
1,53,662,616,0,WDH
1,47,885,220,0,WDH
1,47,885,418,0,WDH
1,38,986,0,0,WDH
1,38,973,616,0,WDH
1,55,0,181,265,WDH
1,52,387,32,261,WDH
1,64,0,16,265,WDH
1,64,383,397,265,WDH
1,64,383,232,265,WDH
1,26,629,232,284,DWH
